City,Timestamp,AQI,PM2.5,PM10,CO,NO2,SO2,O3,Latitude,Longitude
Delhi,2025-06-27 02:04:52,211,294.27,131.53,1.58,184.48,117.8,138.47,28.7041,77.1025
Delhi,2025-06-27 10:04:52,188,102.12,246.72,1.36,23.39,15.79,110.77,28.7041,77.1025
Delhi,2025-06-25 01:04:52,169,289.37,48.5,0.9,163.06,32.68,138.18,28.7041,77.1025
Delhi,2025-06-29 18:04:52,226,125.29,314.58,1.67,146.58,11.41,112.34,28.7041,77.1025
Delhi,2025-06-24 13:04:52,234,158.92,314.11,0.93,89.57,47.02,133.27,28.7041,77.1025
Delhi,2025-06-25 22:04:52,254,257.42,233.17,1.93,122.23,51.77,31.36,28.7041,77.1025
Delhi,2025-06-29 10:04:52,81,101.55,43.83,0.77,161.97,132.0,28.82,28.7041,77.1025
Delhi,2025-06-27 19:04:52,274,255.14,305.88,1.97,111.97,137.59,136.89,28.7041,77.1025
Delhi,2025-06-23 09:04:52,120,56.06,204.66,1.39,81.79,11.22,106.61,28.7041,77.1025
Delhi,2025-06-27 19:04:52,117,182.28,77.36,0.63,59.23,34.14,15.79,28.7041,77.1025
Delhi,2025-06-25 07:04:52,88,97.62,117.77,0.34,85.9,14.83,178.27,28.7041,77.1025
Delhi,2025-06-25 00:04:52,236,133.9,351.3,1.34,135.7,142.76,156.13,28.7041,77.1025
Delhi,2025-06-29 20:04:52,233,161.97,272.36,1.92,6.79,125.74,79.65,28.7041,77.1025
Delhi,2025-06-29 01:04:52,116,71.9,149.33,0.24,7.36,34.37,111.02,28.7041,77.1025
Delhi,2025-06-25 14:04:52,300,254.05,373.36,1.06,104.79,113.77,66.79,28.7041,77.1025
Delhi,2025-06-29 01:04:52,198,241.66,149.66,0.7,13.22,33.32,13.68,28.7041,77.1025
Delhi,2025-06-24 00:04:52,270,150.38,352.16,0.11,15.16,48.92,58.17,28.7041,77.1025
Delhi,2025-06-27 03:04:52,115,91.54,122.55,1.89,174.48,43.13,30.73,28.7041,77.1025
Delhi,2025-06-23 04:04:52,270,140.71,364.49,0.66,122.93,140.99,24.75,28.7041,77.1025
Delhi,2025-06-29 08:04:52,268,246.48,255.12,0.87,6.64,47.99,71.51,28.7041,77.1025
Delhi,2025-06-26 21:04:52,257,207.19,318.5,1.35,31.07,54.01,100.98,28.7041,77.1025
Delhi,2025-06-26 15:04:52,181,74.13,306.41,0.38,121.71,68.54,110.58,28.7041,77.1025
Delhi,2025-06-26 22:04:52,160,202.39,113.33,0.85,8.9,41.4,88.74,28.7041,77.1025
Delhi,2025-06-29 14:04:52,288,277.12,281.82,0.32,13.11,7.06,85.57,28.7041,77.1025
Delhi,2025-06-23 07:04:52,207,277.53,114.02,1.15,39.66,113.17,125.1,28.7041,77.1025
Delhi,2025-06-24 09:04:52,192,227.41,133.05,0.17,61.6,30.75,134.55,28.7041,77.1025
Delhi,2025-06-25 17:04:52,176,132.29,223.53,0.54,19.42,118.61,78.31,28.7041,77.1025
Delhi,2025-06-25 14:04:52,144,125.16,191.98,0.94,136.8,18.72,146.02,28.7041,77.1025
Delhi,2025-06-30 01:04:52,226,215.45,236.09,1.23,28.74,46.61,23.57,28.7041,77.1025
Delhi,2025-06-25 13:04:52,63,30.93,61.37,0.8,59.12,10.19,106.3,28.7041,77.1025
Delhi,2025-06-28 05:04:52,292,233.21,327.86,1.64,121.65,6.97,125.46,28.7041,77.1025
Delhi,2025-06-27 19:04:52,113,34.63,208.42,2.3,26.42,49.97,69.52,28.7041,77.1025
Delhi,2025-06-27 00:04:52,202,271.65,157.97,2.17,83.25,7.92,26.49,28.7041,77.1025
Delhi,2025-06-23 11:04:52,78,12.96,119.85,2.27,41.14,43.51,107.68,28.7041,77.1025
Delhi,2025-06-24 08:04:52,144,143.58,176.85,0.73,97.46,132.15,8.78,28.7041,77.1025
Delhi,2025-06-24 14:04:52,279,154.92,399.31,2.13,10.04,10.7,148.04,28.7041,77.1025
Delhi,2025-06-26 12:04:52,168,80.02,221.18,0.27,172.73,91.98,58.21,28.7041,77.1025
Delhi,2025-06-28 03:04:52,195,299.52,86.11,1.22,84.81,121.69,165.18,28.7041,77.1025
Delhi,2025-06-26 03:04:52,184,125.81,216.76,2.05,197.96,137.57,151.96,28.7041,77.1025
Delhi,2025-06-25 11:04:52,175,47.07,287.66,1.41,30.88,61.3,155.91,28.7041,77.1025
Delhi,2025-06-26 13:04:52,137,46.57,254.03,0.86,6.21,57.95,98.79,28.7041,77.1025
Delhi,2025-06-27 18:04:52,163,185.93,130.0,0.3,156.08,27.63,57.22,28.7041,77.1025
Delhi,2025-06-24 14:04:52,84,144.49,20.61,1.37,168.99,95.19,108.74,28.7041,77.1025
Delhi,2025-06-23 12:04:52,159,85.61,258.87,2.1,136.05,84.93,53.24,28.7041,77.1025
Delhi,2025-06-23 17:04:52,31,60.32,22.32,0.27,179.91,141.71,112.82,28.7041,77.1025
Delhi,2025-06-24 06:04:52,97,58.68,162.01,0.4,127.91,42.11,126.65,28.7041,77.1025
Delhi,2025-06-30 03:04:52,120,75.08,128.25,2.05,168.77,128.03,53.57,28.7041,77.1025
Delhi,2025-06-29 08:04:52,124,13.67,267.74,0.53,98.58,9.77,176.42,28.7041,77.1025
Delhi,2025-06-23 21:04:52,248,99.14,388.85,1.68,73.05,123.95,82.36,28.7041,77.1025
Delhi,2025-06-24 02:04:52,123,202.89,65.72,0.8,63.86,82.04,117.42,28.7041,77.1025
Delhi,2025-06-27 02:04:52,184,211.26,162.52,1.23,80.03,138.35,144.59,28.7041,77.1025
Delhi,2025-06-23 08:04:52,207,284.64,134.12,1.93,106.8,127.11,112.75,28.7041,77.1025
Delhi,2025-06-29 14:04:52,250,231.53,280.74,0.23,110.93,55.75,95.95,28.7041,77.1025
Delhi,2025-06-24 17:04:52,256,224.41,281.76,0.78,6.32,113.85,116.61,28.7041,77.1025
Delhi,2025-06-23 18:04:52,300,198.7,376.83,1.76,152.65,16.32,155.92,28.7041,77.1025
Delhi,2025-06-25 01:04:52,90,33.58,136.91,2.41,111.62,140.98,93.25,28.7041,77.1025
Delhi,2025-06-24 17:04:52,210,33.29,363.46,1.84,184.58,34.36,109.76,28.7041,77.1025
Delhi,2025-06-27 16:04:52,139,158.28,90.32,1.43,182.29,63.08,156.01,28.7041,77.1025
Delhi,2025-06-27 13:04:52,134,57.45,176.3,0.82,44.52,101.75,74.45,28.7041,77.1025
Delhi,2025-06-27 04:04:52,230,277.43,183.75,0.33,30.69,4.86,118.77,28.7041,77.1025
Delhi,2025-06-25 18:04:52,211,254.42,148.01,2.29,162.25,47.64,73.87,28.7041,77.1025
Delhi,2025-06-24 04:04:52,255,128.86,352.78,0.3,14.23,60.95,165.91,28.7041,77.1025
Delhi,2025-06-24 13:04:52,209,227.04,216.96,2.4,135.46,115.7,144.25,28.7041,77.1025
Delhi,2025-06-25 22:04:52,142,168.57,89.8,1.54,35.33,140.48,40.32,28.7041,77.1025
Delhi,2025-06-26 04:04:52,142,152.53,161.28,2.12,175.23,126.7,59.63,28.7041,77.1025
Delhi,2025-06-26 20:04:52,186,284.04,60.61,1.38,12.89,116.44,83.04,28.7041,77.1025
Delhi,2025-06-23 11:04:52,146,41.27,278.84,1.36,197.96,113.55,140.94,28.7041,77.1025
Delhi,2025-06-23 10:04:52,303,290.69,316.63,2.26,147.73,43.08,149.63,28.7041,77.1025
Delhi,2025-06-28 08:04:52,218,101.96,341.82,1.48,52.66,135.23,99.9,28.7041,77.1025
Delhi,2025-06-24 07:04:52,109,44.3,162.86,2.18,66.56,40.52,151.98,28.7041,77.1025
Delhi,2025-06-24 03:04:52,260,155.04,361.11,0.63,123.71,88.6,89.13,28.7041,77.1025
Delhi,2025-06-26 00:04:52,116,123.18,109.79,2.28,79.05,103.5,108.34,28.7041,77.1025
Delhi,2025-06-30 04:04:52,146,80.12,218.1,1.56,186.79,141.13,117.21,28.7041,77.1025
Delhi,2025-06-25 01:04:52,64,21.91,67.61,0.34,6.86,61.53,153.87,28.7041,77.1025
Delhi,2025-06-27 02:04:52,166,279.84,46.25,2.31,132.87,145.21,61.44,28.7041,77.1025
Delhi,2025-06-26 12:04:52,193,91.57,302.31,2.47,199.53,80.11,40.62,28.7041,77.1025
Delhi,2025-06-28 08:04:52,206,159.49,254.59,1.89,31.6,130.58,135.75,28.7041,77.1025
Delhi,2025-06-28 14:04:52,150,37.39,251.44,1.96,84.58,49.39,73.55,28.7041,77.1025
Delhi,2025-06-29 04:04:52,187,281.8,103.93,2.47,162.74,6.31,84.99,28.7041,77.1025
Delhi,2025-06-25 18:04:52,274,288.65,221.39,0.22,5.07,119.59,68.59,28.7041,77.1025
Delhi,2025-06-29 10:04:52,174,37.39,314.16,2.26,186.64,108.62,40.3,28.7041,77.1025
Delhi,2025-06-23 16:04:52,59,15.91,106.34,0.18,199.64,53.89,5.7,28.7041,77.1025
Delhi,2025-06-23 04:04:52,175,141.9,222.82,0.41,178.02,54.8,162.57,28.7041,77.1025
Delhi,2025-06-28 00:04:52,266,262.66,299.47,1.72,68.32,110.89,69.83,28.7041,77.1025
Delhi,2025-06-27 19:04:52,130,125.88,140.66,1.61,133.41,61.49,19.28,28.7041,77.1025
Delhi,2025-06-29 08:04:52,184,227.55,124.4,0.7,25.26,111.54,23.1,28.7041,77.1025
Delhi,2025-06-26 20:04:52,198,127.99,294.44,2.2,136.21,97.97,62.53,28.7041,77.1025
Delhi,2025-06-24 12:04:52,246,252.44,204.03,0.33,129.28,94.8,152.36,28.7041,77.1025
Delhi,2025-06-26 15:04:52,249,252.21,277.56,1.16,146.1,147.41,49.6,28.7041,77.1025
Delhi,2025-06-28 12:04:52,69,89.98,76.2,1.43,151.4,131.97,158.54,28.7041,77.1025
Delhi,2025-06-27 10:04:52,237,244.27,259.53,0.6,37.64,86.68,48.67,28.7041,77.1025
Delhi,2025-06-29 13:04:52,233,96.96,374.39,0.38,75.43,112.67,69.58,28.7041,77.1025
Delhi,2025-06-28 23:04:52,43,31.03,44.23,1.01,118.33,84.93,46.51,28.7041,77.1025
Delhi,2025-06-29 14:04:52,217,225.25,214.72,1.01,100.13,136.97,15.23,28.7041,77.1025
Delhi,2025-06-27 00:04:52,292,163.75,384.43,2.1,9.77,147.89,137.26,28.7041,77.1025
Delhi,2025-06-26 05:04:52,221,210.62,243.44,0.61,185.12,37.85,151.29,28.7041,77.1025
Delhi,2025-06-24 21:04:52,183,182.07,223.39,0.62,15.68,36.16,53.15,28.7041,77.1025
Delhi,2025-06-28 16:04:52,221,103.58,373.78,0.42,159.51,115.38,113.56,28.7041,77.1025
Delhi,2025-06-29 16:04:52,230,143.46,292.69,1.48,96.21,143.27,150.55,28.7041,77.1025
Delhi,2025-06-28 20:04:52,148,134.4,181.83,2.43,187.07,72.52,170.42,28.7041,77.1025
Delhi,2025-06-27 08:04:52,183,281.94,77.53,0.78,146.92,85.44,170.36,28.7041,77.1025
Delhi,2025-06-23 11:04:52,299,259.12,362.3,0.61,62.07,75.9,31.04,28.7041,77.1025
Delhi,2025-06-23 10:04:52,187,223.05,168.61,0.12,165.6,4.4,165.83,28.7041,77.1025
Delhi,2025-06-28 04:04:52,80,23.29,169.83,1.88,119.93,43.58,35.19,28.7041,77.1025
Delhi,2025-06-24 17:04:52,162,132.3,207.63,0.18,120.74,121.53,10.89,28.7041,77.1025
Delhi,2025-06-29 21:04:52,192,250.92,110.56,0.7,64.36,133.54,30.08,28.7041,77.1025
Delhi,2025-06-28 03:04:52,96,90.08,78.67,2.43,77.39,58.68,139.55,28.7041,77.1025
Delhi,2025-06-23 20:04:52,228,102.61,354.93,0.76,104.93,15.03,48.57,28.7041,77.1025
Delhi,2025-06-27 13:04:52,232,213.81,257.21,1.88,8.99,37.79,88.89,28.7041,77.1025
Delhi,2025-06-26 00:04:52,89,139.21,69.21,2.05,23.17,17.56,19.54,28.7041,77.1025
Delhi,2025-06-25 11:04:52,203,109.89,335.37,1.23,80.03,108.63,23.72,28.7041,77.1025
Delhi,2025-06-25 05:04:52,274,240.21,344.98,0.45,171.84,127.05,87.54,28.7041,77.1025
Delhi,2025-06-27 19:04:52,229,101.11,362.95,1.21,54.9,66.81,118.51,28.7041,77.1025
Delhi,2025-06-24 21:04:52,118,55.14,205.73,2.19,21.05,15.7,67.59,28.7041,77.1025
Delhi,2025-06-27 00:04:52,184,55.81,274.13,2.42,183.12,97.21,51.46,28.7041,77.1025
Delhi,2025-06-29 02:04:52,208,264.92,181.81,0.8,28.98,96.74,24.98,28.7041,77.1025
Delhi,2025-06-24 12:04:52,170,119.26,249.95,1.08,188.02,99.71,54.59,28.7041,77.1025
Delhi,2025-06-25 11:04:52,271,248.25,284.19,0.79,142.96,135.74,127.78,28.7041,77.1025
Delhi,2025-06-26 07:04:52,222,174.59,268.11,0.54,83.31,80.07,56.98,28.7041,77.1025
Delhi,2025-06-27 06:04:52,219,22.97,394.4,1.36,135.24,34.85,35.61,28.7041,77.1025
Delhi,2025-06-28 23:04:52,157,94.67,218.63,0.66,112.69,133.78,98.46,28.7041,77.1025
Delhi,2025-06-25 00:04:52,227,189.69,302.53,2.49,104.84,114.67,69.68,28.7041,77.1025
Delhi,2025-06-28 05:04:52,198,97.51,315.09,0.35,173.81,48.29,43.31,28.7041,77.1025
Delhi,2025-06-29 22:04:52,146,262.59,50.62,0.5,63.64,60.98,103.57,28.7041,77.1025
Delhi,2025-06-29 14:04:52,76,13.28,174.18,0.11,198.41,88.86,81.12,28.7041,77.1025
Delhi,2025-06-25 19:04:52,45,58.05,53.45,0.85,168.64,143.2,162.95,28.7041,77.1025
Delhi,2025-06-29 13:04:52,218,227.05,248.41,2.09,59.26,121.79,53.89,28.7041,77.1025
Delhi,2025-06-26 19:04:52,61,107.04,40.14,2.22,33.62,67.84,88.59,28.7041,77.1025
Delhi,2025-06-29 14:04:52,92,108.32,98.11,1.6,20.8,50.38,48.91,28.7041,77.1025
Delhi,2025-06-25 04:04:52,81,12.69,115.15,2.15,194.42,83.31,171.33,28.7041,77.1025
Delhi,2025-06-29 23:04:52,175,43.53,338.22,1.17,199.78,144.29,18.61,28.7041,77.1025
Delhi,2025-06-26 05:04:52,124,27.16,217.94,1.22,9.41,2.2,57.87,28.7041,77.1025
Delhi,2025-06-28 13:04:52,119,153.94,48.09,2.28,178.5,138.68,26.44,28.7041,77.1025
Delhi,2025-06-28 01:04:52,120,42.04,181.29,0.4,150.06,51.61,68.74,28.7041,77.1025
Delhi,2025-06-28 12:04:52,197,220.17,209.28,0.69,91.31,135.41,56.68,28.7041,77.1025
Delhi,2025-06-29 08:04:52,87,170.88,28.8,1.64,14.66,120.22,46.95,28.7041,77.1025
Delhi,2025-06-28 18:04:52,59,44.92,83.28,0.15,61.89,90.84,7.95,28.7041,77.1025
Delhi,2025-06-27 03:04:52,224,105.88,328.22,0.12,57.41,10.78,155.08,28.7041,77.1025
Delhi,2025-06-28 09:04:52,155,127.66,195.26,0.91,44.01,10.65,8.48,28.7041,77.1025
Delhi,2025-06-23 11:04:52,293,292.91,285.35,2.37,6.84,73.38,96.4,28.7041,77.1025
Delhi,2025-06-27 14:04:52,127,229.22,40.39,2.3,164.24,45.96,169.34,28.7041,77.1025
Delhi,2025-06-24 02:04:52,47,64.48,29.45,2.41,115.4,133.56,119.56,28.7041,77.1025
Delhi,2025-06-24 17:04:52,61,102.2,55.7,1.46,139.56,31.02,89.86,28.7041,77.1025
Delhi,2025-06-25 08:04:52,91,53.69,146.49,0.73,185.42,138.17,179.74,28.7041,77.1025
Delhi,2025-06-23 16:04:52,197,46.88,366.08,2.12,108.88,145.71,171.7,28.7041,77.1025
Delhi,2025-06-25 20:04:52,239,238.4,267.95,1.41,84.24,119.0,17.19,28.7041,77.1025
Delhi,2025-06-26 10:04:52,270,179.06,353.49,0.59,116.58,76.7,101.01,28.7041,77.1025
Delhi,2025-06-29 03:04:52,88,30.66,174.99,0.29,69.16,118.4,162.45,28.7041,77.1025
Delhi,2025-06-29 01:04:52,175,204.98,109.44,2.27,106.23,17.82,34.26,28.7041,77.1025
Delhi,2025-06-26 17:04:52,184,279.16,128.96,0.58,137.57,99.2,102.42,28.7041,77.1025
Delhi,2025-06-24 16:04:52,172,188.67,158.57,1.34,194.5,34.58,171.43,28.7041,77.1025
Delhi,2025-06-28 20:04:52,317,230.8,371.37,0.9,197.79,119.84,5.64,28.7041,77.1025
Delhi,2025-06-28 14:04:52,246,99.89,377.08,0.51,142.92,69.18,66.97,28.7041,77.1025
Delhi,2025-06-27 03:04:52,133,196.47,64.91,0.24,158.91,24.29,71.48,28.7041,77.1025
Delhi,2025-06-23 09:04:52,260,206.35,347.34,0.32,138.94,44.1,23.18,28.7041,77.1025
Delhi,2025-06-27 22:04:52,194,262.71,147.89,0.83,110.04,87.52,16.99,28.7041,77.1025
Delhi,2025-06-28 18:04:52,173,227.66,143.8,1.51,139.9,138.56,148.58,28.7041,77.1025
Delhi,2025-06-26 02:04:52,58,19.82,93.74,0.16,65.01,148.1,127.64,28.7041,77.1025
Delhi,2025-06-23 12:04:52,79,39.94,103.14,1.93,102.25,129.85,109.86,28.7041,77.1025
Delhi,2025-06-26 09:04:52,165,169.69,169.84,0.16,38.79,86.46,120.67,28.7041,77.1025
Delhi,2025-06-24 02:04:52,281,274.48,273.76,2.18,43.4,136.4,50.13,28.7041,77.1025
Delhi,2025-06-28 07:04:52,165,108.0,244.24,1.92,191.83,42.68,56.2,28.7041,77.1025
Delhi,2025-06-24 08:04:52,234,291.0,216.8,2.19,191.21,132.95,140.82,28.7041,77.1025
Delhi,2025-06-28 15:04:52,145,97.0,221.08,1.66,169.91,55.27,70.49,28.7041,77.1025
Delhi,2025-06-29 08:04:52,93,132.3,58.88,1.59,191.71,52.72,144.73,28.7041,77.1025
Delhi,2025-06-28 21:04:52,44,17.43,110.87,0.68,97.01,109.37,32.9,28.7041,77.1025
Delhi,2025-06-27 10:04:52,111,128.26,119.55,0.3,63.41,60.86,7.09,28.7041,77.1025
Delhi,2025-06-25 06:04:52,234,179.43,318.42,1.02,27.7,74.7,45.64,28.7041,77.1025
Delhi,2025-06-25 05:04:52,60,22.45,73.91,1.2,135.39,142.87,26.46,28.7041,77.1025
Delhi,2025-06-25 20:04:52,126,113.19,131.55,0.94,195.57,102.0,89.68,28.7041,77.1025
Delhi,2025-06-29 04:04:52,171,133.15,210.52,1.06,107.13,126.46,44.32,28.7041,77.1025
Delhi,2025-06-29 21:04:52,85,129.12,54.84,2.39,18.98,47.75,70.72,28.7041,77.1025
Delhi,2025-06-26 07:04:52,344,292.94,392.26,0.3,155.6,103.46,50.87,28.7041,77.1025
Delhi,2025-06-26 14:04:52,106,163.97,29.96,1.56,42.47,2.9,85.78,28.7041,77.1025
Delhi,2025-06-27 03:04:52,141,155.69,88.84,1.21,30.08,133.2,74.75,28.7041,77.1025
Delhi,2025-06-28 11:04:52,129,115.0,114.55,1.96,45.13,68.45,82.99,28.7041,77.1025
Delhi,2025-06-28 02:04:52,97,204.03,25.23,2.0,146.05,53.11,150.98,28.7041,77.1025
Delhi,2025-06-25 11:04:52,273,141.8,368.46,1.01,138.15,78.7,167.06,28.7041,77.1025
Delhi,2025-06-28 05:04:52,120,47.92,208.05,1.4,184.42,147.09,27.56,28.7041,77.1025
Delhi,2025-06-28 06:04:52,186,209.18,150.39,0.52,61.78,4.72,75.24,28.7041,77.1025
Delhi,2025-06-28 03:04:52,247,274.08,252.7,0.83,180.7,145.61,68.44,28.7041,77.1025
Delhi,2025-06-27 05:04:52,301,290.57,302.89,2.35,183.99,30.91,163.18,28.7041,77.1025
Delhi,2025-06-29 11:04:52,277,216.33,366.17,1.54,156.73,124.62,76.56,28.7041,77.1025
Delhi,2025-06-28 11:04:52,201,99.75,299.67,0.52,65.42,95.75,79.56,28.7041,77.1025
Delhi,2025-06-23 11:04:52,163,260.99,88.36,0.31,192.12,108.92,15.88,28.7041,77.1025
Delhi,2025-06-24 01:04:52,158,41.06,295.87,0.99,193.95,94.11,151.15,28.7041,77.1025
Delhi,2025-06-25 05:04:52,195,139.5,290.91,2.12,96.8,58.82,122.02,28.7041,77.1025
Delhi,2025-06-26 01:04:52,226,289.75,184.19,2.06,119.02,100.99,14.69,28.7041,77.1025
Delhi,2025-06-27 00:04:52,190,237.45,106.47,1.11,108.24,22.33,55.05,28.7041,77.1025
Delhi,2025-06-29 14:04:52,137,179.09,93.51,2.17,124.71,96.82,143.93,28.7041,77.1025
Delhi,2025-06-28 16:04:52,176,159.9,221.19,1.9,22.13,2.86,168.35,28.7041,77.1025
Delhi,2025-06-27 08:04:52,137,215.85,70.14,0.9,183.3,76.4,74.55,28.7041,77.1025
Delhi,2025-06-28 23:04:52,347,257.93,398.68,1.28,19.86,140.25,110.49,28.7041,77.1025
Delhi,2025-06-24 01:04:52,37,56.23,49.35,1.24,123.79,130.33,111.82,28.7041,77.1025
Delhi,2025-06-28 06:04:52,162,199.66,125.82,0.69,70.21,39.42,87.05,28.7041,77.1025
Delhi,2025-06-27 13:04:52,148,127.32,194.14,0.71,75.32,122.81,109.34,28.7041,77.1025
Delhi,2025-06-27 00:04:52,194,267.81,135.89,1.91,186.07,144.63,86.95,28.7041,77.1025
Delhi,2025-06-25 21:04:52,165,236.88,127.06,1.05,185.83,120.11,55.14,28.7041,77.1025
Delhi,2025-06-30 04:04:52,150,190.54,106.14,1.18,60.52,132.51,10.9,28.7041,77.1025
Delhi,2025-06-25 09:04:52,103,16.53,176.42,2.22,159.23,114.07,85.79,28.7041,77.1025
Delhi,2025-06-28 05:04:52,224,97.65,315.0,1.86,172.4,113.65,159.95,28.7041,77.1025
Delhi,2025-06-25 14:04:52,260,256.64,241.79,1.47,178.06,47.01,154.66,28.7041,77.1025
Delhi,2025-06-28 07:04:52,121,19.33,194.68,1.48,167.34,5.2,94.95,28.7041,77.1025
Delhi,2025-06-28 22:04:52,258,221.99,297.81,1.11,8.27,27.18,101.65,28.7041,77.1025
Delhi,2025-06-28 10:04:52,206,45.26,344.66,1.8,29.42,72.77,72.58,28.7041,77.1025
Delhi,2025-06-24 09:04:52,49,10.22,67.27,1.58,174.66,109.92,39.46,28.7041,77.1025
Delhi,2025-06-23 04:04:52,61,27.26,68.13,0.39,78.53,114.89,32.52,28.7041,77.1025
Delhi,2025-06-23 17:04:52,72,25.04,150.73,1.29,60.05,130.47,102.54,28.7041,77.1025
Delhi,2025-06-28 03:04:52,119,36.91,218.16,2.17,85.2,17.23,171.38,28.7041,77.1025
Delhi,2025-06-26 10:04:52,250,213.61,253.88,1.62,139.17,118.68,120.97,28.7041,77.1025
Delhi,2025-06-23 06:04:52,120,178.09,46.45,0.82,6.27,25.2,48.56,28.7041,77.1025
Delhi,2025-06-25 09:04:52,95,142.66,76.41,0.91,189.78,31.41,27.7,28.7041,77.1025
Delhi,2025-06-27 09:04:52,207,122.52,318.53,0.11,17.12,87.99,85.9,28.7041,77.1025
