username,date,post,location,hashtags,sentiment,engagement
kbarrera,2024-04-14,Sunsets in Santorini hit different 🌅,Santorini,"#naturelovers, #travelgram, #wanderlust",Neutral,5135
gallowayjoseph,2025-02-23,Can't get enough of Paris 😍 #wanderlust,Paris,#wanderlust,Positive,1243
smitchell,2025-01-12,Rome is calling... and I must go ✈️,Rome,"#naturelovers, #travel2025, #travelgram",Neutral,4047
smoore,2023-12-11,Exploring the beauty of Tokyo! 🧳,Tokyo,#vacationvibes,Positive,8536
rileyamy,2025-01-25,Exploring the beauty of Rome! 🧳,Rome,"#travel2025, #wanderlust, #naturelovers",Positive,8752
brian97,2024-07-19,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#vacationvibes, #naturelovers",Neutral,2657
brianromero,2025-04-16,Rome is calling... and I must go ✈️,Rome,"#travel2025, #travelgram",Neutral,3969
caseyjones,2025-04-24,New York is calling... and I must go ✈️,New York,#travelgram,Positive,8899
richarddavid,2024-09-09,Can't get enough of Santorini 😍 #wanderlust,Santorini,#travel2025,Positive,3555
bethwilliams,2023-08-27,Santorini is calling... and I must go ✈️,Santorini,"#travelgram, #vacationvibes",Positive,6933
ksandoval,2024-08-04,Backpacking through Dharamshala has been a dream come true!,Dharamshala,"#wanderlust, #vacationvibes, #travel2025",Positive,6439
sarah35,2023-12-27,Backpacking through Dharamshala has been a dream come true!,Dharamshala,"#naturelovers, #travel2025, #vacationvibes",Positive,525
randy47,2024-02-25,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#vacationvibes, #travel2025, #naturelovers",Negative,8801
smithchristine,2024-09-04,Bali is calling... and I must go ✈️,Bali,"#naturelovers, #wanderlust, #vacationvibes",Neutral,7614
jonesjason,2024-01-16,Exploring the beauty of Tokyo! 🧳,Tokyo,"#vacationvibes, #travelgram",Positive,6261
sarahibarra,2025-05-07,New York is calling... and I must go ✈️,New York,"#wanderlust, #vacationvibes",Positive,5783
@globetrotter77,2025-04-02,Exploring the beauty of Paris! 🧳,Paris,"#wanderlust, #naturelovers, #vacationvibes",Positive,3958
cheryl80,2024-11-24,Tokyo is calling... and I must go ✈️,Tokyo,"#wanderlust, #travel2025, #vacationvibes",Neutral,2799
@nomadic_joe,2024-01-16,Backpacking through Cape Town has been a dream come true!,Cape Town,"#wanderlust, #travel2025, #vacationvibes",Positive,9483
prestonjulia,2023-10-23,Dharamshala is calling... and I must go ✈️,Dharamshala,"#travel2025, #wanderlust, #travelgram",Neutral,1719
juan35,2023-11-30,Backpacking through New York has been a dream come true!,New York,#naturelovers,Neutral,7068
william40,2023-09-04,Exploring the beauty of Manali! 🧳,Manali,"#travelgram, #wanderlust, #travel2025",Neutral,5984
ccalderon,2023-06-27,Can't get enough of Rome 😍 #wanderlust,Rome,"#travel2025, #travelgram",Neutral,7971
kellie42,2025-01-20,Rome is calling... and I must go ✈️,Rome,"#naturelovers, #travelgram, #travel2025",Negative,1469
barnold,2024-09-02,New York is calling... and I must go ✈️,New York,#vacationvibes,Positive,5561
rodriguezsierra,2024-12-12,Bali is calling... and I must go ✈️,Bali,"#travel2025, #vacationvibes",Positive,5626
amydavenport,2024-09-19,Backpacking through New York has been a dream come true!,New York,"#travelgram, #wanderlust, #naturelovers",Negative,6708
russellwilliams,2024-04-03,Backpacking through Rome has been a dream come true!,Rome,#vacationvibes,Neutral,332
nolanjason,2024-01-04,Sunsets in Santorini hit different 🌅,Santorini,#vacationvibes,Neutral,9578
gomezanita,2025-05-04,Manali is calling... and I must go ✈️,Manali,"#naturelovers, #travelgram, #travel2025",Negative,5814
vdickson,2023-10-23,Sunsets in Rome hit different 🌅,Rome,"#travelgram, #travel2025",Positive,2008
michellecherry,2025-03-15,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,#travel2025,Neutral,9709
nicolejohnson,2025-01-17,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#wanderlust, #travel2025",Positive,5002
kimberly63,2024-01-18,Backpacking through Bali has been a dream come true!,Bali,#travelgram,Positive,4836
kristinrodriguez,2025-05-02,Tokyo is calling... and I must go ✈️,Tokyo,#wanderlust,Positive,7266
garrisonjeffrey,2025-03-20,Can't get enough of Manali 😍 #wanderlust,Manali,#travelgram,Negative,1120
ybailey,2025-05-01,Dharamshala is calling... and I must go ✈️,Dharamshala,#naturelovers,Neutral,2494
jeffreykeller,2024-04-29,Sunsets in Cape Town hit different 🌅,Cape Town,#travel2025,Positive,9983
joshua14,2024-03-23,Backpacking through Cape Town has been a dream come true!,Cape Town,#naturelovers,Positive,4921
ifrazier,2024-03-08,Cape Town is calling... and I must go ✈️,Cape Town,"#naturelovers, #wanderlust",Neutral,3454
wilsontara,2023-11-10,Sunsets in Paris hit different 🌅,Paris,"#wanderlust, #travel2025, #naturelovers",Positive,93
benjamin96,2024-03-19,Dharamshala is calling... and I must go ✈️,Dharamshala,"#naturelovers, #vacationvibes, #travel2025",Positive,4682
samuel81,2024-04-19,Exploring the beauty of Rome! 🧳,Rome,"#travel2025, #travelgram, #vacationvibes",Positive,3291
jonathanfletcher,2023-06-26,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#travel2025, #naturelovers, #vacationvibes",Neutral,2768
michaeljones,2024-11-21,Backpacking through New York has been a dream come true!,New York,"#naturelovers, #travelgram, #travel2025",Positive,6644
cindy14,2024-07-22,Backpacking through New York has been a dream come true!,New York,"#vacationvibes, #naturelovers, #wanderlust",Positive,5330
elizabeth56,2024-12-17,Sunsets in Cape Town hit different 🌅,Cape Town,#wanderlust,Positive,9474
angela36,2024-11-22,Exploring the beauty of Cape Town! 🧳,Cape Town,"#travelgram, #wanderlust, #vacationvibes",Positive,4607
lbyrd,2024-10-15,Backpacking through Tokyo has been a dream come true!,Tokyo,"#vacationvibes, #wanderlust",Positive,5310
richard04,2024-02-02,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#vacationvibes, #naturelovers",Positive,9062
russellcarpenter,2024-11-14,Bali is calling... and I must go ✈️,Bali,#travelgram,Positive,6672
steven73,2024-07-26,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#naturelovers, #vacationvibes, #travel2025",Positive,8217
yleon,2025-01-16,Exploring the beauty of Rome! 🧳,Rome,#travelgram,Positive,7228
donnacampbell,2024-11-21,Exploring the beauty of Rome! 🧳,Rome,#naturelovers,Neutral,5141
clarence34,2023-12-16,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#vacationvibes, #wanderlust, #naturelovers",Negative,7610
dylanwilliams,2024-06-28,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#travelgram, #naturelovers",Positive,7786
gibsonolivia,2024-09-14,Paris is calling... and I must go ✈️,Paris,"#travel2025, #vacationvibes, #wanderlust",Negative,2286
jennifercruz,2024-04-30,Sunsets in Santorini hit different 🌅,Santorini,"#travelgram, #naturelovers",Neutral,4941
dylanwatts,2025-05-18,Backpacking through Cape Town has been a dream come true!,Cape Town,"#vacationvibes, #travel2025, #naturelovers",Positive,9092
osbornejeffery,2025-03-10,Amsterdam is calling... and I must go ✈️,Amsterdam,"#travelgram, #travel2025",Negative,6324
pwilliams,2025-06-06,Paris is calling... and I must go ✈️,Paris,#travelgram,Neutral,6296
bryantlaurie,2024-11-24,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#wanderlust, #travel2025",Positive,1694
stephanie79,2025-03-19,Exploring the beauty of Rome! 🧳,Rome,"#vacationvibes, #wanderlust, #travelgram",Positive,2579
jrivas,2024-06-05,Santorini is calling... and I must go ✈️,Santorini,"#travelgram, #vacationvibes",Neutral,8792
juliawells,2024-01-12,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#vacationvibes, #wanderlust, #travelgram",Positive,4758
maryramirez,2025-02-18,Exploring the beauty of Paris! 🧳,Paris,"#wanderlust, #naturelovers",Positive,524
rsims,2024-05-31,Sunsets in Bali hit different 🌅,Bali,#travelgram,Positive,4050
reevesjimmy,2024-03-11,Amsterdam is calling... and I must go ✈️,Amsterdam,"#travel2025, #naturelovers, #wanderlust",Positive,3995
patricia12,2023-10-20,Backpacking through Rome has been a dream come true!,Rome,#travel2025,Positive,4233
patrickhernandez,2023-12-08,Bali is calling... and I must go ✈️,Bali,"#naturelovers, #travel2025",Positive,9676
perrymark,2024-06-20,New York is calling... and I must go ✈️,New York,"#travelgram, #vacationvibes, #travel2025",Positive,7966
abrown,2024-04-22,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#naturelovers, #travelgram",Positive,4887
gateskathy,2024-04-15,Bali is calling... and I must go ✈️,Bali,"#wanderlust, #naturelovers",Negative,4739
wsmith,2024-02-11,Backpacking through Paris has been a dream come true!,Paris,"#travel2025, #naturelovers",Neutral,2290
acastaneda,2024-08-16,Exploring the beauty of Santorini! 🧳,Santorini,"#vacationvibes, #wanderlust",Positive,1526
tracynelson,2024-07-06,Sunsets in New York hit different 🌅,New York,"#vacationvibes, #travel2025, #wanderlust",Positive,6044
priceelizabeth,2025-03-05,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#travel2025, #travelgram",Negative,4885
dramsey,2025-06-08,Exploring the beauty of Manali! 🧳,Manali,"#wanderlust, #travel2025",Neutral,6561
tinaferguson,2025-05-29,Sunsets in Amsterdam hit different 🌅,Amsterdam,#vacationvibes,Positive,7501
qvargas,2023-07-16,Sunsets in Manali hit different 🌅,Manali,"#vacationvibes, #travelgram, #wanderlust",Neutral,9248
dayderek,2024-06-17,Backpacking through Manali has been a dream come true!,Manali,#wanderlust,Neutral,5001
brentgray,2023-12-06,Exploring the beauty of Dharamshala! 🧳,Dharamshala,#wanderlust,Negative,8121
wmurphy,2025-05-08,Exploring the beauty of Santorini! 🧳,Santorini,#naturelovers,Positive,8900
aramirez,2024-01-06,Backpacking through Dharamshala has been a dream come true!,Dharamshala,"#travel2025, #vacationvibes, #travelgram",Positive,6736
ruizkaitlyn,2023-08-04,Exploring the beauty of New York! 🧳,New York,"#travelgram, #travel2025, #vacationvibes",Positive,5992
jeffrey10,2025-01-30,Sunsets in Santorini hit different 🌅,Santorini,"#travelgram, #wanderlust, #travel2025",Positive,7500
herringjames,2023-07-10,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#naturelovers, #wanderlust, #vacationvibes",Neutral,2113
johnwells,2023-09-21,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,#naturelovers,Positive,3867
stevenscott,2024-04-06,Can't get enough of Manali 😍 #wanderlust,Manali,"#wanderlust, #travelgram, #naturelovers",Negative,2908
catherinestuart,2025-01-02,Exploring the beauty of Santorini! 🧳,Santorini,#wanderlust,Positive,9697
stricklandfrank,2024-02-21,Exploring the beauty of Manali! 🧳,Manali,#travelgram,Positive,8669
lanesarah,2024-09-14,Exploring the beauty of Santorini! 🧳,Santorini,"#vacationvibes, #travelgram",Positive,8304
tsanders,2023-11-26,Backpacking through Paris has been a dream come true!,Paris,#naturelovers,Positive,560
vargasmaria,2023-12-30,Bali is calling... and I must go ✈️,Bali,"#vacationvibes, #wanderlust",Positive,1254
terrykevin,2024-12-07,Sunsets in Santorini hit different 🌅,Santorini,"#travel2025, #wanderlust, #vacationvibes",Positive,9034
hoganashlee,2023-07-26,Manali is calling... and I must go ✈️,Manali,"#naturelovers, #travelgram, #travel2025",Positive,1924
amanda51,2024-07-21,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#vacationvibes, #travel2025",Positive,6582
alexander67,2023-09-14,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#vacationvibes, #travelgram",Neutral,2550
oyu,2025-05-17,Exploring the beauty of Rome! 🧳,Rome,#wanderlust,Positive,6155
bzimmerman,2023-11-08,Backpacking through Tokyo has been a dream come true!,Tokyo,#naturelovers,Negative,2052
christina87,2024-06-20,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#vacationvibes, #wanderlust, #travel2025",Neutral,9518
lpetersen,2024-01-19,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,#vacationvibes,Positive,9163
melissa14,2025-05-09,Exploring the beauty of Manali! 🧳,Manali,"#naturelovers, #travel2025",Neutral,9171
dsanchez,2024-09-09,Backpacking through Bali has been a dream come true!,Bali,"#travelgram, #wanderlust, #vacationvibes",Positive,5617
frogers,2025-04-15,Exploring the beauty of Manali! 🧳,Manali,#travel2025,Positive,2374
hunter35,2025-03-05,Exploring the beauty of Bali! 🧳,Bali,"#naturelovers, #travel2025, #vacationvibes",Positive,6112
matthew94,2024-08-29,Sunsets in New York hit different 🌅,New York,"#naturelovers, #wanderlust, #vacationvibes",Positive,865
blackjames,2023-12-29,Sunsets in Santorini hit different 🌅,Santorini,"#vacationvibes, #naturelovers",Neutral,3581
wfreeman,2023-12-28,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#vacationvibes, #wanderlust",Positive,8022
fbrewer,2024-06-07,Sunsets in Amsterdam hit different 🌅,Amsterdam,#travel2025,Positive,175
davisjeffrey,2024-12-13,Sunsets in Paris hit different 🌅,Paris,#travel2025,Neutral,2015
kevinperkins,2024-06-26,Bali is calling... and I must go ✈️,Bali,"#vacationvibes, #travel2025, #wanderlust",Positive,8246
@wander.jane,2024-03-24,Sunsets in Amsterdam hit different 🌅,Amsterdam,#vacationvibes,Negative,7582
qnelson,2023-12-21,Sunsets in Santorini hit different 🌅,Santorini,"#vacationvibes, #naturelovers, #travelgram",Neutral,6686
griffithleslie,2025-01-22,Sunsets in Bali hit different 🌅,Bali,#naturelovers,Positive,5978
jamesrodgers,2024-01-25,Santorini is calling... and I must go ✈️,Santorini,#travel2025,Positive,1338
tina34,2023-12-18,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#travelgram, #travel2025, #vacationvibes",Neutral,1918
harry08,2023-10-01,Backpacking through Amsterdam has been a dream come true!,Amsterdam,#travelgram,Positive,2469
brandon08,2024-02-06,Exploring the beauty of Paris! 🧳,Paris,#travelgram,Positive,1284
danamullins,2023-09-12,Tokyo is calling... and I must go ✈️,Tokyo,"#naturelovers, #vacationvibes",Neutral,5345
andrewstaylor,2024-06-01,Can't get enough of Manali 😍 #wanderlust,Manali,"#wanderlust, #vacationvibes",Positive,4550
jack04,2025-06-24,Exploring the beauty of Cape Town! 🧳,Cape Town,"#naturelovers, #wanderlust",Positive,982
ewilson,2024-05-01,Sunsets in Manali hit different 🌅,Manali,#wanderlust,Neutral,7631
ojones,2024-12-09,Backpacking through Cape Town has been a dream come true!,Cape Town,"#wanderlust, #vacationvibes, #travelgram",Neutral,7842
hernandezlisa,2024-02-15,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,#vacationvibes,Positive,5676
mcknightdavid,2025-02-07,Backpacking through Santorini has been a dream come true!,Santorini,"#travel2025, #wanderlust, #vacationvibes",Neutral,8636
yobrien,2024-10-17,Backpacking through Amsterdam has been a dream come true!,Amsterdam,#travelgram,Positive,6747
kimberlyjames,2025-05-30,Backpacking through Manali has been a dream come true!,Manali,#travelgram,Positive,6383
levans,2024-05-23,Sunsets in New York hit different 🌅,New York,"#naturelovers, #travel2025, #vacationvibes",Positive,5781
ashley09,2025-01-19,New York is calling... and I must go ✈️,New York,#naturelovers,Neutral,9207
mezajared,2023-12-05,Sunsets in Dharamshala hit different 🌅,Dharamshala,#naturelovers,Positive,8381
donna23,2023-11-07,Exploring the beauty of Manali! 🧳,Manali,"#travelgram, #travel2025",Negative,8017
moorericky,2024-12-11,Can't get enough of Paris 😍 #wanderlust,Paris,#travel2025,Positive,1707
ocarter,2024-02-03,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#naturelovers, #wanderlust, #travelgram",Positive,2197
jacqueline71,2024-12-09,Cape Town is calling... and I must go ✈️,Cape Town,#travel2025,Positive,2762
sandrafrench,2024-10-22,Exploring the beauty of Rome! 🧳,Rome,"#travelgram, #travel2025",Negative,7405
ronaldstephens,2024-11-09,Backpacking through Paris has been a dream come true!,Paris,#travelgram,Negative,3228
rebekahserrano,2023-08-19,Backpacking through Manali has been a dream come true!,Manali,"#vacationvibes, #travelgram",Neutral,6909
martinkyle,2025-01-26,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#travel2025, #travelgram, #wanderlust",Neutral,9135
scott74,2024-12-19,Backpacking through Santorini has been a dream come true!,Santorini,#travelgram,Positive,7411
gbender,2024-08-17,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#wanderlust, #travel2025",Neutral,486
mkim,2023-07-25,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#naturelovers, #travelgram",Positive,6192
mnavarro,2024-01-05,Exploring the beauty of Paris! 🧳,Paris,"#wanderlust, #travelgram",Neutral,4750
davissuzanne,2025-04-04,Can't get enough of Rome 😍 #wanderlust,Rome,"#vacationvibes, #naturelovers, #travelgram",Positive,4243
keyemily,2024-01-20,Can't get enough of Paris 😍 #wanderlust,Paris,"#naturelovers, #vacationvibes, #wanderlust",Neutral,2046
hinesgregory,2024-08-01,Can't get enough of Bali 😍 #wanderlust,Bali,"#naturelovers, #vacationvibes",Positive,8239
lmoon,2024-09-21,Backpacking through Cape Town has been a dream come true!,Cape Town,#naturelovers,Positive,4822
fwalters,2023-09-03,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#travelgram, #travel2025, #naturelovers",Positive,1452
vbailey,2024-02-29,Sunsets in Amsterdam hit different 🌅,Amsterdam,#naturelovers,Positive,8366
hodgemark,2024-12-14,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#vacationvibes, #wanderlust",Neutral,4205
zroberts,2025-03-17,Sunsets in Bali hit different 🌅,Bali,#travelgram,Positive,1748
gibsonleonard,2024-03-02,Sunsets in Cape Town hit different 🌅,Cape Town,#wanderlust,Positive,2918
cordovarichard,2024-07-28,Rome is calling... and I must go ✈️,Rome,"#travel2025, #naturelovers, #wanderlust",Neutral,655
sandovalamy,2024-05-10,Can't get enough of New York 😍 #wanderlust,New York,#travel2025,Negative,5130
lopezmichael,2025-02-01,Amsterdam is calling... and I must go ✈️,Amsterdam,"#vacationvibes, #travelgram, #wanderlust",Neutral,5898
wgarrett,2023-08-04,Sunsets in Bali hit different 🌅,Bali,"#wanderlust, #travelgram",Positive,7254
josephanderson,2024-02-03,Sunsets in Dharamshala hit different 🌅,Dharamshala,#vacationvibes,Neutral,8557
fgilmore,2023-09-27,Exploring the beauty of New York! 🧳,New York,"#vacationvibes, #wanderlust, #travel2025",Neutral,8987
dudleychelsea,2023-12-27,Sunsets in New York hit different 🌅,New York,#wanderlust,Positive,7355
@nomadic_joe,2024-05-06,Cape Town is calling... and I must go ✈️,Cape Town,#vacationvibes,Positive,7176
walkermaureen,2023-09-21,Exploring the beauty of New York! 🧳,New York,#vacationvibes,Positive,2671
pvalentine,2025-04-01,Can't get enough of Bali 😍 #wanderlust,Bali,"#vacationvibes, #wanderlust, #naturelovers",Positive,6051
tyronemoran,2024-07-24,Manali is calling... and I must go ✈️,Manali,"#wanderlust, #travel2025, #travelgram",Positive,7323
robert77,2023-12-31,Backpacking through Santorini has been a dream come true!,Santorini,#naturelovers,Positive,4616
yarnold,2023-11-20,Exploring the beauty of Paris! 🧳,Paris,#travel2025,Positive,9252
michellehill,2025-02-27,Sunsets in Santorini hit different 🌅,Santorini,"#vacationvibes, #travel2025",Negative,8097
ymorgan,2024-07-23,Exploring the beauty of Paris! 🧳,Paris,#wanderlust,Positive,7342
lori44,2025-04-05,Sunsets in Santorini hit different 🌅,Santorini,"#travelgram, #wanderlust, #naturelovers",Positive,2630
cgrimes,2024-08-16,Sunsets in Tokyo hit different 🌅,Tokyo,"#travel2025, #wanderlust, #vacationvibes",Neutral,8144
jreed,2025-02-06,Sunsets in Bali hit different 🌅,Bali,"#naturelovers, #travelgram, #travel2025",Neutral,1462
ugibson,2025-04-30,Sunsets in Santorini hit different 🌅,Santorini,"#vacationvibes, #naturelovers",Neutral,1258
tinaallen,2024-04-17,Sunsets in Tokyo hit different 🌅,Tokyo,"#wanderlust, #vacationvibes, #travel2025",Neutral,9082
melissajenkins,2024-02-27,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,#vacationvibes,Positive,2084
zthornton,2024-04-16,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#travel2025, #naturelovers",Positive,5719
ymcneil,2025-03-23,Sunsets in Amsterdam hit different 🌅,Amsterdam,#travelgram,Positive,4546
tylerjohnson,2024-07-19,Sunsets in Tokyo hit different 🌅,Tokyo,"#naturelovers, #wanderlust, #travelgram",Neutral,9563
molly71,2024-08-06,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#naturelovers, #travelgram, #vacationvibes",Positive,1380
@eco.backpacker,2024-05-08,Backpacking through Bali has been a dream come true!,Bali,"#travel2025, #vacationvibes",Neutral,4795
