Order_ID,Order_Time,Area,Restaurant,Estimated_Delivery_Time_min,Actual_Delivery_Time_min,Delay_Minutes,Weather,Time_of_Day
ORD00024,2025-01-01 03:50:00,Suburb-East,Restaurant_32,45,59,14,Clear,Night
ORD00025,2025-01-01 04:00:00,Suburb-West,Restaurant_4,29,35,6,Fog,Night
ORD00026,2025-01-01 04:10:00,Downtown,Restaurant_18,34,36,2,Clear,Night
ORD00027,2025-01-01 04:20:00,Suburb-East,Restaurant_49,30,26,-4,Clear,Night
ORD00028,2025-01-01 04:30:00,Uptown,Restaurant_19,48,50,2,Fog,Night
ORD00029,2025-01-01 04:40:00,Industrial Zone,Restaurant_43,43,38,-5,Fog,Night
ORD00030,2025-01-01 04:50:00,Suburb-West,Restaurant_35,49,50,1,Clear,Night
ORD00031,2025-01-01 05:00:00,Suburb-East,Restaurant_40,37,32,-5,Rain,Night
ORD00032,2025-01-01 05:10:00,Downtown,Restaurant_14,25,20,-5,Clear,Night
ORD00033,2025-01-01 05:20:00,Downtown,Restaurant_33,44,57,13,Clear,Night
ORD00034,2025-01-01 05:30:00,Midtown,Restaurant_14,49,61,12,Clear,Night
ORD00035,2025-01-01 05:40:00,Midtown,Restaurant_34,39,41,2,Rain,Night
ORD00036,2025-01-01 05:50:00,University Area,Restaurant_4,38,43,5,Cloudy,Night
ORD00037,2025-01-01 06:00:00,Uptown,Restaurant_24,32,38,6,Clear,Night
ORD00038,2025-01-01 06:10:00,Suburb-East,Restaurant_29,34,43,9,Rain,Night
ORD00039,2025-01-01 06:20:00,Suburb-East,Restaurant_19,33,41,8,Clear,Night
ORD00040,2025-01-01 06:30:00,University Area,Restaurant_6,41,36,-5,Rain,Night
ORD00041,2025-01-01 06:40:00,Industrial Zone,Restaurant_33,33,28,-5,Clear,Night
ORD00042,2025-01-01 06:50:00,Industrial Zone,Restaurant_49,27,22,-5,Clear,Night
ORD00043,2025-01-01 07:00:00,University Area,Restaurant_40,35,38,3,Storm,Morning
ORD00044,2025-01-01 07:10:00,Industrial Zone,Restaurant_19,36,50,14,Rain,Morning
ORD00045,2025-01-01 07:20:00,Midtown,Restaurant_1,34,41,7,Clear,Morning
ORD00046,2025-01-01 07:30:00,Suburb-East,Restaurant_5,49,59,10,Clear,Morning
ORD00047,2025-01-01 07:40:00,University Area,Restaurant_27,41,38,-3,Clear,Morning
ORD00048,2025-01-01 07:50:00,Suburb-East,Restaurant_16,41,45,4,Clear,Morning
ORD00049,2025-01-01 08:00:00,Downtown,Restaurant_6,49,54,5,Storm,Morning
ORD00050,2025-01-01 08:10:00,Midtown,Restaurant_40,35,33,-2,Cloudy,Morning
ORD00051,2025-01-01 08:20:00,Suburb-West,Restaurant_13,46,41,-5,Clear,Morning
ORD00052,2025-01-01 08:30:00,Midtown,Restaurant_48,28,30,2,Clear,Morning
ORD00053,2025-01-01 08:40:00,University Area,Restaurant_35,31,42,11,Storm,Morning
ORD00054,2025-01-01 08:50:00,Suburb-West,Restaurant_19,45,41,-4,Clear,Morning
ORD00055,2025-01-01 09:00:00,Downtown,Restaurant_12,38,40,2,Rain,Morning
ORD00056,2025-01-01 09:10:00,University Area,Restaurant_16,31,49,18,Clear,Morning
ORD00057,2025-01-01 09:20:00,Uptown,Restaurant_43,48,48,0,Fog,Morning
ORD00058,2025-01-01 09:30:00,Suburb-East,Restaurant_10,32,37,5,Rain,Morning
ORD00059,2025-01-01 09:40:00,Downtown,Restaurant_25,25,28,3,Storm,Morning
ORD00060,2025-01-01 09:50:00,Suburb-East,Restaurant_20,48,51,3,Fog,Morning
ORD00061,2025-01-01 10:00:00,Industrial Zone,Restaurant_31,46,67,21,Clear,Morning
ORD00062,2025-01-01 10:10:00,Uptown,Restaurant_4,28,36,8,Fog,Morning
ORD00063,2025-01-01 10:20:00,Uptown,Restaurant_44,36,31,-5,Storm,Morning
ORD00064,2025-01-01 10:30:00,Downtown,Restaurant_23,48,68,20,Clear,Morning
ORD00065,2025-01-01 10:40:00,Uptown,Restaurant_2,27,34,7,Clear,Morning
ORD00066,2025-01-01 10:50:00,Suburb-West,Restaurant_22,37,38,1,Clear,Morning
ORD00067,2025-01-01 11:00:00,Uptown,Restaurant_37,44,62,18,Clear,Morning
ORD00068,2025-01-01 11:10:00,Suburb-East,Restaurant_8,30,28,-2,Clear,Morning
ORD00069,2025-01-01 11:20:00,Suburb-East,Restaurant_7,35,57,22,Rain,Morning
ORD00070,2025-01-01 11:30:00,University Area,Restaurant_14,47,52,5,Clear,Morning
ORD00071,2025-01-01 11:40:00,Suburb-East,Restaurant_3,28,43,15,Cloudy,Morning
ORD00072,2025-01-01 11:50:00,University Area,Restaurant_50,44,79,35,Clear,Morning
ORD00073,2025-01-01 12:00:00,Suburb-East,Restaurant_16,40,46,6,Clear,Morning
ORD00074,2025-01-01 12:10:00,Suburb-West,Restaurant_19,31,35,4,Clear,Morning
ORD00075,2025-01-01 12:20:00,University Area,Restaurant_18,46,41,-5,Clear,Morning
ORD00076,2025-01-01 12:30:00,Midtown,Restaurant_16,35,38,3,Clear,Morning
ORD00077,2025-01-01 12:40:00,Industrial Zone,Restaurant_8,48,43,-5,Clear,Morning
ORD00078,2025-01-01 12:50:00,Downtown,Restaurant_33,25,28,3,Clear,Morning
ORD00079,2025-01-01 13:00:00,Suburb-East,Restaurant_49,31,64,33,Fog,Afternoon
ORD00080,2025-01-01 13:10:00,Uptown,Restaurant_12,36,42,6,Fog,Afternoon
ORD00081,2025-01-01 13:20:00,Suburb-East,Restaurant_11,31,31,0,Clear,Afternoon
ORD00082,2025-01-01 13:30:00,Uptown,Restaurant_5,47,49,2,Fog,Afternoon
ORD00083,2025-01-01 13:40:00,Industrial Zone,Restaurant_27,31,31,0,Fog,Afternoon
ORD00084,2025-01-01 13:50:00,Industrial Zone,Restaurant_12,34,49,15,Clear,Afternoon
ORD00085,2025-01-01 14:00:00,Industrial Zone,Restaurant_17,40,44,4,Cloudy,Afternoon
ORD00086,2025-01-01 14:10:00,Uptown,Restaurant_6,32,53,21,Storm,Afternoon
ORD00087,2025-01-01 14:20:00,Suburb-East,Restaurant_33,33,34,1,Clear,Afternoon
ORD00088,2025-01-01 14:30:00,Industrial Zone,Restaurant_5,33,35,2,Clear,Afternoon
ORD00089,2025-01-01 14:40:00,Suburb-West,Restaurant_28,26,23,-3,Clear,Afternoon
ORD00090,2025-01-01 14:50:00,University Area,Restaurant_14,37,38,1,Clear,Afternoon
ORD00091,2025-01-01 15:00:00,Uptown,Restaurant_5,37,32,-5,Fog,Afternoon
ORD00092,2025-01-01 15:10:00,Uptown,Restaurant_33,47,42,-5,Clear,Afternoon
ORD00093,2025-01-01 15:20:00,Suburb-East,Restaurant_50,47,58,11,Fog,Afternoon
ORD00094,2025-01-01 15:30:00,Uptown,Restaurant_48,28,23,-5,Fog,Afternoon
ORD00095,2025-01-01 15:40:00,Uptown,Restaurant_41,49,58,9,Rain,Afternoon
ORD00096,2025-01-01 15:50:00,Industrial Zone,Restaurant_19,48,48,0,Rain,Afternoon
ORD00097,2025-01-01 16:00:00,Suburb-East,Restaurant_22,36,50,14,Clear,Afternoon
ORD00098,2025-01-01 16:10:00,Industrial Zone,Restaurant_5,41,36,-5,Clear,Afternoon
ORD00099,2025-01-01 16:20:00,University Area,Restaurant_2,26,36,10,Rain,Afternoon
ORD00100,2025-01-01 16:30:00,University Area,Restaurant_30,37,45,8,Clear,Afternoon
ORD00101,2025-01-01 16:40:00,Industrial Zone,Restaurant_47,42,50,8,Clear,Afternoon
ORD00102,2025-01-01 16:50:00,University Area,Restaurant_39,39,55,16,Cloudy,Afternoon
ORD00103,2025-01-01 17:00:00,Suburb-East,Restaurant_4,32,37,5,Rain,Afternoon
ORD00104,2025-01-01 17:10:00,Downtown,Restaurant_33,39,34,-5,Clear,Afternoon
ORD00105,2025-01-01 17:20:00,Industrial Zone,Restaurant_13,25,34,9,Rain,Afternoon
ORD00106,2025-01-01 17:30:00,Suburb-West,Restaurant_20,44,52,8,Fog,Afternoon
ORD00107,2025-01-01 17:40:00,Suburb-West,Restaurant_7,34,36,2,Clear,Afternoon
ORD00108,2025-01-01 17:50:00,Uptown,Restaurant_15,36,33,-3,Clear,Afternoon
ORD00109,2025-01-01 18:00:00,University Area,Restaurant_23,29,30,1,Cloudy,Afternoon
ORD00110,2025-01-01 18:10:00,Suburb-West,Restaurant_14,33,52,19,Clear,Afternoon
ORD00111,2025-01-01 18:20:00,Uptown,Restaurant_23,47,43,-4,Clear,Afternoon
ORD00112,2025-01-01 18:30:00,Downtown,Restaurant_19,32,27,-5,Clear,Afternoon
ORD00113,2025-01-01 18:40:00,Suburb-East,Restaurant_29,40,35,-5,Fog,Afternoon
ORD00114,2025-01-01 18:50:00,Suburb-East,Restaurant_20,38,42,4,Clear,Afternoon
ORD00115,2025-01-01 19:00:00,Suburb-East,Restaurant_29,49,70,21,Clear,Evening
ORD00116,2025-01-01 19:10:00,Suburb-West,Restaurant_24,37,64,27,Clear,Evening
ORD00117,2025-01-01 19:20:00,Downtown,Restaurant_18,47,58,11,Cloudy,Evening
ORD00118,2025-01-01 19:30:00,Suburb-West,Restaurant_10,45,41,-4,Clear,Evening
ORD00119,2025-01-01 19:40:00,University Area,Restaurant_41,37,34,-3,Rain,Evening
ORD00120,2025-01-01 19:50:00,Suburb-West,Restaurant_8,29,42,13,Cloudy,Evening
ORD00121,2025-01-01 20:00:00,Downtown,Restaurant_26,40,58,18,Clear,Evening
ORD00122,2025-01-01 20:10:00,Downtown,Restaurant_29,35,34,-1,Cloudy,Evening
ORD00123,2025-01-01 20:20:00,University Area,Restaurant_10,46,65,19,Cloudy,Evening
ORD00124,2025-01-01 20:30:00,Downtown,Restaurant_17,29,31,2,Cloudy,Evening
ORD00125,2025-01-01 20:40:00,Downtown,Restaurant_2,37,49,12,Clear,Evening
ORD00126,2025-01-01 20:50:00,Suburb-East,Restaurant_6,35,51,16,Rain,Evening
ORD00127,2025-01-01 21:00:00,University Area,Restaurant_5,49,44,-5,Fog,Evening
ORD00128,2025-01-01 21:10:00,Midtown,Restaurant_28,43,52,9,Cloudy,Evening
ORD00129,2025-01-01 21:20:00,Midtown,Restaurant_41,27,46,19,Clear,Evening
ORD00130,2025-01-01 21:30:00,Downtown,Restaurant_5,39,39,0,Fog,Evening
ORD00131,2025-01-01 21:40:00,Midtown,Restaurant_18,31,26,-5,Clear,Evening
ORD00132,2025-01-01 21:50:00,Midtown,Restaurant_26,31,40,9,Clear,Evening
ORD00133,2025-01-01 22:00:00,Downtown,Restaurant_20,30,36,6,Clear,Evening
ORD00134,2025-01-01 22:10:00,Midtown,Restaurant_41,27,28,1,Fog,Evening
ORD00135,2025-01-01 22:20:00,Suburb-West,Restaurant_49,37,41,4,Clear,Evening
ORD00136,2025-01-01 22:30:00,Uptown,Restaurant_27,31,26,-5,Rain,Evening
ORD00137,2025-01-01 22:40:00,University Area,Restaurant_49,29,38,9,Cloudy,Evening
ORD00138,2025-01-01 22:50:00,Uptown,Restaurant_12,47,67,20,Clear,Evening
ORD00139,2025-01-01 23:00:00,Downtown,Restaurant_7,42,40,-2,Rain,Evening
ORD00140,2025-01-01 23:10:00,Suburb-East,Restaurant_3,46,43,-3,Clear,Evening
ORD00141,2025-01-01 23:20:00,University Area,Restaurant_10,32,38,6,Clear,Evening
ORD00142,2025-01-01 23:30:00,Downtown,Restaurant_34,41,74,33,Rain,Evening
ORD00143,2025-01-01 23:40:00,Suburb-East,Restaurant_25,44,59,15,Cloudy,Evening
ORD00144,2025-01-01 23:50:00,Uptown,Restaurant_35,25,29,4,Rain,Evening
ORD00145,2025-01-02 00:00:00,Downtown,Restaurant_16,38,43,5,Fog,Night
ORD00146,2025-01-02 00:10:00,University Area,Restaurant_2,41,57,16,Clear,Night
ORD00147,2025-01-02 00:20:00,University Area,Restaurant_24,34,30,-4,Clear,Night
ORD00148,2025-01-02 00:30:00,Industrial Zone,Restaurant_10,36,47,11,Rain,Night
ORD00149,2025-01-02 00:40:00,Suburb-West,Restaurant_38,40,35,-5,Clear,Night
ORD00150,2025-01-02 00:50:00,Midtown,Restaurant_22,38,52,14,Clear,Night
ORD00151,2025-01-02 01:00:00,Suburb-East,Restaurant_26,40,42,2,Rain,Night
ORD00152,2025-01-02 01:10:00,Industrial Zone,Restaurant_43,32,39,7,Clear,Night
ORD00153,2025-01-02 01:20:00,Midtown,Restaurant_39,47,48,1,Clear,Night
ORD00154,2025-01-02 01:30:00,Midtown,Restaurant_27,34,45,11,Rain,Night
ORD00155,2025-01-02 01:40:00,Downtown,Restaurant_29,41,44,3,Rain,Night
ORD00156,2025-01-02 01:50:00,Midtown,Restaurant_47,42,68,26,Cloudy,Night
ORD00157,2025-01-02 02:00:00,Suburb-West,Restaurant_38,44,63,19,Rain,Night
ORD00158,2025-01-02 02:10:00,University Area,Restaurant_20,40,35,-5,Clear,Night
ORD00159,2025-01-02 02:20:00,Industrial Zone,Restaurant_27,41,47,6,Cloudy,Night
ORD00160,2025-01-02 02:30:00,Midtown,Restaurant_41,40,52,12,Fog,Night
ORD00161,2025-01-02 02:40:00,Downtown,Restaurant_20,43,43,0,Clear,Night
ORD00162,2025-01-02 02:50:00,Suburb-West,Restaurant_44,48,65,17,Clear,Night
ORD00163,2025-01-02 03:00:00,Uptown,Restaurant_19,48,63,15,Rain,Night
ORD00164,2025-01-02 03:10:00,University Area,Restaurant_20,32,36,4,Rain,Night
ORD00165,2025-01-02 03:20:00,University Area,Restaurant_35,30,44,14,Fog,Night
ORD00166,2025-01-02 03:30:00,Industrial Zone,Restaurant_47,30,25,-5,Fog,Night
ORD00167,2025-01-02 03:40:00,University Area,Restaurant_2,45,63,18,Rain,Night
ORD00168,2025-01-02 03:50:00,Midtown,Restaurant_30,33,46,13,Cloudy,Night
ORD00169,2025-01-02 04:00:00,Downtown,Restaurant_34,28,23,-5,Rain,Night
ORD00170,2025-01-02 04:10:00,University Area,Restaurant_22,36,43,7,Clear,Night
ORD00171,2025-01-02 04:20:00,University Area,Restaurant_3,36,31,-5,Storm,Night
ORD00172,2025-01-02 04:30:00,Uptown,Restaurant_6,47,45,-2,Clear,Night
ORD00173,2025-01-02 04:40:00,Uptown,Restaurant_15,41,56,15,Fog,Night
ORD00174,2025-01-02 04:50:00,Suburb-East,Restaurant_27,39,43,4,Cloudy,Night
ORD00175,2025-01-02 05:00:00,Suburb-West,Restaurant_10,33,37,4,Rain,Night
ORD00176,2025-01-02 05:10:00,Midtown,Restaurant_9,31,36,5,Rain,Night
ORD00177,2025-01-02 05:20:00,University Area,Restaurant_33,34,38,4,Clear,Night
ORD00178,2025-01-02 05:30:00,University Area,Restaurant_32,40,54,14,Clear,Night
ORD00179,2025-01-02 05:40:00,Downtown,Restaurant_48,36,35,-1,Clear,Night
ORD00180,2025-01-02 05:50:00,Suburb-East,Restaurant_6,49,58,9,Rain,Night
ORD00181,2025-01-02 06:00:00,Suburb-West,Restaurant_41,31,26,-5,Fog,Night
ORD00182,2025-01-02 06:10:00,Suburb-East,Restaurant_36,42,54,12,Rain,Night
ORD00183,2025-01-02 06:20:00,Industrial Zone,Restaurant_2,39,40,1,Clear,Night
ORD00184,2025-01-02 06:30:00,Suburb-West,Restaurant_29,30,34,4,Clear,Night
ORD00185,2025-01-02 06:40:00,University Area,Restaurant_4,36,37,1,Fog,Night
ORD00186,2025-01-02 06:50:00,University Area,Restaurant_1,35,37,2,Clear,Night
ORD00187,2025-01-02 07:00:00,Suburb-West,Restaurant_19,44,39,-5,Rain,Morning
ORD00188,2025-01-02 07:10:00,University Area,Restaurant_26,27,35,8,Fog,Morning
ORD00189,2025-01-02 07:20:00,Midtown,Restaurant_25,26,36,10,Rain,Morning
ORD00190,2025-01-02 07:30:00,Suburb-West,Restaurant_10,30,25,-5,Clear,Morning
ORD00191,2025-01-02 07:40:00,Suburb-East,Restaurant_15,48,48,0,Cloudy,Morning
ORD00192,2025-01-02 07:50:00,Suburb-West,Restaurant_22,46,51,5,Clear,Morning
ORD00193,2025-01-02 08:00:00,University Area,Restaurant_48,49,49,0,Cloudy,Morning
ORD00194,2025-01-02 08:10:00,Midtown,Restaurant_21,29,31,2,Clear,Morning
ORD00195,2025-01-02 08:20:00,Midtown,Restaurant_22,42,63,21,Clear,Morning
ORD00196,2025-01-02 08:30:00,Industrial Zone,Restaurant_36,40,35,-5,Cloudy,Morning
ORD00197,2025-01-02 08:40:00,Suburb-East,Restaurant_34,32,27,-5,Clear,Morning
ORD00198,2025-01-02 08:50:00,Uptown,Restaurant_30,49,49,0,Fog,Morning
ORD00199,2025-01-02 09:00:00,Uptown,Restaurant_25,44,45,1,Storm,Morning
ORD00200,2025-01-02 09:10:00,Suburb-West,Restaurant_45,46,46,0,Cloudy,Morning
ORD00201,2025-01-02 09:20:00,Industrial Zone,Restaurant_28,35,42,7,Cloudy,Morning
ORD00202,2025-01-02 09:30:00,Downtown,Restaurant_1,34,29,-5,Clear,Morning
ORD00203,2025-01-02 09:40:00,Suburb-West,Restaurant_49,48,43,-5,Fog,Morning
ORD00204,2025-01-02 09:50:00,Industrial Zone,Restaurant_45,49,48,-1,Clear,Morning
ORD00205,2025-01-02 10:00:00,Suburb-East,Restaurant_4,36,35,-1,Clear,Morning
ORD00206,2025-01-02 10:10:00,Suburb-East,Restaurant_7,45,71,26,Storm,Morning
ORD00207,2025-01-02 10:20:00,Suburb-East,Restaurant_49,30,50,20,Clear,Morning
ORD00208,2025-01-02 10:30:00,Suburb-East,Restaurant_9,44,39,-5,Rain,Morning
ORD00209,2025-01-02 10:40:00,Suburb-East,Restaurant_36,29,24,-5,Rain,Morning
ORD00210,2025-01-02 10:50:00,Industrial Zone,Restaurant_19,47,51,4,Rain,Morning
ORD00211,2025-01-02 11:00:00,Industrial Zone,Restaurant_1,33,57,24,Cloudy,Morning
ORD00212,2025-01-02 11:10:00,Midtown,Restaurant_10,40,51,11,Clear,Morning
ORD00213,2025-01-02 11:20:00,Uptown,Restaurant_36,46,50,4,Rain,Morning
ORD00214,2025-01-02 11:30:00,University Area,Restaurant_9,38,38,0,Cloudy,Morning
ORD00215,2025-01-02 11:40:00,Suburb-East,Restaurant_45,46,61,15,Clear,Morning
ORD00216,2025-01-02 11:50:00,Downtown,Restaurant_46,32,38,6,Clear,Morning
ORD00217,2025-01-02 12:00:00,University Area,Restaurant_42,44,66,22,Rain,Morning
ORD00218,2025-01-02 12:10:00,Industrial Zone,Restaurant_32,43,38,-5,Clear,Morning
ORD00219,2025-01-02 12:20:00,Downtown,Restaurant_32,38,47,9,Clear,Morning
ORD00220,2025-01-02 12:30:00,Downtown,Restaurant_6,31,31,0,Storm,Morning
ORD00221,2025-01-02 12:40:00,Downtown,Restaurant_48,29,38,9,Rain,Morning
ORD00222,2025-01-02 12:50:00,Midtown,Restaurant_38,42,49,7,Cloudy,Morning
ORD00223,2025-01-02 13:00:00,Industrial Zone,Restaurant_17,26,36,10,Storm,Afternoon
ORD00224,2025-01-02 13:10:00,Downtown,Restaurant_10,35,49,14,Rain,Afternoon
ORD00225,2025-01-02 13:20:00,Suburb-East,Restaurant_50,46,64,18,Clear,Afternoon
ORD00226,2025-01-02 13:30:00,Suburb-West,Restaurant_27,32,56,24,Clear,Afternoon
ORD00227,2025-01-02 13:40:00,Downtown,Restaurant_50,25,30,5,Clear,Afternoon
ORD00228,2025-01-02 13:50:00,Midtown,Restaurant_35,46,46,0,Cloudy,Afternoon
ORD00229,2025-01-02 14:00:00,University Area,Restaurant_21,36,31,-5,Clear,Afternoon
ORD00230,2025-01-02 14:10:00,Industrial Zone,Restaurant_25,26,35,9,Clear,Afternoon
ORD00231,2025-01-02 14:20:00,Midtown,Restaurant_28,42,55,13,Rain,Afternoon
ORD00232,2025-01-02 14:30:00,Downtown,Restaurant_47,31,26,-5,Clear,Afternoon
ORD00233,2025-01-02 14:40:00,Industrial Zone,Restaurant_15,41,57,16,Clear,Afternoon
ORD00234,2025-01-02 14:50:00,Suburb-West,Restaurant_4,46,49,3,Rain,Afternoon
ORD00235,2025-01-02 15:00:00,Downtown,Restaurant_29,47,42,-5,Clear,Afternoon
ORD00236,2025-01-02 15:10:00,Midtown,Restaurant_9,38,35,-3,Clear,Afternoon
ORD00237,2025-01-02 15:20:00,Uptown,Restaurant_27,48,44,-4,Clear,Afternoon
ORD00238,2025-01-02 15:30:00,Suburb-East,Restaurant_26,31,27,-4,Fog,Afternoon
ORD00239,2025-01-02 15:40:00,University Area,Restaurant_19,46,56,10,Rain,Afternoon
ORD00240,2025-01-02 15:50:00,Midtown,Restaurant_28,49,62,13,Clear,Afternoon
ORD00241,2025-01-02 16:00:00,Industrial Zone,Restaurant_17,27,48,21,Rain,Afternoon
ORD00242,2025-01-02 16:10:00,Downtown,Restaurant_43,30,29,-1,Clear,Afternoon
ORD00243,2025-01-02 16:20:00,Suburb-East,Restaurant_41,44,52,8,Cloudy,Afternoon
ORD00244,2025-01-02 16:30:00,Downtown,Restaurant_42,26,25,-1,Clear,Afternoon
ORD00245,2025-01-02 16:40:00,Industrial Zone,Restaurant_50,41,46,5,Rain,Afternoon
ORD00246,2025-01-02 16:50:00,Downtown,Restaurant_20,36,31,-5,Cloudy,Afternoon
ORD00247,2025-01-02 17:00:00,Uptown,Restaurant_45,36,31,-5,Storm,Afternoon
ORD00248,2025-01-02 17:10:00,Suburb-East,Restaurant_40,41,54,13,Clear,Afternoon
ORD00249,2025-01-02 17:20:00,Suburb-East,Restaurant_39,34,29,-5,Clear,Afternoon
ORD00250,2025-01-02 17:30:00,Industrial Zone,Restaurant_49,27,38,11,Fog,Afternoon
ORD00251,2025-01-02 17:40:00,University Area,Restaurant_23,44,43,-1,Clear,Afternoon
ORD00252,2025-01-02 17:50:00,Uptown,Restaurant_47,42,37,-5,Storm,Afternoon
ORD00253,2025-01-02 18:00:00,Midtown,Restaurant_32,37,32,-5,Fog,Afternoon
ORD00254,2025-01-02 18:10:00,Downtown,Restaurant_47,36,55,19,Fog,Afternoon
ORD00255,2025-01-02 18:20:00,Suburb-West,Restaurant_33,41,36,-5,Clear,Afternoon
ORD00256,2025-01-02 18:30:00,Downtown,Restaurant_46,28,32,4,Fog,Afternoon
ORD00257,2025-01-02 18:40:00,Downtown,Restaurant_5,47,55,8,Rain,Afternoon
ORD00258,2025-01-02 18:50:00,Midtown,Restaurant_43,34,29,-5,Storm,Afternoon
ORD00259,2025-01-02 19:00:00,Downtown,Restaurant_48,35,35,0,Clear,Evening
ORD00260,2025-01-02 19:10:00,Uptown,Restaurant_34,30,39,9,Clear,Evening
ORD00261,2025-01-02 19:20:00,Uptown,Restaurant_40,30,37,7,Clear,Evening
ORD00262,2025-01-02 19:30:00,Suburb-East,Restaurant_11,33,33,0,Clear,Evening
ORD00263,2025-01-02 19:40:00,Industrial Zone,Restaurant_50,39,46,7,Rain,Evening
ORD00264,2025-01-02 19:50:00,University Area,Restaurant_3,26,29,3,Cloudy,Evening
ORD00265,2025-01-02 20:00:00,Suburb-West,Restaurant_33,28,24,-4,Clear,Evening
ORD00266,2025-01-02 20:10:00,Downtown,Restaurant_11,29,46,17,Storm,Evening
ORD00267,2025-01-02 20:20:00,Downtown,Restaurant_16,41,48,7,Clear,Evening
ORD00268,2025-01-02 20:30:00,Midtown,Restaurant_18,32,27,-5,Clear,Evening
ORD00269,2025-01-02 20:40:00,Industrial Zone,Restaurant_30,32,42,10,Clear,Evening
ORD00270,2025-01-02 20:50:00,Uptown,Restaurant_48,46,45,-1,Clear,Evening
ORD00271,2025-01-02 21:00:00,Suburb-West,Restaurant_10,36,38,2,Cloudy,Evening
ORD00272,2025-01-02 21:10:00,Suburb-East,Restaurant_18,45,50,5,Clear,Evening
ORD00273,2025-01-02 21:20:00,Uptown,Restaurant_38,32,30,-2,Rain,Evening
ORD00274,2025-01-02 21:30:00,Industrial Zone,Restaurant_19,43,66,23,Clear,Evening
ORD00275,2025-01-02 21:40:00,University Area,Restaurant_36,27,22,-5,Cloudy,Evening
ORD00276,2025-01-02 21:50:00,Suburb-East,Restaurant_13,42,47,5,Clear,Evening
ORD00277,2025-01-02 22:00:00,University Area,Restaurant_46,45,53,8,Clear,Evening
ORD00278,2025-01-02 22:10:00,Midtown,Restaurant_3,43,48,5,Clear,Evening
ORD00279,2025-01-02 22:20:00,Midtown,Restaurant_10,43,46,3,Clear,Evening
ORD00280,2025-01-02 22:30:00,Downtown,Restaurant_38,39,40,1,Clear,Evening
ORD00281,2025-01-02 22:40:00,University Area,Restaurant_1,30,27,-3,Cloudy,Evening
ORD00282,2025-01-02 22:50:00,Industrial Zone,Restaurant_27,40,37,-3,Rain,Evening
ORD00283,2025-01-02 23:00:00,Suburb-West,Restaurant_46,32,48,16,Rain,Evening
ORD00284,2025-01-02 23:10:00,Suburb-East,Restaurant_8,40,40,0,Rain,Evening
ORD00285,2025-01-02 23:20:00,Uptown,Restaurant_46,42,68,26,Clear,Evening
ORD00286,2025-01-02 23:30:00,Industrial Zone,Restaurant_42,44,55,11,Clear,Evening
ORD00287,2025-01-02 23:40:00,Industrial Zone,Restaurant_17,40,35,-5,Cloudy,Evening
ORD00288,2025-01-02 23:50:00,Midtown,Restaurant_9,35,48,13,Storm,Evening
ORD00289,2025-01-03 00:00:00,University Area,Restaurant_6,31,35,4,Cloudy,Night
ORD00290,2025-01-03 00:10:00,Downtown,Restaurant_43,41,36,-5,Storm,Night
ORD00291,2025-01-03 00:20:00,Downtown,Restaurant_25,41,59,18,Clear,Night
