Product Name,Category,Price,Quantity Sold,Date of Sale,Revenue
Mango,Fruits,38.4,1,2025-05-05,38.4
Tomato,Vegetables,20.22,17,2025-04-07,343.74
Cheese,Dairy,6.62,19,2024-12-10,125.78
Onion,Vegetables,22.12,10,2024-12-15,221.2
Cookies,Snacks,47.68,16,2025-03-19,762.88
Juice,Beverages,21.91,10,2024-10-06,219.1
Cream,Dairy,12.41,6,2024-07-22,74.46
Milk,Dairy,44.81,16,2025-02-09,716.96
Onion,Vegetables,49.4,10,2025-06-08,494.0
Apple,Fruits,4.98,4,2024-10-27,19.92
Granola Bar,Snacks,17.76,4,2024-07-09,71.04
Granola Bar,Snacks,25.57,1,2024-11-15,25.57
Popcorn,Snacks,42.18,7,2025-05-03,295.26
Tomato,Vegetables,4.91,5,2024-09-27,24.55
Cookies,Snacks,48.29,5,2025-01-12,241.45
Onion,Vegetables,23.05,18,2025-01-05,414.9
Chips,Snacks,21.62,14,2024-07-30,302.68
Potato,Vegetables,19.29,5,2025-03-06,96.45
Spinach,Vegetables,25.29,20,2024-09-17,505.8
Yogurt,Dairy,30.02,19,2025-02-16,570.38
Banana,Fruits,34.84,10,2025-01-04,348.4
Juice,Beverages,28.28,11,2024-08-14,311.08
Soda,Beverages,30.21,13,2024-10-09,392.73
Potato,Vegetables,27.89,19,2025-06-15,529.91
Tomato,Vegetables,11.12,4,2024-11-05,44.48
Cookies,Snacks,29.18,6,2024-07-08,175.08
Spinach,Vegetables,15.6,16,2025-01-10,249.6
Orange,Fruits,24.77,3,2024-12-23,74.31
Cookies,Snacks,47.5,10,2024-09-12,475.0
Juice,Beverages,45.2,9,2025-01-25,406.8
Carrot,Vegetables,1.83,3,2025-03-14,5.49
Orange,Fruits,29.85,9,2025-04-13,268.65
Tomato,Vegetables,22.08,2,2024-10-17,44.16
Grapes,Fruits,32.9,4,2025-06-18,131.6
Banana,Fruits,40.02,11,2025-02-18,440.22
Tomato,Vegetables,22.64,19,2024-07-24,430.16
Grapes,Fruits,31.59,17,2024-07-12,537.03
Juice,Beverages,21.61,16,2025-05-05,345.76
Chips,Snacks,21.78,17,2025-03-17,370.26
Coffee,Beverages,21.9,10,2024-08-27,219.0
Spinach,Vegetables,23.56,6,2024-07-08,141.36
Soda,Beverages,43.54,16,2025-05-27,696.64
Cookies,Snacks,37.8,19,2025-01-24,718.2
Orange,Fruits,34.82,1,2024-10-22,34.82
Grapes,Fruits,17.48,5,2025-03-18,87.4
Milk,Dairy,29.51,12,2025-06-16,354.12
Coffee,Beverages,7.54,7,2025-06-22,52.78
Popcorn,Snacks,17.43,19,2024-08-06,331.17
Tea,Beverages,7.1,8,2025-03-19,56.8
Milk,Dairy,27.05,8,2024-12-31,216.4
Yogurt,Dairy,15.99,11,2024-11-17,175.89
Spinach,Vegetables,1.44,16,2025-04-10,23.04
Carrot,Vegetables,49.07,14,2025-04-30,686.98
Water,Beverages,29.02,16,2025-01-30,464.32
Water,Beverages,11.55,18,2024-10-28,207.9
Soda,Beverages,26.51,11,2025-03-23,291.61
Coffee,Beverages,15.58,3,2024-08-17,46.74
Milk,Dairy,11.16,7,2024-07-31,78.12
Milk,Dairy,8.78,17,2025-04-05,149.26
Popcorn,Snacks,31.07,4,2025-06-03,124.28
Cream,Dairy,35.71,12,2025-05-23,428.52
Butter,Dairy,19.1,17,2025-01-25,324.7
Carrot,Vegetables,33.37,19,2025-05-05,634.03
Cream,Dairy,24.85,13,2024-11-30,323.05
Cookies,Snacks,6.97,8,2024-09-17,55.76
Cream,Dairy,16.29,20,2025-01-23,325.8
Yogurt,Dairy,33.46,2,2025-03-13,66.92
Spinach,Vegetables,18.15,10,2024-10-16,181.5
Orange,Fruits,18.69,11,2024-12-17,205.59
Nuts,Snacks,30.24,3,2025-03-04,90.72
Chips,Snacks,24.61,4,2024-12-29,98.44
Onion,Vegetables,8.5,3,2024-11-28,25.5
Water,Beverages,11.07,17,2025-04-09,188.19
Cheese,Dairy,31.64,11,2025-04-13,348.04
Spinach,Vegetables,29.28,11,2025-01-29,322.08
Water,Beverages,2.76,9,2024-08-23,24.84
Popcorn,Snacks,29.92,5,2025-06-07,149.6
Juice,Beverages,27.5,8,2025-01-23,220.0
Popcorn,Snacks,11.19,9,2025-01-06,100.71
Spinach,Vegetables,30.36,8,2025-06-05,242.88
Mango,Fruits,43.05,4,2024-08-02,172.2
Granola Bar,Snacks,4.63,7,2025-02-12,32.41
Soda,Beverages,27.01,13,2024-08-15,351.13
Milk,Dairy,46.39,16,2025-03-25,742.24
Grapes,Fruits,16.49,1,2025-04-29,16.49
Tea,Beverages,26.22,14,2024-07-01,367.08
Cookies,Snacks,10.88,6,2025-04-21,65.28
Onion,Vegetables,15.83,3,2025-06-01,47.49
Cookies,Snacks,34.76,15,2025-05-14,521.4
Granola Bar,Snacks,40.59,10,2024-10-24,405.9
Yogurt,Dairy,46.21,1,2024-10-11,46.21
Grapes,Fruits,29.58,4,2024-08-01,118.32
Soda,Beverages,4.24,10,2025-06-09,42.4
Butter,Dairy,38.98,18,2025-05-23,701.64
Nuts,Snacks,2.34,15,2025-06-08,35.1
Coffee,Beverages,25.96,4,2024-08-15,103.84
Orange,Fruits,44.64,20,2025-03-08,892.8
Tea,Beverages,26.12,12,2024-08-21,313.44
Soda,Beverages,42.23,12,2024-12-29,506.76
Orange,Fruits,32.95,11,2024-07-05,362.45
Carrot,Vegetables,44.13,14,2025-03-13,617.82
Coffee,Beverages,1.04,3,2024-09-07,3.12
Banana,Fruits,13.98,7,2024-11-22,97.86
Spinach,Vegetables,11.75,19,2024-08-28,223.25
Butter,Dairy,22.12,7,2025-01-03,154.84
Cookies,Snacks,4.18,6,2024-10-11,25.08
Grapes,Fruits,46.18,9,2024-11-22,415.62
Cream,Dairy,11.21,9,2025-02-14,100.89
Cream,Dairy,4.4,1,2025-06-09,4.4
Soda,Beverages,9.58,2,2025-04-26,19.16
Water,Beverages,20.34,3,2025-06-02,61.02
Popcorn,Snacks,31.22,6,2025-03-17,187.32
Yogurt,Dairy,48.67,1,2024-08-17,48.67
Yogurt,Dairy,25.25,16,2024-07-05,404.0
Butter,Dairy,7.48,7,2025-05-05,52.36
Popcorn,Snacks,40.84,9,2025-03-09,367.56
Milk,Dairy,3.59,12,2024-06-25,43.08
Tea,Beverages,10.84,10,2024-12-05,108.4
Butter,Dairy,17.69,1,2025-05-16,17.69
Banana,Fruits,19.74,4,2024-10-23,78.96
Banana,Fruits,46.64,18,2025-05-26,839.52
Chips,Snacks,2.94,8,2025-05-15,23.52
Water,Beverages,10.98,1,2024-09-06,10.98
Mango,Fruits,38.44,13,2025-03-23,499.72
Chips,Snacks,40.55,11,2024-12-04,446.05
Chips,Snacks,30.86,20,2024-11-17,617.2
Spinach,Vegetables,5.44,20,2025-05-03,108.8
Tomato,Vegetables,40.71,16,2024-10-03,651.36
Cookies,Snacks,47.97,14,2025-06-19,671.58
Water,Beverages,8.09,6,2024-07-06,48.54
Orange,Fruits,26.01,12,2025-02-03,312.12
Cheese,Dairy,48.94,10,2024-07-15,489.4
Potato,Vegetables,42.66,19,2024-10-04,810.54
Granola Bar,Snacks,25.95,20,2024-07-14,519.0
Cookies,Snacks,21.96,10,2025-02-03,219.6
Carrot,Vegetables,40.14,5,2025-02-20,200.7
Banana,Fruits,25.83,12,2025-03-20,309.96
Juice,Beverages,43.26,10,2024-10-13,432.6
Coffee,Beverages,22.39,6,2024-09-07,134.34
Yogurt,Dairy,19.96,4,2024-07-11,79.84
Soda,Beverages,40.04,10,2024-09-26,400.4
Spinach,Vegetables,49.6,6,2024-10-25,297.6
Tea,Beverages,32.92,18,2024-08-01,592.56
Potato,Vegetables,37.38,19,2025-06-22,710.22
Butter,Dairy,8.08,11,2025-02-21,88.88
Water,Beverages,35.27,2,2024-08-09,70.54
Banana,Fruits,41.78,10,2025-05-04,417.8
Juice,Beverages,9.77,3,2024-09-08,29.31
Chips,Snacks,16.93,20,2025-06-04,338.6
Juice,Beverages,41.06,15,2025-01-17,615.9
Cream,Dairy,5.93,4,2024-11-27,23.72
Granola Bar,Snacks,19.54,4,2024-11-07,78.16
Banana,Fruits,43.54,20,2024-10-31,870.8
Spinach,Vegetables,16.4,1,2025-03-11,16.4
Cream,Dairy,22.24,16,2025-02-22,355.84
Cheese,Dairy,48.58,5,2024-08-12,242.9
Apple,Fruits,13.99,12,2024-08-21,167.88
Onion,Vegetables,24.91,17,2024-08-14,423.47
Granola Bar,Snacks,8.4,15,2025-04-17,126.0
Milk,Dairy,40.81,15,2024-12-19,612.15
Banana,Fruits,49.34,18,2024-07-17,888.12
Banana,Fruits,2.4,15,2024-12-16,36.0
Potato,Vegetables,8.01,13,2025-05-18,104.13
Cheese,Dairy,25.25,3,2024-12-13,75.75
Potato,Vegetables,9.45,12,2024-10-24,113.4
Soda,Beverages,37.57,5,2025-04-28,187.85
Granola Bar,Snacks,26.98,8,2024-06-29,215.84
Soda,Beverages,35.83,9,2024-08-28,322.47
Popcorn,Snacks,12.53,6,2025-05-28,75.18
Nuts,Snacks,16.11,19,2025-06-20,306.09
Cream,Dairy,2.54,8,2025-06-13,20.32
Water,Beverages,46.38,10,2024-10-14,463.8
Potato,Vegetables,11.6,15,2024-11-07,174.0
Cream,Dairy,8.83,7,2024-12-23,61.81
Juice,Beverages,31.0,13,2025-01-09,403.0
Cookies,Snacks,8.04,2,2024-07-24,16.08
Onion,Vegetables,19.76,1,2024-10-18,19.76
Chips,Snacks,8.5,6,2024-07-01,51.0
Chips,Snacks,5.52,15,2024-12-11,82.8
Orange,Fruits,18.32,10,2024-12-13,183.2
Carrot,Vegetables,14.94,9,2024-07-17,134.46
Milk,Dairy,26.18,13,2024-07-31,340.34
Tomato,Vegetables,27.23,15,2024-08-09,408.45
Cheese,Dairy,25.95,13,2025-05-06,337.35
Banana,Fruits,26.03,12,2024-09-28,312.36
Chips,Snacks,44.83,15,2024-10-06,672.45
Yogurt,Dairy,39.59,4,2024-12-09,158.36
Juice,Beverages,13.25,18,2025-06-18,238.5
Coffee,Beverages,33.57,18,2025-02-20,604.26
Juice,Beverages,41.44,4,2024-10-17,165.76
Mango,Fruits,41.92,3,2024-09-17,125.76
Banana,Fruits,6.33,7,2024-06-22,44.31
Mango,Fruits,13.38,5,2025-06-08,66.9
Apple,Fruits,42.19,9,2024-09-13,379.71
Grapes,Fruits,42.7,5,2024-10-01,213.5
Apple,Fruits,5.58,12,2025-05-05,66.96
Grapes,Fruits,8.19,2,2025-01-25,16.38
Spinach,Vegetables,40.83,13,2024-09-23,530.79
Onion,Vegetables,17.74,7,2024-09-25,124.18
Water,Beverages,29.9,8,2024-10-24,239.2
Mango,Fruits,25.81,15,2025-05-15,387.15
Water,Beverages,48.17,16,2025-02-24,770.72
Onion,Vegetables,14.76,17,2025-05-10,250.92
Apple,Fruits,42.49,16,2025-01-16,679.84
Spinach,Vegetables,47.84,9,2025-01-23,430.56
Carrot,Vegetables,6.35,14,2024-08-30,88.9
Water,Beverages,31.9,2,2024-09-16,63.8
Cookies,Snacks,12.34,17,2025-03-31,209.78
Apple,Fruits,20.32,2,2025-06-11,40.64
Cookies,Snacks,8.15,7,2025-04-01,57.05
Milk,Dairy,45.61,11,2024-11-01,501.71
Popcorn,Snacks,7.81,17,2024-09-23,132.77
Nuts,Snacks,12.01,18,2024-10-01,216.18
Tomato,Vegetables,18.79,8,2024-12-04,150.32
Water,Beverages,14.75,19,2024-11-21,280.25
Milk,Dairy,43.79,6,2024-10-03,262.74
Tomato,Vegetables,38.49,14,2024-08-29,538.86
Yogurt,Dairy,42.96,15,2025-05-27,644.4
Spinach,Vegetables,34.61,1,2025-03-26,34.61
Yogurt,Dairy,3.22,13,2025-03-15,41.86
Yogurt,Dairy,44.61,16,2025-05-12,713.76
Juice,Beverages,31.87,5,2024-11-14,159.35
Water,Beverages,17.56,16,2024-11-30,280.96
Yogurt,Dairy,17.37,7,2025-06-07,121.59
Banana,Fruits,3.71,12,2024-11-24,44.52
Popcorn,Snacks,22.84,12,2024-08-11,274.08
Orange,Fruits,35.53,13,2024-11-27,461.89
Apple,Fruits,34.58,17,2025-01-24,587.86
Carrot,Vegetables,42.3,19,2024-10-10,803.7
Spinach,Vegetables,10.7,19,2024-11-09,203.3
Cream,Dairy,25.42,4,2025-06-11,101.68
Nuts,Snacks,42.3,6,2025-02-26,253.8
Chips,Snacks,32.22,11,2025-05-17,354.42
Yogurt,Dairy,36.86,12,2025-04-08,442.32
Milk,Dairy,6.75,3,2024-09-08,20.25
Potato,Vegetables,23.39,3,2024-07-30,70.17
Spinach,Vegetables,3.34,15,2024-06-30,50.1
Potato,Vegetables,42.3,14,2024-12-27,592.2
Grapes,Fruits,11.39,10,2025-01-24,113.9
Orange,Fruits,44.41,11,2025-02-10,488.51
Grapes,Fruits,25.91,8,2025-02-12,207.28
Cheese,Dairy,1.4,17,2025-03-30,23.8
Milk,Dairy,11.02,13,2025-01-25,143.26
Milk,Dairy,44.73,16,2024-12-14,715.68
Grapes,Fruits,9.47,10,2025-06-21,94.7
Butter,Dairy,23.25,6,2024-09-20,139.5
Cream,Dairy,5.95,20,2025-04-25,119.0
Carrot,Vegetables,9.62,8,2025-01-01,76.96
Spinach,Vegetables,12.2,13,2024-09-06,158.6
Tomato,Vegetables,44.58,15,2024-12-31,668.7
Tea,Beverages,43.34,17,2025-05-20,736.78
Coffee,Beverages,43.64,4,2024-12-03,174.56
Soda,Beverages,35.72,2,2024-07-12,71.44
Mango,Fruits,38.65,9,2024-09-03,347.85
Potato,Vegetables,15.75,2,2024-08-01,31.5
Spinach,Vegetables,41.0,17,2024-10-20,697.0
Potato,Vegetables,33.63,3,2024-08-21,100.89
Banana,Fruits,18.72,18,2024-07-12,336.96
Tomato,Vegetables,47.55,20,2024-11-14,951.0
Chips,Snacks,41.37,9,2024-07-26,372.33
Potato,Vegetables,1.47,7,2024-08-06,10.29
Grapes,Fruits,10.01,1,2024-07-21,10.01
Cream,Dairy,13.27,18,2024-08-25,238.86
Spinach,Vegetables,24.99,13,2024-09-14,324.87
Orange,Fruits,23.31,16,2025-06-20,372.96
Coffee,Beverages,1.94,4,2024-09-14,7.76
Coffee,Beverages,22.87,1,2025-05-06,22.87
Orange,Fruits,23.51,4,2024-11-21,94.04
Carrot,Vegetables,44.18,2,2025-06-15,88.36
Carrot,Vegetables,45.13,16,2025-01-24,722.08
Nuts,Snacks,10.31,14,2024-09-27,144.34
Carrot,Vegetables,35.99,2,2025-06-02,71.98
Milk,Dairy,19.64,4,2024-06-27,78.56
Cheese,Dairy,31.2,16,2024-10-12,499.2
Juice,Beverages,2.97,3,2024-10-18,8.91
Cheese,Dairy,36.41,12,2025-03-15,436.92
Onion,Vegetables,26.32,7,2024-11-04,184.24
Milk,Dairy,29.28,10,2025-05-06,292.8
Water,Beverages,29.68,11,2024-09-01,326.48
Nuts,Snacks,29.56,2,2024-11-06,59.12
Juice,Beverages,17.99,13,2025-02-27,233.87
Soda,Beverages,24.67,6,2025-01-15,148.02
Cheese,Dairy,11.05,20,2024-07-10,221.0
Onion,Vegetables,1.5,17,2024-11-20,25.5
Water,Beverages,42.02,20,2024-06-25,840.4
Tomato,Vegetables,44.14,20,2025-05-11,882.8
Nuts,Snacks,45.24,3,2024-11-20,135.72
Water,Beverages,47.96,14,2024-08-16,671.44
Granola Bar,Snacks,10.93,2,2025-03-06,21.86
Tomato,Vegetables,19.49,2,2025-03-26,38.98
Grapes,Fruits,10.53,6,2025-05-26,63.18
Chips,Snacks,6.79,1,2025-04-02,6.79
Cookies,Snacks,27.8,4,2025-05-17,111.2
Mango,Fruits,24.3,9,2024-11-18,218.7
Granola Bar,Snacks,20.48,8,2024-11-07,163.84
Water,Beverages,27.5,3,2025-04-21,82.5
Water,Beverages,3.52,17,2025-04-22,59.84
Orange,Fruits,25.12,10,2024-10-23,251.2
Cookies,Snacks,12.25,10,2025-02-14,122.5
Juice,Beverages,48.71,19,2024-10-29,925.49
Butter,Dairy,26.92,5,2025-06-22,134.6
Yogurt,Dairy,34.09,3,2025-05-29,102.27
Cheese,Dairy,26.88,13,2024-09-02,349.44
Mango,Fruits,25.71,1,2025-06-07,25.71
Nuts,Snacks,37.25,19,2024-07-19,707.75
Coffee,Beverages,20.0,11,2025-02-22,220.0
Popcorn,Snacks,30.9,2,2024-12-30,61.8
Spinach,Vegetables,3.07,8,2024-09-05,24.56
Onion,Vegetables,5.43,1,2025-03-20,5.43
Tea,Beverages,29.02,14,2025-06-13,406.28
Cheese,Dairy,41.2,7,2024-10-01,288.4
Tea,Beverages,41.48,6,2024-12-14,248.88
Granola Bar,Snacks,1.11,16,2024-12-21,17.76
Orange,Fruits,16.03,2,2024-06-24,32.06
Onion,Vegetables,39.33,17,2024-08-31,668.61
Cream,Dairy,47.28,7,2025-02-14,330.96
Chips,Snacks,24.44,9,2025-01-24,219.96
Granola Bar,Snacks,22.46,16,2024-10-31,359.36
Banana,Fruits,45.6,6,2024-11-05,273.6
Spinach,Vegetables,18.27,2,2025-04-13,36.54
Spinach,Vegetables,5.3,20,2025-01-30,106.0
Butter,Dairy,43.06,18,2024-07-27,775.08
Cream,Dairy,39.3,18,2025-05-25,707.4
Chips,Snacks,5.49,3,2024-07-24,16.47
Cream,Dairy,14.26,1,2024-10-20,14.26
Cream,Dairy,33.67,5,2025-02-19,168.35
Cheese,Dairy,26.72,7,2024-08-12,187.04
Banana,Fruits,33.34,11,2025-06-19,366.74
Tomato,Vegetables,40.17,6,2025-02-28,241.02
Nuts,Snacks,46.25,3,2024-09-05,138.75
Popcorn,Snacks,5.65,4,2024-11-14,22.6
Apple,Fruits,13.7,20,2025-04-11,274.0
Milk,Dairy,42.86,19,2025-01-29,814.34
Butter,Dairy,37.33,11,2025-05-30,410.63
Granola Bar,Snacks,34.26,17,2024-09-28,582.42
Mango,Fruits,47.3,20,2024-06-22,946.0
Nuts,Snacks,23.55,6,2025-05-21,141.3
Cheese,Dairy,32.23,9,2025-03-28,290.07
Tea,Beverages,44.97,18,2025-05-12,809.46
Tomato,Vegetables,37.34,12,2025-05-06,448.08
Butter,Dairy,7.0,7,2024-09-03,49.0
Granola Bar,Snacks,17.99,8,2024-12-26,143.92
Apple,Fruits,23.82,2,2025-06-11,47.64
Apple,Fruits,28.22,17,2025-03-17,479.74
Apple,Fruits,39.19,10,2024-08-05,391.9
Tomato,Vegetables,47.33,18,2025-05-24,851.94
Milk,Dairy,9.97,15,2025-03-27,149.55
Orange,Fruits,26.66,13,2025-06-01,346.58
Grapes,Fruits,16.57,13,2025-05-07,215.41
Banana,Fruits,48.98,19,2024-09-29,930.62
Potato,Vegetables,42.47,10,2024-08-03,424.7
Granola Bar,Snacks,11.11,6,2025-02-08,66.66
Nuts,Snacks,37.46,5,2025-01-27,187.3
Grapes,Fruits,36.35,2,2024-08-26,72.7
Tomato,Vegetables,34.81,5,2024-09-08,174.05
Spinach,Vegetables,42.08,17,2025-05-27,715.36
Apple,Fruits,49.06,16,2024-10-08,784.96
Yogurt,Dairy,32.39,4,2024-10-24,129.56
Tea,Beverages,21.88,11,2024-12-10,240.68
Butter,Dairy,31.8,7,2025-01-25,222.6
Yogurt,Dairy,18.02,6,2025-02-16,108.12
Milk,Dairy,23.91,6,2024-07-19,143.46
Orange,Fruits,23.55,20,2025-03-01,471.0
Granola Bar,Snacks,39.44,15,2024-10-11,591.6
Butter,Dairy,31.94,10,2025-02-18,319.4
