id,timestamp,sender,message
31,2025-04-17 04:17:33,BOBBNK,INR 348.57 spent at Amazon. Avl bal: 35355.05
32,2025-05-16 15:46:14,BOBBNK,Rs. 5218.91 debited towards Netflix/Amazon Prime. Thank you for using BOBBNK
33,2025-01-29 05:25:21,AXISBANK,You paid ₹6054.64 to Uber/Ola. UPI Ref: 301019931
34,2025-06-08 01:09:40,ICICIBANK,Rs. 11123.95 debited for Electricity/Water Bill.
35,2025-06-10 12:13:25,ICICIBANK,Rs. 2094.07 debited for Electricity/Water Bill.
36,2025-04-08 11:38:29,AXISBANK,INR 798.7 spent at Swiggy/Zomato. Avl bal: 40053.57
37,2025-04-11 18:45:55,AXISBANK,Rs. 8606.6 debited for Electricity/Water Bill.
38,2025-05-11 16:31:23,AXISBANK,INR 11918.34 spent at Swiggy/Zomato. Avl bal: 33140.23
39,2025-02-06 05:18:53,SBIINB,You paid ₹11578.38 to Uber/Ola. UPI Ref: 379863327
40,2025-05-13 07:02:14,GPay,You paid ₹13039.73 to Uber/Ola. UPI Ref: 760320576
41,2025-04-09 03:11:58,GPay,Rs. 14536.92 debited for Electricity/Water Bill.
42,2025-04-08 03:37:46,AXISBANK,Rs. 6225.61 debited towards Netflix/Amazon Prime. Thank you for using AXISBANK
43,2025-02-26 00:49:15,AXISBANK,Rs. 11897.9 debited for Electricity/Water Bill.
44,2025-01-04 19:51:52,GPay,INR 13441.18 spent at Swiggy/Zomato. Avl bal: 36493.46
45,2025-05-02 10:15:55,SBIINB,INR 401.11 spent at Swiggy/Zomato. Avl bal: 18009.48
46,2025-01-28 17:25:31,SBIINB,Rs. 14927.93 debited for Electricity/Water Bill.
47,2025-01-08 06:31:15,GPay,Rs. 9727.61 debited for Electricity/Water Bill.
48,2025-06-20 23:49:29,BOBBNK,INR 10943.34 spent at Amazon. Avl bal: 5786.78
49,2025-05-20 07:59:08,GPay,Rs. 5895.02 debited for Rent via NEFT to Marissa. A/c bal: Rs. 19096.19
50,2025-03-20 03:20:35,ICICIBANK,INR 2967.37 spent at Swiggy/Zomato. Avl bal: 31640.78
51,2025-01-24 08:46:57,HDFCBK,You paid ₹1304.84 to Uber/Ola. UPI Ref: 55201950
52,2025-01-01 12:39:46,HDFCBK,You paid ₹9391.05 to Uber/Ola. UPI Ref: 19094048
53,2025-05-14 06:44:02,GPay,INR 6262.7 spent at Swiggy/Zomato. Avl bal: 36024.3
54,2025-06-18 18:25:06,GPay,Rs. 5565.21 debited towards Netflix/Amazon Prime. Thank you for using GPay
55,2025-02-27 13:42:13,ICICIBANK,You paid ₹4525.15 to Uber/Ola. UPI Ref: 539472702
56,2024-12-30 15:13:19,AXISBANK,Rs. 9264.78 debited for Rent via NEFT to Megan. A/c bal: Rs. 38217.56
57,2025-06-04 13:22:19,AXISBANK,INR 4409.96 spent at Swiggy/Zomato. Avl bal: 4506.87
58,2025-06-03 20:16:31,GPay,You paid ₹10740.55 to Uber/Ola. UPI Ref: 960053065
59,2025-04-28 08:11:06,ICICIBANK,Rs. 12346.96 debited for Rent via NEFT to James. A/c bal: Rs. 4334.37
60,2025-02-19 05:49:50,HDFCBK,Rs. 12266.47 debited for Rent via NEFT to Norma. A/c bal: Rs. 47336.61
61,2025-02-09 03:13:33,ICICIBANK,You paid ₹3291.69 to Uber/Ola. UPI Ref: 210062282
62,2024-12-29 16:50:02,ICICIBANK,You paid ₹10251.5 to Uber/Ola. UPI Ref: 876113757
63,2025-03-01 21:04:55,ICICIBANK,Rs. 3200.67 debited for Electricity/Water Bill.
64,2025-01-22 18:47:32,ICICIBANK,INR 8396.46 spent at Amazon. Avl bal: 6340.36
65,2025-05-11 11:41:32,SBIINB,You paid ₹11447.82 to Uber/Ola. UPI Ref: 454643649
66,2025-05-17 09:28:10,ICICIBANK,Rs. 11059.05 debited for Rent via NEFT to Aaron. A/c bal: Rs. 8500.96
67,2025-03-21 08:34:23,AXISBANK,Rs. 5873.64 debited for Rent via NEFT to Cassidy. A/c bal: Rs. 49759.15
68,2025-03-16 12:41:10,BOBBNK,INR 2166.57 spent at Amazon. Avl bal: 32208.39
69,2025-06-24 05:57:17,BOBBNK,You paid ₹731.37 to Uber/Ola. UPI Ref: 52649004
70,2025-01-29 21:26:08,BOBBNK,Rs. 4466.33 debited for Electricity/Water Bill.
71,2025-04-18 01:20:34,AXISBANK,You paid ₹12060.14 to Uber/Ola. UPI Ref: 286814349
72,2025-06-20 17:58:54,AXISBANK,Rs. 3773.74 debited for Electricity/Water Bill.
73,2025-03-20 01:53:48,BOBBNK,Rs. 6450.41 debited for Rent via NEFT to Madison. A/c bal: Rs. 23593.08
74,2025-03-31 01:29:57,ICICIBANK,INR 12735.93 spent at Swiggy/Zomato. Avl bal: 18222.85
75,2024-12-27 06:37:53,HDFCBK,Rs. 12143.73 debited for Rent via NEFT to Joshua. A/c bal: Rs. 20425.33
76,2025-01-25 10:54:45,GPay,Rs. 13084.45 debited for Rent via NEFT to Jesse. A/c bal: Rs. 27348.24
77,2025-06-01 08:16:54,AXISBANK,Rs. 12254.53 debited for Electricity/Water Bill.
78,2025-03-06 20:04:47,AXISBANK,INR 14015.19 spent at Amazon. Avl bal: 22950.02
79,2025-03-31 21:53:21,BOBBNK,Rs. 13485.4 debited for Rent via NEFT to Tonya. A/c bal: Rs. 29032.64
80,2025-02-01 11:47:11,ICICIBANK,Rs. 13841.16 debited for Rent via NEFT to Walter. A/c bal: Rs. 35699.81
81,2025-01-15 16:18:10,HDFCBK,Rs. 5979.46 debited for Electricity/Water Bill.
82,2025-05-23 15:01:56,ICICIBANK,Rs. 734.9 debited for Rent via NEFT to Susan. A/c bal: Rs. 48297.92
83,2025-01-16 00:27:03,ICICIBANK,Rs. 12361.16 debited for Rent via NEFT to Emily. A/c bal: Rs. 18067.02
84,2025-05-01 11:30:28,GPay,INR 1741.34 spent at Amazon. Avl bal: 20722.17
85,2025-01-19 17:11:13,BOBBNK,Rs. 10198.73 debited for Electricity/Water Bill.
86,2024-12-29 07:42:19,ICICIBANK,Rs. 4882.75 debited for Electricity/Water Bill.
87,2025-05-04 22:33:14,ICICIBANK,Rs. 10618.8 debited towards Netflix/Amazon Prime. Thank you for using ICICIBANK
88,2025-03-22 17:03:43,SBIINB,Rs. 6559.81 debited towards Netflix/Amazon Prime. Thank you for using SBIINB
89,2025-06-21 08:36:02,SBIINB,You paid ₹5814.16 to Uber/Ola. UPI Ref: 167306808
90,2025-02-20 07:08:30,HDFCBK,INR 13359.01 spent at Swiggy/Zomato. Avl bal: 37788.38
91,2025-04-12 19:37:59,ICICIBANK,Rs. 11692.83 debited for Rent via NEFT to Mary. A/c bal: Rs. 9209.28
92,2025-01-21 18:10:25,SBIINB,INR 4785.56 spent at Amazon. Avl bal: 9132.96
93,2025-06-25 03:24:27,HDFCBK,You paid ₹12351.87 to Uber/Ola. UPI Ref: 556696029
94,2025-06-10 17:25:54,HDFCBK,INR 14076.85 spent at Amazon. Avl bal: 48606.7
95,2025-01-12 13:15:55,HDFCBK,INR 12011.66 spent at Swiggy/Zomato. Avl bal: 45392.17
96,2025-04-01 14:02:51,HDFCBK,Rs. 12685.39 debited for Electricity/Water Bill.
97,2025-01-13 02:27:53,BOBBNK,You paid ₹10327.7 to Uber/Ola. UPI Ref: 582256904
98,2025-04-07 14:12:42,HDFCBK,Rs. 12157.16 debited towards Netflix/Amazon Prime. Thank you for using HDFCBK
99,2025-02-16 01:17:08,GPay,Rs. 3372.05 debited for Rent via NEFT to Timothy. A/c bal: Rs. 43397.73
100,2025-06-24 22:54:06,BOBBNK,INR 7755.06 spent at Swiggy/Zomato. Avl bal: 41636.31
101,2025-05-19 09:29:08,AXISBANK,Rs. 7489.07 debited towards Netflix/Amazon Prime. Thank you for using AXISBANK
102,2025-03-31 04:58:13,HDFCBK,You paid ₹11945.53 to Uber/Ola. UPI Ref: 767423735
103,2024-12-29 02:21:20,BOBBNK,INR 9684.17 spent at Amazon. Avl bal: 35793.76
104,2025-04-28 00:02:38,BOBBNK,Rs. 2482.48 debited towards Netflix/Amazon Prime. Thank you for using BOBBNK
105,2025-03-24 15:50:03,GPay,INR 12303.46 spent at Amazon. Avl bal: 12170.92
106,2025-03-03 11:07:33,SBIINB,Rs. 14392.43 debited for Rent via NEFT to Samuel. A/c bal: Rs. 1918.32
107,2025-03-20 04:43:24,HDFCBK,INR 5579.36 spent at Swiggy/Zomato. Avl bal: 1433.67
108,2025-02-17 12:31:29,SBIINB,Rs. 441.76 debited for Electricity/Water Bill.
109,2025-04-03 04:28:50,SBIINB,Rs. 1244.67 debited for Rent via NEFT to Christine. A/c bal: Rs. 16808.71
110,2025-03-10 17:45:25,AXISBANK,INR 2064.69 spent at Swiggy/Zomato. Avl bal: 42954.39
111,2025-02-16 02:58:55,AXISBANK,INR 309.95 spent at Amazon. Avl bal: 34052.53
112,2025-04-18 15:48:31,GPay,Rs. 10723.64 debited for Electricity/Water Bill.
113,2025-01-04 06:41:46,SBIINB,INR 8903.36 spent at Amazon. Avl bal: 37577.93
114,2025-01-11 21:40:58,AXISBANK,Rs. 462.12 debited for Rent via NEFT to Vanessa. A/c bal: Rs. 34989.63
115,2025-02-04 17:55:18,AXISBANK,Rs. 10199.64 debited for Rent via NEFT to Yvonne. A/c bal: Rs. 3014.74
116,2025-06-09 16:57:25,BOBBNK,Rs. 9506.91 debited for Electricity/Water Bill.
117,2025-04-12 07:12:02,HDFCBK,You paid ₹10018.47 to Uber/Ola. UPI Ref: 78094946
118,2025-06-09 18:53:08,AXISBANK,INR 5396.75 spent at Amazon. Avl bal: 28462.62
119,2025-06-09 14:53:41,ICICIBANK,Rs. 11795.56 debited towards Netflix/Amazon Prime. Thank you for using ICICIBANK
120,2025-05-06 02:07:00,GPay,INR 5046.51 spent at Swiggy/Zomato. Avl bal: 49841.12
121,2025-03-05 07:37:14,GPay,INR 10080.16 spent at Swiggy/Zomato. Avl bal: 44783.23
122,2025-02-14 11:32:29,GPay,Rs. 7567.11 debited towards Netflix/Amazon Prime. Thank you for using GPay
123,2025-05-27 12:45:12,GPay,INR 12444.69 spent at Amazon. Avl bal: 41212.06
124,2025-02-26 15:48:24,SBIINB,Rs. 8659.89 debited for Rent via NEFT to Kristine. A/c bal: Rs. 9756.34
125,2025-04-23 01:05:50,AXISBANK,You paid ₹942.19 to Uber/Ola. UPI Ref: 294495152
126,2025-05-04 11:20:38,GPay,Rs. 6385.15 debited for Electricity/Water Bill.
127,2025-02-26 15:25:01,ICICIBANK,Rs. 3712.87 debited for Rent via NEFT to Jeremy. A/c bal: Rs. 40597.66
128,2025-05-02 09:19:03,HDFCBK,INR 11070.05 spent at Amazon. Avl bal: 20375.19
129,2025-04-22 11:34:56,AXISBANK,Rs. 1430.84 debited for Electricity/Water Bill.
130,2025-05-25 23:30:00,ICICIBANK,Rs. 14913.15 debited for Electricity/Water Bill.
131,2024-12-27 03:41:00,AXISBANK,Rs. 6083.85 debited towards Netflix/Amazon Prime. Thank you for using AXISBANK
132,2025-01-04 13:58:23,HDFCBK,Rs. 13406.28 debited for Rent via NEFT to Sarah. A/c bal: Rs. 25288.95
133,2025-02-22 14:33:03,BOBBNK,Rs. 8268.49 debited towards Netflix/Amazon Prime. Thank you for using BOBBNK
134,2025-01-02 18:29:17,BOBBNK,You paid ₹328.85 to Uber/Ola. UPI Ref: 98367510
135,2025-03-01 20:25:57,GPay,Rs. 4826.51 debited towards Netflix/Amazon Prime. Thank you for using GPay
136,2025-01-20 13:09:07,BOBBNK,INR 7873.7 spent at Amazon. Avl bal: 36832.56
137,2025-02-09 17:59:50,ICICIBANK,You paid ₹2723.39 to Uber/Ola. UPI Ref: 885788812
138,2025-06-13 21:15:55,GPay,Rs. 13349.86 debited towards Netflix/Amazon Prime. Thank you for using GPay
139,2025-05-20 07:49:22,GPay,INR 14787.33 spent at Swiggy/Zomato. Avl bal: 31191.86
140,2025-03-13 22:05:51,SBIINB,You paid ₹14708.82 to Uber/Ola. UPI Ref: 549726825
141,2025-02-09 05:05:10,ICICIBANK,You paid ₹1207.4 to Uber/Ola. UPI Ref: 737678293
142,2025-02-25 18:22:49,HDFCBK,INR 1629.42 spent at Amazon. Avl bal: 46778.99
143,2025-02-20 10:13:05,ICICIBANK,INR 4530.64 spent at Amazon. Avl bal: 23131.97
144,2025-04-28 04:10:33,GPay,Rs. 7675.71 debited for Rent via NEFT to Edward. A/c bal: Rs. 3713.69
145,2025-02-23 04:54:07,GPay,INR 3646.45 spent at Amazon. Avl bal: 3622.52
146,2025-06-21 12:18:34,ICICIBANK,Rs. 8092.12 debited for Electricity/Water Bill.
147,2025-05-28 02:24:15,ICICIBANK,INR 8636.88 spent at Amazon. Avl bal: 23061.58
148,2025-02-12 02:47:03,GPay,Rs. 11824.45 debited for Electricity/Water Bill.
149,2025-01-02 23:14:19,HDFCBK,You paid ₹12751.66 to Uber/Ola. UPI Ref: 795837013
150,2025-01-17 04:16:38,SBIINB,INR 9259.78 spent at Amazon. Avl bal: 42038.18
151,2025-06-18 04:02:42,SBIINB,Rs. 286.7 debited for Electricity/Water Bill.
152,2025-05-12 17:37:01,GPay,Rs. 8323.34 debited for Electricity/Water Bill.
153,2025-04-30 08:37:39,BOBBNK,You paid ₹1286.4 to Uber/Ola. UPI Ref: 423974539
154,2025-03-26 23:12:32,ICICIBANK,Rs. 11603.4 debited for Electricity/Water Bill.
155,2025-02-12 07:01:23,AXISBANK,INR 6336.96 spent at Amazon. Avl bal: 15303.2
156,2025-04-08 02:58:08,BOBBNK,INR 11104.1 spent at Amazon. Avl bal: 45341.91
157,2025-01-24 11:09:51,HDFCBK,Rs. 9195.45 debited for Electricity/Water Bill.
158,2025-06-18 14:25:21,AXISBANK,You paid ₹2127.29 to Uber/Ola. UPI Ref: 664776378
159,2025-02-14 02:42:05,AXISBANK,Rs. 11329.02 debited for Rent via NEFT to David. A/c bal: Rs. 8205.71
160,2025-05-26 10:53:16,AXISBANK,INR 3869.92 spent at Swiggy/Zomato. Avl bal: 44826.09
161,2025-06-23 23:25:22,ICICIBANK,Rs. 11768.08 debited towards Netflix/Amazon Prime. Thank you for using ICICIBANK
162,2025-03-07 16:23:02,BOBBNK,Rs. 6136.66 debited for Rent via NEFT to Shannon. A/c bal: Rs. 45571.8
163,2025-03-07 20:16:57,GPay,INR 4803.9 spent at Swiggy/Zomato. Avl bal: 27683.26
164,2025-01-01 19:16:31,GPay,Rs. 4939.41 debited for Electricity/Water Bill.
165,2025-02-11 14:34:04,ICICIBANK,INR 11531.5 spent at Amazon. Avl bal: 7846.1
166,2025-05-27 18:12:18,ICICIBANK,INR 13072.68 spent at Amazon. Avl bal: 28360.97
167,2025-03-24 07:01:18,AXISBANK,INR 13923.84 spent at Amazon. Avl bal: 35752.59
168,2025-05-11 10:49:40,HDFCBK,Rs. 626.19 debited for Rent via NEFT to Anna. A/c bal: Rs. 47733.56
169,2025-02-23 19:33:21,HDFCBK,You paid ₹11007.44 to Uber/Ola. UPI Ref: 118233772
170,2025-05-24 15:17:57,SBIINB,INR 3418.93 spent at Amazon. Avl bal: 49688.88
171,2025-06-07 02:45:46,ICICIBANK,Rs. 5368.74 debited for Electricity/Water Bill.
172,2025-02-06 10:51:29,HDFCBK,Rs. 11381.26 debited for Electricity/Water Bill.
173,2025-02-15 01:10:52,GPay,You paid ₹1881.99 to Uber/Ola. UPI Ref: 404558744
174,2025-01-07 05:55:46,AXISBANK,Rs. 11098.18 debited for Electricity/Water Bill.
175,2025-02-25 20:47:58,GPay,INR 14444.77 spent at Swiggy/Zomato. Avl bal: 18049.7
176,2025-01-15 07:09:16,ICICIBANK,Rs. 8363.95 debited towards Netflix/Amazon Prime. Thank you for using ICICIBANK
177,2025-02-15 13:56:26,ICICIBANK,Rs. 12675.39 debited towards Netflix/Amazon Prime. Thank you for using ICICIBANK
178,2025-02-09 22:44:45,ICICIBANK,Rs. 13125.66 debited towards Netflix/Amazon Prime. Thank you for using ICICIBANK
179,2025-06-08 09:31:53,SBIINB,Rs. 11179.93 debited for Electricity/Water Bill.
180,2025-02-08 22:45:13,BOBBNK,Rs. 4705.85 debited for Electricity/Water Bill.
181,2025-02-27 03:31:48,BOBBNK,You paid ₹228.26 to Uber/Ola. UPI Ref: 112925793
182,2025-03-05 06:38:22,AXISBANK,You paid ₹11686.19 to Uber/Ola. UPI Ref: 520853377
183,2025-06-14 08:21:53,HDFCBK,You paid ₹11686.87 to Uber/Ola. UPI Ref: 999706310
184,2025-01-17 07:30:40,ICICIBANK,Rs. 941.14 debited for Rent via NEFT to Joel. A/c bal: Rs. 13878.39
185,2025-02-12 10:49:18,BOBBNK,Rs. 8561.1 debited for Electricity/Water Bill.
186,2025-04-05 13:06:16,AXISBANK,Rs. 3551.94 debited towards Netflix/Amazon Prime. Thank you for using AXISBANK
187,2025-06-05 23:23:51,GPay,Rs. 14059.15 debited for Electricity/Water Bill.
188,2025-01-17 17:59:56,ICICIBANK,Rs. 2116.31 debited towards Netflix/Amazon Prime. Thank you for using ICICIBANK
189,2025-04-22 11:17:20,HDFCBK,INR 8902.32 spent at Amazon. Avl bal: 34668.55
190,2025-04-11 18:09:52,AXISBANK,Rs. 12198.95 debited for Rent via NEFT to Cesar. A/c bal: Rs. 49021.23
191,2025-03-29 14:46:07,ICICIBANK,Rs. 381.86 debited towards Netflix/Amazon Prime. Thank you for using ICICIBANK
192,2025-03-22 00:42:46,SBIINB,INR 12427.89 spent at Amazon. Avl bal: 41086.7
193,2025-05-05 13:29:50,SBIINB,Rs. 2519.44 debited for Electricity/Water Bill.
194,2025-04-15 06:16:05,ICICIBANK,Rs. 9744.45 debited towards Netflix/Amazon Prime. Thank you for using ICICIBANK
195,2025-06-21 18:30:55,ICICIBANK,Rs. 6702.79 debited for Rent via NEFT to Melanie. A/c bal: Rs. 15757.92
196,2025-02-13 06:12:46,SBIINB,INR 5678.82 spent at Swiggy/Zomato. Avl bal: 20859.06
197,2025-02-19 02:20:28,SBIINB,You paid ₹5914.57 to Uber/Ola. UPI Ref: 855660075
198,2025-04-13 02:20:42,GPay,INR 5493.83 spent at Amazon. Avl bal: 5059.4
199,2025-01-01 07:00:04,AXISBANK,Rs. 2704.99 debited for Electricity/Water Bill.
200,2025-02-06 22:59:54,ICICIBANK,You paid ₹721.84 to Uber/Ola. UPI Ref: 565136431
201,2025-04-16 08:38:58,HDFCBK,Rs. 7096.92 debited towards Netflix/Amazon Prime. Thank you for using HDFCBK
202,2025-01-15 07:13:59,AXISBANK,INR 13465.8 spent at Amazon. Avl bal: 19358.18
203,2025-03-05 16:15:13,BOBBNK,INR 5375.09 spent at Swiggy/Zomato. Avl bal: 20093.96
204,2025-02-25 17:05:26,AXISBANK,Rs. 2567.04 debited for Electricity/Water Bill.
205,2025-04-09 14:15:41,BOBBNK,INR 1219.98 spent at Amazon. Avl bal: 11979.2
206,2025-01-29 02:09:02,BOBBNK,INR 7151.8 spent at Amazon. Avl bal: 36337.05
207,2025-02-13 06:43:17,ICICIBANK,Rs. 13832.03 debited for Rent via NEFT to John. A/c bal: Rs. 2171.48
208,2025-04-14 18:40:39,ICICIBANK,You paid ₹2451.41 to Uber/Ola. UPI Ref: 839082044
209,2025-05-14 05:15:44,BOBBNK,Rs. 12103.96 debited towards Netflix/Amazon Prime. Thank you for using BOBBNK
210,2025-05-18 00:10:57,ICICIBANK,You paid ₹1112.16 to Uber/Ola. UPI Ref: 13856187
211,2025-05-01 13:06:38,GPay,You paid ₹11660.28 to Uber/Ola. UPI Ref: 858110698
212,2025-03-05 02:21:46,HDFCBK,Rs. 3188.68 debited towards Netflix/Amazon Prime. Thank you for using HDFCBK
213,2025-05-01 21:02:09,HDFCBK,You paid ₹8119.67 to Uber/Ola. UPI Ref: 359572222
214,2025-03-21 23:05:35,AXISBANK,Rs. 6839.19 debited for Electricity/Water Bill.
215,2025-06-24 16:28:36,AXISBANK,Rs. 2710.98 debited towards Netflix/Amazon Prime. Thank you for using AXISBANK
216,2025-01-26 01:11:56,HDFCBK,You paid ₹8306.97 to Uber/Ola. UPI Ref: 46900631
217,2025-06-16 12:47:00,AXISBANK,Rs. 11248.47 debited towards Netflix/Amazon Prime. Thank you for using AXISBANK
218,2025-04-07 05:03:36,AXISBANK,INR 9691.2 spent at Swiggy/Zomato. Avl bal: 44047.31
219,2025-02-14 16:48:40,AXISBANK,Rs. 13155.78 debited for Rent via NEFT to Lisa. A/c bal: Rs. 48031.86
220,2025-03-21 09:25:05,HDFCBK,Rs. 4431.71 debited towards Netflix/Amazon Prime. Thank you for using HDFCBK
221,2025-01-16 11:10:41,AXISBANK,Rs. 7528.17 debited for Electricity/Water Bill.
222,2025-04-03 03:42:26,HDFCBK,Rs. 7026.14 debited for Electricity/Water Bill.
223,2025-05-18 02:45:51,HDFCBK,INR 14183.93 spent at Swiggy/Zomato. Avl bal: 26832.24
224,2025-05-12 11:18:29,BOBBNK,INR 4854.57 spent at Amazon. Avl bal: 37658.9
225,2025-05-04 08:41:28,SBIINB,INR 14317.94 spent at Amazon. Avl bal: 29352.2
226,2025-01-30 23:24:05,AXISBANK,Rs. 12780.54 debited for Rent via NEFT to Howard. A/c bal: Rs. 6000.44
227,2025-05-03 10:59:52,GPay,Rs. 1699.93 debited towards Netflix/Amazon Prime. Thank you for using GPay
228,2025-06-21 08:42:15,HDFCBK,Rs. 8573.27 debited for Electricity/Water Bill.
229,2025-01-06 13:27:44,BOBBNK,Rs. 12986.41 debited for Electricity/Water Bill.
230,2025-01-21 17:26:48,HDFCBK,Rs. 14420.75 debited towards Netflix/Amazon Prime. Thank you for using HDFCBK
231,2025-03-26 19:22:04,AXISBANK,Rs. 801.32 debited for Rent via NEFT to Kyle. A/c bal: Rs. 25676.97
232,2025-04-19 22:35:58,AXISBANK,Rs. 14761.67 debited towards Netflix/Amazon Prime. Thank you for using AXISBANK
233,2025-05-10 15:19:15,ICICIBANK,Rs. 10346.56 debited for Electricity/Water Bill.
234,2025-05-31 04:00:20,AXISBANK,Rs. 5133.63 debited towards Netflix/Amazon Prime. Thank you for using AXISBANK
235,2025-04-24 07:27:02,GPay,INR 8502.78 spent at Swiggy/Zomato. Avl bal: 3960.54
236,2025-06-17 13:34:40,AXISBANK,You paid ₹5718.3 to Uber/Ola. UPI Ref: 458119463
237,2025-04-24 22:12:44,GPay,Rs. 747.44 debited for Electricity/Water Bill.
238,2025-06-18 07:16:48,AXISBANK,Rs. 10585.27 debited for Rent via NEFT to Jonathan. A/c bal: Rs. 40909.63
239,2025-03-24 04:35:25,AXISBANK,INR 7802.9 spent at Amazon. Avl bal: 3125.23
240,2025-01-01 13:31:01,SBIINB,Rs. 7081.85 debited for Electricity/Water Bill.
241,2025-02-14 03:59:31,SBIINB,INR 643.24 spent at Swiggy/Zomato. Avl bal: 30155.5
242,2025-02-18 23:52:05,HDFCBK,Rs. 10004.5 debited for Electricity/Water Bill.
243,2025-03-31 12:36:54,HDFCBK,Rs. 7127.35 debited for Rent via NEFT to Kimberly. A/c bal: Rs. 40993.41
244,2025-01-26 10:49:05,SBIINB,Rs. 10854.38 debited for Rent via NEFT to Jared. A/c bal: Rs. 6961.5
245,2025-02-20 11:54:56,SBIINB,Rs. 4813.71 debited for Rent via NEFT to Marc. A/c bal: Rs. 32178.94
246,2025-03-07 00:54:55,BOBBNK,Rs. 1233.25 debited for Electricity/Water Bill.
247,2025-02-04 01:25:54,ICICIBANK,INR 10487.83 spent at Swiggy/Zomato. Avl bal: 4434.96
248,2025-03-05 14:16:28,SBIINB,INR 7248.29 spent at Swiggy/Zomato. Avl bal: 44764.02
249,2025-06-07 03:49:37,AXISBANK,You paid ₹12485.28 to Uber/Ola. UPI Ref: 885606299
250,2025-01-03 08:43:53,ICICIBANK,You paid ₹9181.27 to Uber/Ola. UPI Ref: 319084834
251,2025-02-18 21:28:48,SBIINB,INR 2395.62 spent at Amazon. Avl bal: 23163.32
252,2025-05-28 19:24:56,BOBBNK,INR 6399.77 spent at Amazon. Avl bal: 41908.54
253,2025-06-16 18:46:58,GPay,Rs. 10221.66 debited for Electricity/Water Bill.
254,2025-03-22 18:26:25,AXISBANK,Rs. 4286.35 debited towards Netflix/Amazon Prime. Thank you for using AXISBANK
255,2025-03-29 07:55:14,BOBBNK,INR 9035.96 spent at Swiggy/Zomato. Avl bal: 45106.86
256,2025-05-11 04:12:12,GPay,Rs. 2278.35 debited for Rent via NEFT to Jessica. A/c bal: Rs. 46050.53
