Date,UPI ID,Amount,Type,Purpose
2025-05-23,amazon@upi,13772.52,Debit,Food Delivery
2024-12-28,swiggy@upi,12820.24,Credit,House Rent
2025-01-21,gpay@upi,14151.34,Credit,Food Delivery
2025-04-13,phonepe@upi,10772.92,Debit,House Rent
2025-06-11,paytm@upi,8235.4,Credit,Medical
2025-04-06,phonepe@upi,14350.46,Debit,Food Delivery
2025-01-08,amazon@upi,9754.85,Credit,Food Delivery
2025-03-22,paytm@upi,11766.55,Credit,Shopping
2025-01-26,swiggy@upi,3225.06,Debit,House Rent
2025-02-09,phonepe@upi,12066.17,Credit,House Rent
2025-03-11,paytm@upi,7744.85,Debit,Subscription
2025-01-23,swiggy@upi,5012.97,Debit,Food Delivery
2025-05-04,rentcollection@upi,4495.76,Debit,Reimbursement
2025-05-10,phonepe@upi,10975.65,Debit,Reimbursement
2025-06-18,phonepe@upi,8065.36,Credit,House Rent
2025-06-10,swiggy@upi,10872.66,Credit,House Rent
2025-04-05,paytm@upi,4114.02,Credit,Reimbursement
2025-04-02,rentcollection@upi,1236.32,Credit,Subscription
2025-04-17,swiggy@upi,10592.82,Debit,Food Delivery
2025-04-04,paytm@upi,4975.48,Credit,Subscription
2025-05-07,paytm@upi,12691.82,Credit,House Rent
2025-02-13,swiggy@upi,11757.15,Debit,Subscription
2025-03-11,paytm@upi,3830.93,Debit,Medical
2025-06-14,swiggy@upi,14789.66,Credit,Reimbursement
2025-02-15,amazon@upi,8761.87,Debit,Subscription
2025-04-21,rentcollection@upi,13036.33,Credit,Subscription
2025-06-20,swiggy@upi,8995.11,Debit,House Rent
2025-01-12,swiggy@upi,4045.17,Credit,Food Delivery
2025-03-08,gpay@upi,6686.04,Debit,Reimbursement
2025-04-16,amazon@upi,5858.58,Debit,Reimbursement
2025-05-31,swiggy@upi,8340.1,Credit,Shopping
2025-06-14,rentcollection@upi,7060.42,Debit,Medical
2025-05-10,swiggy@upi,4648.42,Credit,Reimbursement
2025-02-16,paytm@upi,14197.46,Debit,House Rent
2025-01-16,swiggy@upi,3982.93,Credit,Food Delivery
2025-02-24,amazon@upi,3263.08,Credit,Medical
2025-01-05,swiggy@upi,10986.94,Credit,Shopping
2025-04-12,paytm@upi,8394.19,Credit,Medical
2025-02-05,swiggy@upi,13974.65,Debit,Reimbursement
2025-06-10,rentcollection@upi,11229.11,Debit,Medical
2025-01-05,gpay@upi,1503.97,Credit,Reimbursement
2025-03-02,amazon@upi,11848.8,Debit,Medical
2025-04-21,amazon@upi,13103.19,Credit,Shopping
2025-03-10,phonepe@upi,5019.86,Debit,Subscription
2025-03-06,gpay@upi,6394.63,Credit,Subscription
2025-03-05,paytm@upi,770.84,Credit,House Rent
2025-06-10,gpay@upi,7125.06,Credit,Medical
2025-03-17,paytm@upi,2696.12,Debit,Shopping
2025-05-31,rentcollection@upi,10519.08,Debit,Subscription
2025-02-08,swiggy@upi,14244.81,Debit,Food Delivery
2025-04-28,paytm@upi,10615.37,Credit,Reimbursement
2025-01-14,paytm@upi,9795.6,Debit,Shopping
2025-03-27,phonepe@upi,11508.73,Debit,Shopping
2025-01-16,gpay@upi,6510.29,Credit,Reimbursement
2025-05-18,gpay@upi,4138.52,Debit,Subscription
2025-02-05,rentcollection@upi,12834.45,Debit,House Rent
2025-06-06,swiggy@upi,14008.86,Debit,Food Delivery
2025-01-25,gpay@upi,6175.67,Credit,Medical
2025-02-21,rentcollection@upi,581.46,Credit,Shopping
2025-03-17,paytm@upi,7212.74,Debit,Reimbursement
2025-01-28,paytm@upi,5888.73,Credit,Shopping
2025-02-21,gpay@upi,6716.63,Debit,Food Delivery
2025-02-21,swiggy@upi,4399.87,Debit,Food Delivery
2025-03-04,swiggy@upi,8162.13,Credit,Shopping
2024-12-28,gpay@upi,1372.47,Credit,Medical
2025-04-05,gpay@upi,3220.76,Debit,Reimbursement
2025-05-24,gpay@upi,2724.72,Debit,Subscription
2025-02-05,rentcollection@upi,10858.16,Credit,Medical
2025-01-15,phonepe@upi,4027.89,Credit,Food Delivery
2025-03-11,amazon@upi,13426.94,Credit,House Rent
2025-03-19,rentcollection@upi,7245.82,Credit,Food Delivery
2025-05-11,swiggy@upi,11255.4,Debit,Food Delivery
2025-03-11,paytm@upi,7829.61,Credit,Food Delivery
2025-06-20,gpay@upi,2196.37,Debit,Food Delivery
2025-05-16,phonepe@upi,7649.37,Debit,House Rent
2025-01-15,phonepe@upi,5182.06,Debit,Food Delivery
2025-04-20,amazon@upi,13071.56,Credit,Food Delivery
2025-03-17,amazon@upi,4025.28,Credit,Medical
2025-05-28,rentcollection@upi,5883.94,Credit,Shopping
2025-05-04,phonepe@upi,2671.73,Debit,House Rent
2025-06-11,gpay@upi,8963.24,Credit,Food Delivery
2025-02-16,amazon@upi,6354.35,Debit,House Rent
2025-06-21,amazon@upi,2886.21,Debit,House Rent
2025-03-21,phonepe@upi,3279.99,Credit,Food Delivery
2024-12-30,gpay@upi,8099.71,Debit,Subscription
2025-02-17,gpay@upi,12928.4,Debit,Reimbursement
2025-04-22,paytm@upi,9888.42,Debit,Medical
2025-03-31,phonepe@upi,8580.02,Credit,House Rent
2025-04-28,gpay@upi,9467.09,Credit,Subscription
2025-01-14,gpay@upi,13419.01,Credit,Food Delivery
2025-04-28,rentcollection@upi,13197.56,Debit,Food Delivery
2025-04-05,gpay@upi,836.06,Credit,Subscription
2025-03-05,phonepe@upi,8496.08,Credit,Shopping
2025-03-31,phonepe@upi,14532.24,Credit,House Rent
2025-06-16,paytm@upi,12095.99,Credit,Medical
2025-01-28,phonepe@upi,5764.91,Debit,House Rent
2025-04-10,swiggy@upi,1825.97,Credit,Reimbursement
2025-04-14,phonepe@upi,5275.85,Debit,Subscription
2024-12-31,rentcollection@upi,1665.33,Credit,Shopping
2025-05-31,swiggy@upi,1911.56,Debit,House Rent
2025-04-19,phonepe@upi,12254.05,Credit,Food Delivery
2025-06-16,rentcollection@upi,11055.42,Credit,Reimbursement
2025-02-19,paytm@upi,6724.18,Debit,Reimbursement
2025-05-26,phonepe@upi,1002.74,Credit,Food Delivery
2025-05-21,swiggy@upi,7244.2,Credit,Food Delivery
2025-01-24,phonepe@upi,11005.2,Debit,Medical
2025-03-30,swiggy@upi,5781.73,Credit,Subscription
2025-03-11,swiggy@upi,14560.4,Credit,Medical
2025-05-07,phonepe@upi,9865.68,Debit,House Rent
2024-12-26,rentcollection@upi,1845.63,Credit,Reimbursement
2025-02-13,phonepe@upi,8495.21,Debit,House Rent
2025-05-06,gpay@upi,4652.06,Credit,Food Delivery
2025-01-14,amazon@upi,9256.9,Debit,Food Delivery
2025-03-23,amazon@upi,1151.77,Debit,House Rent
2025-01-11,swiggy@upi,11042.01,Debit,Reimbursement
2025-06-16,rentcollection@upi,3450.26,Debit,Reimbursement
2024-12-27,swiggy@upi,6294.32,Debit,Medical
2025-01-10,swiggy@upi,9296.06,Credit,Medical
2025-04-28,swiggy@upi,8409.54,Debit,Medical
2024-12-28,phonepe@upi,6275.08,Debit,Medical
2025-04-10,gpay@upi,2922.76,Credit,Medical
2025-05-12,paytm@upi,12520.53,Credit,Shopping
2025-02-07,phonepe@upi,14388.43,Debit,Medical
2025-06-05,rentcollection@upi,1328.52,Credit,Reimbursement
2025-04-27,paytm@upi,6401.77,Credit,House Rent
2025-01-08,gpay@upi,11242.12,Debit,Food Delivery
2025-04-19,swiggy@upi,12040.93,Credit,House Rent
2025-03-15,swiggy@upi,14694.91,Debit,Shopping
2025-01-31,gpay@upi,14724.06,Credit,Reimbursement
2025-03-08,amazon@upi,7939.56,Debit,Food Delivery
2025-06-14,gpay@upi,11504.62,Credit,Medical
2025-05-14,swiggy@upi,13146.27,Credit,Food Delivery
2025-03-16,rentcollection@upi,10427.15,Debit,Subscription
2025-02-19,amazon@upi,405.43,Debit,Shopping
2025-05-08,phonepe@upi,8111.33,Debit,House Rent
2025-03-22,phonepe@upi,6307.59,Credit,Reimbursement
2025-05-22,gpay@upi,4642.5,Debit,Food Delivery
2025-05-30,gpay@upi,8207.55,Credit,Food Delivery
2025-01-05,gpay@upi,12177.25,Credit,Subscription
2025-03-29,paytm@upi,4918.51,Debit,House Rent
2025-05-20,amazon@upi,12818.84,Debit,House Rent
2025-05-15,swiggy@upi,4863.59,Debit,Medical
2025-06-22,swiggy@upi,14750.62,Credit,Subscription
2025-04-28,swiggy@upi,5094.44,Credit,House Rent
2025-02-21,phonepe@upi,2256.29,Debit,Reimbursement
2025-02-10,rentcollection@upi,6756.38,Credit,Reimbursement
2025-02-07,phonepe@upi,10854.79,Credit,Shopping
2025-06-23,gpay@upi,6907.04,Debit,Food Delivery
2025-03-24,amazon@upi,12279.59,Debit,Subscription
2025-05-07,rentcollection@upi,14347.4,Credit,Shopping
2025-03-11,gpay@upi,14678.55,Credit,Reimbursement
2025-06-03,swiggy@upi,5460.46,Debit,House Rent
2025-03-26,swiggy@upi,6137.96,Debit,House Rent
2025-03-18,swiggy@upi,2507.68,Debit,Food Delivery
2024-12-27,amazon@upi,7943.65,Credit,Medical
2025-02-23,amazon@upi,11665.7,Credit,Reimbursement
2025-02-24,rentcollection@upi,11890.58,Credit,Shopping
2025-02-06,swiggy@upi,11082.31,Credit,Subscription
2025-06-10,rentcollection@upi,12979.04,Credit,Reimbursement
2025-03-12,gpay@upi,3209.32,Credit,House Rent
2025-06-03,amazon@upi,13629.28,Debit,Shopping
2025-03-13,gpay@upi,12406.67,Credit,Reimbursement
2025-04-03,phonepe@upi,4351.5,Debit,Medical
2025-02-21,rentcollection@upi,1337.54,Credit,Shopping
2025-05-24,paytm@upi,12993.42,Debit,Subscription
2025-04-21,gpay@upi,11922.62,Debit,Reimbursement
2025-03-28,rentcollection@upi,12867.04,Credit,Food Delivery
2025-03-16,phonepe@upi,1724.95,Credit,Shopping
2025-02-13,gpay@upi,5413.57,Credit,Subscription
2025-06-04,amazon@upi,8180.13,Credit,Medical
2025-01-05,gpay@upi,10900.84,Credit,Shopping
2024-12-31,rentcollection@upi,5660.14,Credit,Food Delivery
2025-03-28,paytm@upi,14772.07,Credit,House Rent
2025-06-18,paytm@upi,5035.47,Debit,Subscription
2025-03-24,paytm@upi,4673.98,Credit,House Rent
2025-01-29,gpay@upi,5484.95,Debit,Shopping
2025-05-15,rentcollection@upi,12785.33,Credit,Subscription
2024-12-29,paytm@upi,13794.05,Debit,Shopping
2025-01-07,swiggy@upi,776.63,Credit,Medical
2025-01-24,phonepe@upi,4042.26,Debit,Reimbursement
2025-05-30,swiggy@upi,13367.73,Debit,Food Delivery
2025-03-30,paytm@upi,5855.16,Debit,Shopping
2025-06-10,swiggy@upi,14982.55,Debit,Subscription
2025-03-11,rentcollection@upi,12698.95,Credit,Reimbursement
2025-01-21,phonepe@upi,9623.36,Credit,Shopping
2025-03-24,paytm@upi,5495.92,Debit,Medical
2024-12-30,gpay@upi,12101.96,Credit,Reimbursement
2025-05-30,rentcollection@upi,11834.0,Credit,Reimbursement
2025-03-09,swiggy@upi,3508.54,Credit,House Rent
2025-02-16,amazon@upi,11460.74,Credit,Subscription
2025-04-05,amazon@upi,7904.14,Credit,Medical
2024-12-27,phonepe@upi,10467.14,Credit,Subscription
2025-02-18,paytm@upi,777.14,Credit,Shopping
2025-04-07,amazon@upi,4017.67,Debit,House Rent
2025-06-20,swiggy@upi,10424.59,Debit,Shopping
2025-03-30,phonepe@upi,7022.37,Debit,Reimbursement
2025-02-04,swiggy@upi,8412.51,Credit,Subscription
2025-05-31,amazon@upi,9226.94,Credit,Medical
2025-01-21,amazon@upi,2076.89,Debit,House Rent
2025-05-31,gpay@upi,5498.0,Credit,Subscription
2025-06-25,gpay@upi,8851.97,Credit,Food Delivery
2025-03-26,phonepe@upi,5291.78,Credit,Shopping
2024-12-25,paytm@upi,6361.22,Credit,Food Delivery
2025-02-01,paytm@upi,7709.46,Debit,House Rent
2025-02-12,rentcollection@upi,12914.72,Credit,Subscription
2025-04-11,gpay@upi,6527.6,Debit,Shopping
2025-03-10,swiggy@upi,11137.91,Debit,Food Delivery
2025-01-02,amazon@upi,2067.08,Debit,Subscription
2025-02-25,swiggy@upi,8783.86,Credit,Shopping
2025-04-07,phonepe@upi,2577.54,Debit,Reimbursement
2025-03-04,amazon@upi,4904.22,Credit,Food Delivery
2025-02-09,gpay@upi,7813.48,Debit,Food Delivery
2025-05-26,gpay@upi,2207.73,Credit,Reimbursement
2025-02-01,amazon@upi,6875.52,Credit,Subscription
2025-04-04,swiggy@upi,2267.84,Debit,Shopping
2025-03-15,gpay@upi,8664.31,Credit,Medical
2025-01-31,gpay@upi,13900.41,Debit,Medical
2025-01-29,phonepe@upi,11219.92,Credit,Food Delivery
2025-03-15,rentcollection@upi,266.09,Debit,Reimbursement
2025-01-07,gpay@upi,4733.2,Credit,House Rent
2025-01-04,rentcollection@upi,5116.85,Debit,Reimbursement
2025-03-17,swiggy@upi,10751.34,Debit,Reimbursement
2025-01-04,swiggy@upi,11745.57,Debit,Medical
2025-02-04,gpay@upi,5671.87,Credit,Food Delivery
2025-05-31,paytm@upi,3608.76,Debit,House Rent
2025-03-31,swiggy@upi,9274.07,Credit,Food Delivery
2025-05-19,phonepe@upi,2243.02,Credit,Medical
2025-05-25,paytm@upi,10888.5,Debit,Medical
2025-04-24,paytm@upi,9483.56,Credit,House Rent
2025-05-16,swiggy@upi,7467.35,Debit,Medical
2025-02-04,gpay@upi,8079.11,Credit,Food Delivery
2025-02-23,rentcollection@upi,5523.59,Debit,House Rent
2024-12-28,amazon@upi,994.15,Credit,Subscription
2025-04-11,gpay@upi,1146.05,Debit,Shopping
2025-01-27,phonepe@upi,1270.44,Credit,Food Delivery
2025-03-06,swiggy@upi,1507.83,Debit,House Rent
2025-02-20,amazon@upi,12799.82,Credit,House Rent
2025-04-20,phonepe@upi,6865.36,Debit,Reimbursement
2025-01-04,amazon@upi,14645.6,Credit,Food Delivery
2025-03-11,paytm@upi,3422.38,Debit,Reimbursement
2025-04-07,rentcollection@upi,4578.43,Debit,Reimbursement
2025-05-08,rentcollection@upi,4950.93,Credit,Food Delivery
2025-05-12,phonepe@upi,4937.85,Debit,Subscription
2025-06-14,amazon@upi,2588.26,Debit,Shopping
2025-03-14,paytm@upi,977.58,Credit,Subscription
2025-04-09,amazon@upi,9094.94,Credit,Subscription
2025-06-09,gpay@upi,11072.81,Credit,Subscription
2025-06-20,rentcollection@upi,14899.95,Credit,Reimbursement
2025-01-07,gpay@upi,2478.07,Credit,Medical
2025-03-05,swiggy@upi,9819.14,Debit,Subscription
2025-05-08,swiggy@upi,5025.64,Credit,Medical
2025-06-18,rentcollection@upi,7353.32,Credit,Food Delivery
2025-03-20,phonepe@upi,14606.56,Credit,Shopping
2025-05-22,phonepe@upi,8634.82,Debit,Subscription
2025-05-02,gpay@upi,6074.84,Debit,Medical
2025-06-13,phonepe@upi,14911.0,Credit,Medical
2025-06-04,gpay@upi,3633.35,Debit,Reimbursement
2025-06-18,rentcollection@upi,319.47,Debit,Medical
2025-04-14,swiggy@upi,5529.84,Credit,House Rent
2024-12-28,phonepe@upi,14286.77,Credit,Subscription
2025-01-04,paytm@upi,5941.92,Credit,Medical
2025-06-11,paytm@upi,6592.9,Credit,Medical
2025-01-22,rentcollection@upi,8310.43,Credit,Medical
2024-12-28,amazon@upi,303.67,Credit,Medical
2025-02-05,swiggy@upi,3963.35,Debit,Subscription
2025-01-23,amazon@upi,6483.31,Credit,Subscription
2025-03-06,gpay@upi,4586.87,Debit,Reimbursement
2025-04-23,phonepe@upi,8200.2,Credit,House Rent
2025-03-06,rentcollection@upi,3842.54,Debit,Medical
2025-06-18,phonepe@upi,10831.81,Debit,Medical
2025-02-08,paytm@upi,2594.71,Debit,House Rent
2025-04-01,swiggy@upi,1207.78,Credit,Shopping
2025-01-12,swiggy@upi,11020.05,Credit,Medical
2024-12-26,gpay@upi,4787.18,Credit,House Rent
2025-01-04,rentcollection@upi,13213.56,Debit,House Rent
2025-02-02,amazon@upi,4804.17,Credit,Food Delivery
2025-02-12,phonepe@upi,1224.67,Credit,House Rent
2025-01-02,amazon@upi,4456.83,Credit,Reimbursement
2025-05-13,paytm@upi,993.8,Debit,Reimbursement
2025-04-04,gpay@upi,10223.62,Credit,Food Delivery
2025-01-01,rentcollection@upi,7098.39,Debit,Food Delivery
2025-02-06,gpay@upi,12020.12,Debit,Shopping
2025-04-26,rentcollection@upi,250.78,Debit,Medical
2025-05-07,swiggy@upi,2246.72,Debit,Shopping
2025-04-12,amazon@upi,1500.36,Credit,Reimbursement
2025-02-10,paytm@upi,9934.67,Debit,Subscription
2025-02-20,gpay@upi,8775.38,Credit,Medical
2025-05-14,rentcollection@upi,6055.87,Debit,Food Delivery
2025-01-27,paytm@upi,8752.2,Credit,Reimbursement
2025-03-21,swiggy@upi,12479.85,Credit,Shopping
2025-02-22,paytm@upi,11409.67,Debit,Subscription
2025-06-18,phonepe@upi,11173.49,Debit,Food Delivery
2025-05-13,gpay@upi,4834.45,Debit,House Rent
2025-04-05,paytm@upi,8739.9,Credit,Subscription
2025-04-09,paytm@upi,1173.76,Debit,Food Delivery
2024-12-30,paytm@upi,972.8,Credit,House Rent
2025-01-12,gpay@upi,3518.83,Debit,Medical
2025-02-18,rentcollection@upi,5186.7,Credit,Subscription
2025-02-28,amazon@upi,10129.94,Credit,House Rent
2025-01-30,rentcollection@upi,4782.42,Credit,Reimbursement
2025-02-26,gpay@upi,14114.44,Debit,Shopping
2025-06-06,paytm@upi,10692.21,Credit,Food Delivery
2025-03-05,amazon@upi,2882.01,Debit,Subscription
2025-05-16,paytm@upi,13253.83,Debit,Shopping
2025-03-01,paytm@upi,4743.46,Credit,Medical
2025-06-21,paytm@upi,14404.3,Debit,Reimbursement
2025-05-06,rentcollection@upi,7988.58,Debit,Subscription
2025-01-07,rentcollection@upi,13987.43,Credit,Subscription
2025-03-30,phonepe@upi,911.77,Debit,Reimbursement
2024-12-25,phonepe@upi,896.81,Debit,Subscription
2025-04-22,paytm@upi,11697.43,Debit,House Rent
2025-05-26,phonepe@upi,5969.98,Debit,Subscription
2025-05-20,phonepe@upi,5803.28,Debit,Subscription
2025-01-25,paytm@upi,3849.6,Debit,Subscription
2025-02-14,amazon@upi,3050.41,Credit,Food Delivery
2025-01-14,paytm@upi,5957.41,Credit,Reimbursement
2025-06-12,rentcollection@upi,11422.48,Credit,Food Delivery
2025-01-28,gpay@upi,10468.25,Debit,Reimbursement
2025-05-26,rentcollection@upi,13996.77,Credit,Reimbursement
2025-03-06,rentcollection@upi,9708.82,Credit,Shopping
2025-06-13,phonepe@upi,8763.28,Credit,Medical
2025-04-06,swiggy@upi,1130.28,Debit,Medical
2025-02-12,amazon@upi,761.05,Credit,Shopping
2025-05-16,rentcollection@upi,14646.16,Credit,Subscription
2025-01-22,amazon@upi,812.21,Credit,Shopping
2025-03-28,phonepe@upi,1957.72,Credit,Subscription
2025-02-24,amazon@upi,4107.12,Debit,House Rent
2025-05-06,swiggy@upi,6466.36,Debit,Shopping
2025-02-23,phonepe@upi,3195.01,Credit,Reimbursement
2025-05-19,amazon@upi,3721.68,Credit,Medical
2025-03-26,phonepe@upi,9103.18,Debit,Food Delivery
2025-02-09,swiggy@upi,7881.24,Debit,Subscription
2025-02-24,swiggy@upi,14795.18,Credit,House Rent
2025-04-12,paytm@upi,2739.91,Debit,Reimbursement
2025-02-13,swiggy@upi,12276.97,Credit,House Rent
2025-06-18,swiggy@upi,8679.53,Credit,House Rent
2025-05-31,amazon@upi,10203.87,Debit,Shopping
2025-06-09,swiggy@upi,8646.1,Credit,Food Delivery
2025-02-02,amazon@upi,8767.37,Debit,Food Delivery
2024-12-29,rentcollection@upi,9045.77,Debit,House Rent
2025-01-18,swiggy@upi,12196.59,Credit,Subscription
2025-01-08,swiggy@upi,6734.87,Debit,Medical
2025-02-15,gpay@upi,9396.36,Credit,House Rent
2025-05-08,paytm@upi,13108.48,Debit,Subscription
2025-06-04,rentcollection@upi,9991.21,Debit,Medical
2025-05-02,amazon@upi,5510.69,Credit,Medical
2025-06-14,rentcollection@upi,8606.06,Debit,Reimbursement
2025-01-26,rentcollection@upi,2125.85,Debit,Reimbursement
2025-06-16,amazon@upi,6983.02,Credit,Subscription
2025-06-04,rentcollection@upi,7566.68,Debit,Medical
2025-05-05,paytm@upi,5778.6,Debit,Subscription
2025-02-22,amazon@upi,13312.55,Debit,House Rent
2025-04-14,paytm@upi,11120.76,Credit,Subscription
2025-05-07,swiggy@upi,5185.76,Debit,Reimbursement
2025-01-20,amazon@upi,14546.58,Debit,Food Delivery
2025-02-13,amazon@upi,12051.33,Debit,Subscription
2025-04-19,rentcollection@upi,5232.99,Credit,Medical
2025-05-20,rentcollection@upi,4813.77,Credit,Reimbursement
2025-01-21,phonepe@upi,2545.03,Debit,Shopping
2025-03-06,phonepe@upi,5063.07,Debit,Food Delivery
2024-12-31,amazon@upi,9625.16,Credit,House Rent
2025-05-14,phonepe@upi,8121.58,Credit,Subscription
2025-01-15,amazon@upi,3959.93,Debit,Food Delivery
2025-03-27,swiggy@upi,9527.67,Debit,Reimbursement
2025-04-18,phonepe@upi,4985.53,Debit,Food Delivery
2025-01-22,paytm@upi,9745.67,Debit,House Rent
2025-05-30,gpay@upi,14103.94,Debit,Medical
2025-05-10,phonepe@upi,2412.69,Credit,Shopping
2025-03-02,paytm@upi,7918.6,Debit,Reimbursement
2025-02-02,rentcollection@upi,4788.6,Credit,Reimbursement
2025-02-14,swiggy@upi,5979.85,Debit,Medical
2025-06-11,rentcollection@upi,14829.25,Debit,House Rent
2025-03-26,rentcollection@upi,2877.65,Credit,Shopping
2025-01-18,amazon@upi,7327.22,Credit,Medical
2025-03-12,gpay@upi,2706.41,Credit,Shopping
2025-03-05,phonepe@upi,13314.44,Debit,Food Delivery
2025-06-11,rentcollection@upi,7449.74,Credit,House Rent
2025-01-05,gpay@upi,8863.92,Debit,Subscription
2025-06-18,paytm@upi,12831.07,Debit,House Rent
2025-03-08,paytm@upi,6510.78,Credit,Shopping
2025-06-20,paytm@upi,10641.88,Credit,Subscription
2025-02-26,swiggy@upi,1538.91,Debit,House Rent
2025-03-16,swiggy@upi,12204.8,Debit,Medical
2025-05-18,rentcollection@upi,10371.42,Credit,Medical
2025-04-23,swiggy@upi,3803.03,Credit,Medical
2025-04-14,swiggy@upi,14975.96,Credit,Subscription
2025-04-25,swiggy@upi,4616.63,Debit,House Rent
2024-12-28,phonepe@upi,13248.85,Debit,Reimbursement
2025-06-13,phonepe@upi,5790.88,Debit,House Rent
2025-04-30,rentcollection@upi,7371.07,Debit,Medical
2025-03-27,gpay@upi,9688.0,Debit,Reimbursement
2025-06-22,rentcollection@upi,8512.78,Credit,House Rent
2025-01-10,swiggy@upi,14954.38,Debit,Reimbursement
2025-01-05,swiggy@upi,13314.11,Credit,Reimbursement
2025-04-26,gpay@upi,7746.03,Debit,Shopping
2025-02-01,gpay@upi,3685.09,Debit,Food Delivery
2025-06-03,gpay@upi,14730.54,Credit,Medical
2025-05-13,rentcollection@upi,12514.31,Credit,Shopping
2025-04-21,amazon@upi,3216.08,Debit,House Rent
2025-04-12,amazon@upi,8628.19,Debit,Reimbursement
2025-05-23,amazon@upi,5875.38,Credit,Shopping
2025-04-22,gpay@upi,14631.35,Credit,Subscription
2025-05-01,gpay@upi,13843.33,Debit,Shopping
2025-04-02,phonepe@upi,5424.68,Debit,Food Delivery
2025-02-24,swiggy@upi,510.14,Credit,Food Delivery
2025-01-02,phonepe@upi,5456.75,Debit,Food Delivery
2025-05-02,rentcollection@upi,1472.25,Debit,Reimbursement
2025-01-19,amazon@upi,13839.1,Credit,House Rent
2025-06-11,paytm@upi,13931.22,Debit,Shopping
2025-01-10,amazon@upi,7253.94,Credit,Shopping
2025-03-03,amazon@upi,9927.84,Debit,Medical
2025-01-21,amazon@upi,3119.56,Credit,Shopping
2025-01-10,phonepe@upi,12064.99,Debit,House Rent
2025-03-06,rentcollection@upi,1990.91,Credit,Reimbursement
2025-01-31,amazon@upi,4611.61,Credit,Medical
2025-04-10,amazon@upi,2673.75,Credit,Shopping
2025-06-20,paytm@upi,12338.14,Credit,Medical
