Date,Description,Debit (INR),Credit (INR),Balance
2025-04-18,Insurance Premium,1232.44,,-739030.22
2025-02-15,SIP Investment,13457.95,,-752488.17
2025-02-14,Insurance Premium,1795.74,,-754283.91
2025-02-14,Insurance Premium,8588.66,,-762872.57
2025-05-26,Flight Booking,6293.26,,-769165.83
2025-01-19,Medical Expense,18880.08,,-788045.91
2025-06-18,Credit Card Payment,10158.68,,-798204.59
2025-01-03,Fuel,16776.19,,-814980.78
2025-04-01,Salary Credited,,12925.31,-802055.47
2025-06-02,Credit Card Payment,6427.12,,-808482.59
2025-03-02,Fuel,6455.19,,-814937.78
2025-03-09,Insurance Premium,9090.62,,-824028.4
2025-06-22,Fuel,18080.53,,-842108.93
2025-05-03,SIP Investment,3899.04,,-846007.97
2025-06-13,Salary Credited,,15339.71,-830668.26
2025-03-27,Amazon Purchase,15432.94,,-846101.2
2025-01-05,SIP Investment,9527.22,,-855628.42
2025-02-21,Insurance Premium,13497.67,,-869126.09
2025-02-01,Medical Expense,3552.06,,-872678.15
2025-05-30,Electricity Bill,9548.45,,-882226.6
2025-03-25,Salary Credited,,2582.07,-879644.53
2025-05-08,Flight Booking,7128.65,,-886773.18
2025-02-16,Amazon Purchase,14669.8,,-901442.98
2025-05-31,Amazon Purchase,12753.72,,-914196.7
2025-01-02,Credit Card Payment,11023.09,,-925219.79
2025-05-13,Electricity Bill,14782.57,,-940002.36
2025-03-30,Amazon Purchase,13940.84,,-953943.2
2025-05-11,UPI to Zomato,19260.9,,-973204.1
2025-03-09,Flight Booking,18938.06,,-992142.16
2025-05-12,Salary Credited,,757.48,-991384.68
2025-02-28,Fuel,16566.05,,-1007950.73
2025-01-22,Electricity Bill,15384.5,,-1023335.23
2025-03-27,Electricity Bill,11469.3,,-1034804.53
2025-04-17,UPI to Zomato,12668.6,,-1047473.13
2025-02-08,Insurance Premium,7255.37,,-1054728.5
2025-06-20,Amazon Purchase,11010.39,,-1065738.89
2025-01-21,UPI to Zomato,7349.09,,-1073087.98
2025-06-17,Insurance Premium,16176.45,,-1089264.43
2025-06-03,Medical Expense,12894.77,,-1102159.2
2025-02-22,Amazon Purchase,2039.68,,-1104198.88
2025-03-17,Electricity Bill,2541.81,,-1106740.69
2025-03-23,Flight Booking,10853.11,,-1117593.8
2025-02-21,SIP Investment,17699.0,,-1135292.8
2025-03-09,Medical Expense,14214.58,,-1149507.38
2025-03-26,Electricity Bill,9344.33,,-1158851.71
2025-06-14,Amazon Purchase,11622.4,,-1170474.11
2025-05-04,Fuel,18632.45,,-1189106.56
2025-02-11,SIP Investment,16562.71,,-1205669.27
2025-03-08,Insurance Premium,14329.26,,-1219998.53
2025-05-25,Electricity Bill,18770.69,,-1238769.22
2025-01-16,Salary Credited,,4722.98,-1234046.24
2025-01-24,Insurance Premium,13478.86,,-1247525.1
2025-01-19,Medical Expense,12825.32,,-1260350.42
2025-05-17,Credit Card Payment,17708.2,,-1278058.62
2025-01-09,Electricity Bill,6037.12,,-1284095.74
2025-01-01,Credit Card Payment,10154.44,,-1294250.18
2025-03-03,Electricity Bill,17330.53,,-1311580.71
2025-03-06,SIP Investment,19584.49,,-1331165.2
2025-06-14,Fuel,8323.78,,-1339488.98
2025-03-22,Credit Card Payment,12082.45,,-1351571.43
2025-04-04,Fuel,1640.25,,-1353211.68
2025-05-30,Insurance Premium,2877.28,,-1356088.96
2025-03-20,Medical Expense,926.61,,-1357015.57
2025-02-05,SIP Investment,11959.42,,-1368974.99
2025-05-14,SIP Investment,5512.11,,-1374487.1
2025-03-13,Insurance Premium,12100.8,,-1386587.9
2025-02-25,Credit Card Payment,18932.05,,-1405519.95
2025-06-10,Flight Booking,1601.33,,-1407121.28
2025-04-18,Amazon Purchase,1840.06,,-1408961.34
2025-03-03,Medical Expense,1912.24,,-1410873.58
2025-03-05,Electricity Bill,6354.08,,-1417227.66
2025-04-12,SIP Investment,889.36,,-1418117.02
2025-03-21,Amazon Purchase,16672.43,,-1434789.45
2025-04-03,Fuel,2881.18,,-1437670.63
2025-05-29,Insurance Premium,11846.76,,-1449517.39
2025-04-09,Fuel,766.5,,-1450283.89
2025-01-07,Insurance Premium,2626.3,,-1452910.19
2025-02-16,UPI to Zomato,19919.42,,-1472829.61
2025-06-19,Flight Booking,19941.69,,-1492771.3
2025-06-09,SIP Investment,17536.9,,-1510308.2
2025-04-12,Medical Expense,10297.02,,-1520605.22
2025-05-01,Amazon Purchase,4520.99,,-1525126.21
2025-02-15,Amazon Purchase,12315.62,,-1537441.83
2025-01-22,Fuel,1322.47,,-1538764.3
2025-01-05,Medical Expense,12701.98,,-1551466.28
2025-04-22,Flight Booking,13353.21,,-1564819.49
2025-06-04,Credit Card Payment,8682.05,,-1573501.54
2025-06-14,Credit Card Payment,11462.66,,-1584964.2
2025-05-15,SIP Investment,6616.89,,-1591581.09
2024-12-29,UPI to Zomato,18299.54,,-1609880.63
2025-03-29,Credit Card Payment,18935.17,,-1628815.8
2025-03-19,Flight Booking,18397.18,,-1647212.98
2025-04-27,Credit Card Payment,1755.29,,-1648968.27
2025-06-14,SIP Investment,8983.65,,-1657951.92
2025-03-17,Credit Card Payment,7384.32,,-1665336.24
2025-02-13,Credit Card Payment,7490.65,,-1672826.89
2025-03-16,Medical Expense,15436.55,,-1688263.44
2025-03-07,Amazon Purchase,917.24,,-1689180.68
2025-02-13,UPI to Zomato,3998.01,,-1693178.69
2025-06-17,Medical Expense,19301.37,,-1712480.06
2025-06-01,Flight Booking,2035.84,,-1714515.9
2025-01-24,Medical Expense,10376.5,,-1724892.4
2025-03-03,UPI to Zomato,6796.45,,-1731688.85
2025-01-17,Electricity Bill,11014.91,,-1742703.76
2025-05-31,Insurance Premium,17118.22,,-1759821.98
2025-05-08,Amazon Purchase,8011.78,,-1767833.76
2025-05-17,Flight Booking,3946.83,,-1771780.59
2025-04-25,Fuel,14308.57,,-1786089.16
2025-04-20,Fuel,12604.89,,-1798694.05
2025-02-18,Electricity Bill,9686.05,,-1808380.1
2025-05-09,SIP Investment,9758.66,,-1818138.76
2025-03-14,Flight Booking,17446.69,,-1835585.45
2025-01-20,Flight Booking,5580.94,,-1841166.39
2025-01-31,Salary Credited,,8351.69,-1832814.7
2025-02-09,Medical Expense,12312.34,,-1845127.04
2025-06-22,Medical Expense,13597.83,,-1858724.87
2025-03-29,SIP Investment,18462.13,,-1877187.0
2025-02-05,Electricity Bill,1143.94,,-1878330.94
2025-06-01,Insurance Premium,6848.4,,-1885179.34
2025-05-20,Salary Credited,,19019.66,-1866159.68
2025-01-01,Electricity Bill,15219.44,,-1881379.12
2025-02-01,UPI to Zomato,8912.77,,-1890291.89
2025-03-17,Amazon Purchase,7697.65,,-1897989.54
2025-06-25,Insurance Premium,1564.39,,-1899553.93
2025-03-27,UPI to Zomato,6361.13,,-1905915.06
2025-03-09,SIP Investment,12145.97,,-1918061.03
2025-04-24,Insurance Premium,18919.57,,-1936980.6
2025-06-08,Medical Expense,10311.98,,-1947292.58
2025-06-03,Salary Credited,,16537.71,-1930754.87
2025-03-16,Fuel,13926.4,,-1944681.27
2025-02-22,Medical Expense,4203.83,,-1948885.1
2025-05-16,Amazon Purchase,12458.23,,-1961343.33
2025-05-27,UPI to Zomato,5759.78,,-1967103.11
2025-04-12,UPI to Zomato,15238.72,,-1982341.83
2025-03-29,Insurance Premium,6599.46,,-1988941.29
2025-04-24,UPI to Zomato,8018.24,,-1996959.53
2025-04-29,Amazon Purchase,12150.47,,-2009110.0
2025-05-04,Insurance Premium,7777.15,,-2016887.15
2025-01-02,Fuel,17661.1,,-2034548.25
2025-04-14,Electricity Bill,11275.47,,-2045823.72
2025-05-14,Credit Card Payment,1036.71,,-2046860.43
2025-01-13,SIP Investment,13409.03,,-2060269.46
2025-02-22,Credit Card Payment,15278.0,,-2075547.46
2025-05-08,Medical Expense,8171.04,,-2083718.5
2025-06-13,SIP Investment,16011.92,,-2099730.42
2025-06-16,Credit Card Payment,8941.17,,-2108671.59
2025-02-03,Fuel,12587.26,,-2121258.85
2025-03-03,SIP Investment,7099.2,,-2128358.05
2025-01-05,Insurance Premium,12124.98,,-2140483.03
2025-05-22,Amazon Purchase,6160.69,,-2146643.72
2024-12-25,Salary Credited,,7477.51,-2139166.21
2025-04-05,SIP Investment,19757.98,,-2158924.19
2025-04-08,Flight Booking,14332.49,,-2173256.68
2025-04-02,Fuel,3095.93,,-2176352.61
2025-05-19,Salary Credited,,13411.43,-2162941.18
2025-05-24,Medical Expense,17095.43,,-2180036.61
2025-05-26,UPI to Zomato,8588.08,,-2188624.69
2025-01-30,Fuel,15245.32,,-2203870.01
2025-06-25,Insurance Premium,3911.33,,-2207781.34
2025-02-14,SIP Investment,17507.27,,-2225288.61
2025-05-18,Electricity Bill,7230.22,,-2232518.83
2025-05-12,Fuel,14078.92,,-2246597.75
2025-06-08,Medical Expense,8197.43,,-2254795.18
2025-04-24,SIP Investment,3753.0,,-2258548.18
2025-04-16,Credit Card Payment,19406.15,,-2277954.33
2025-02-04,Salary Credited,,9362.08,-2268592.25
2025-01-10,Insurance Premium,10415.05,,-2279007.3
2025-01-08,Insurance Premium,12042.15,,-2291049.45
2025-02-16,Flight Booking,7464.21,,-2298513.66
2025-04-18,Flight Booking,19220.19,,-2317733.85
2025-03-11,Credit Card Payment,10211.75,,-2327945.6
2025-02-24,Flight Booking,12644.02,,-2340589.62
2025-02-13,Electricity Bill,6582.96,,-2347172.58
2024-12-31,Credit Card Payment,1177.42,,-2348350.0
2025-06-25,Salary Credited,,13594.21,-2334755.79
2025-04-14,Insurance Premium,19894.66,,-2354650.45
2025-06-02,Amazon Purchase,9903.64,,-2364554.09
2025-06-18,Amazon Purchase,19724.33,,-2384278.42
2025-05-10,Salary Credited,,13003.15,-2371275.27
2025-03-25,Credit Card Payment,2970.46,,-2374245.73
2025-06-11,Flight Booking,3276.84,,-2377522.57
2025-04-04,UPI to Zomato,12633.48,,-2390156.05
2025-03-20,Electricity Bill,9849.93,,-2400005.98
2025-03-11,UPI to Zomato,19563.07,,-2419569.05
2025-06-17,Electricity Bill,9368.51,,-2428937.56
2025-05-17,UPI to Zomato,10561.6,,-2439499.16
2025-03-11,Medical Expense,12131.9,,-2451631.06
2025-04-02,Electricity Bill,3245.62,,-2454876.68
2025-06-25,Medical Expense,8712.76,,-2463589.44
2025-01-01,Electricity Bill,16824.0,,-2480413.44
2025-02-04,Salary Credited,,14309.6,-2466103.84
2025-04-08,Amazon Purchase,10030.99,,-2476134.83
2025-01-14,UPI to Zomato,7901.18,,-2484036.01
2025-06-20,Electricity Bill,6930.49,,-2490966.5
2025-03-30,Salary Credited,,888.39,-2490078.11
2025-03-26,Flight Booking,18420.28,,-2508498.39
2025-05-20,Flight Booking,10522.5,,-2519020.89
2025-06-16,UPI to Zomato,1069.26,,-2520090.15
2025-04-22,Insurance Premium,7065.18,,-2527155.33
2025-04-17,SIP Investment,10897.77,,-2538053.1
2025-02-26,Amazon Purchase,5530.94,,-2543584.04
2025-01-24,Electricity Bill,17156.99,,-2560741.03
2025-03-29,Amazon Purchase,8869.22,,-2569610.25
2025-05-19,UPI to Zomato,1101.51,,-2570711.76
2025-06-23,Flight Booking,5382.97,,-2576094.73
2025-01-15,Amazon Purchase,2172.11,,-2578266.84
2025-05-04,Flight Booking,12493.76,,-2590760.6
2025-01-20,Amazon Purchase,6650.43,,-2597411.03
2025-01-11,Amazon Purchase,15560.12,,-2612971.15
2025-03-12,Electricity Bill,19409.38,,-2632380.53
2025-04-11,Electricity Bill,11587.9,,-2643968.43
2025-06-13,Electricity Bill,5213.48,,-2649181.91
2025-04-03,UPI to Zomato,17046.86,,-2666228.77
2025-01-15,Flight Booking,1851.56,,-2668080.33
2025-04-13,Electricity Bill,17652.24,,-2685732.57
2024-12-25,Medical Expense,14744.96,,-2700477.53
2024-12-28,SIP Investment,1932.16,,-2702409.69
2025-02-10,Salary Credited,,9818.34,-2692591.35
2025-02-06,Fuel,5249.17,,-2697840.52
2025-02-14,Medical Expense,1751.55,,-2699592.07
2025-03-23,UPI to Zomato,4511.98,,-2704104.05
2025-06-22,Insurance Premium,15530.21,,-2719634.26
2025-01-05,Insurance Premium,16233.9,,-2735868.16
2025-02-24,Credit Card Payment,15113.39,,-2750981.55
2025-02-26,Flight Booking,1054.41,,-2752035.96
2025-05-13,Amazon Purchase,2787.86,,-2754823.82
2025-02-03,SIP Investment,2096.0,,-2756919.82
2025-03-03,Medical Expense,528.68,,-2757448.5
2025-06-07,Insurance Premium,15050.59,,-2772499.09
2025-01-26,Medical Expense,3265.42,,-2775764.51
2025-01-27,Electricity Bill,16881.14,,-2792645.65
2025-02-06,Medical Expense,12555.89,,-2805201.54
2025-04-25,Flight Booking,16111.64,,-2821313.18
2025-02-16,Credit Card Payment,12254.56,,-2833567.74
2025-03-03,SIP Investment,761.7,,-2834329.44
2025-01-01,Amazon Purchase,2936.06,,-2837265.5
2025-03-12,Flight Booking,10847.65,,-2848113.15
2025-01-02,Electricity Bill,9786.58,,-2857899.73
2025-06-19,Salary Credited,,16461.62,-2841438.11
2025-05-05,Credit Card Payment,1645.65,,-2843083.76
2025-02-21,Salary Credited,,15185.58,-2827898.18
2025-04-14,Salary Credited,,8254.35,-2819643.83
2025-04-08,Credit Card Payment,12168.21,,-2831812.04
2024-12-26,Salary Credited,,4530.44,-2827281.6
2025-01-17,UPI to Zomato,6757.99,,-2834039.59
2025-01-20,Flight Booking,18686.61,,-2852726.2
2025-02-28,Fuel,16354.11,,-2869080.31
2025-05-01,Credit Card Payment,1332.59,,-2870412.9
2025-01-12,Amazon Purchase,10532.37,,-2880945.27
2025-03-14,Medical Expense,18823.24,,-2899768.51
2025-02-13,UPI to Zomato,586.16,,-2900354.67
2025-05-04,Flight Booking,19566.38,,-2919921.05
2025-05-13,Credit Card Payment,14726.4,,-2934647.45
2025-05-08,UPI to Zomato,14143.25,,-2948790.7
2025-02-18,Amazon Purchase,10759.7,,-2959550.4
2025-05-28,UPI to Zomato,15787.97,,-2975338.37
2025-01-17,UPI to Zomato,4428.07,,-2979766.44
2025-04-15,UPI to Zomato,1489.53,,-2981255.97
2025-05-05,Flight Booking,1541.41,,-2982797.38
2025-04-16,Flight Booking,9662.91,,-2992460.29
2025-06-21,Fuel,16924.49,,-3009384.78
2025-02-12,SIP Investment,3892.81,,-3013277.59
2025-01-23,UPI to Zomato,6326.26,,-3019603.85
2025-04-30,UPI to Zomato,4833.64,,-3024437.49
2025-05-01,Fuel,7437.15,,-3031874.64
2025-05-05,Insurance Premium,16426.95,,-3048301.59
2025-05-29,Electricity Bill,19742.47,,-3068044.06
2025-06-25,Salary Credited,,1635.25,-3066408.81
2025-02-05,Fuel,1269.97,,-3067678.78
2025-04-12,Flight Booking,9146.3,,-3076825.08
2025-04-05,Salary Credited,,18291.51,-3058533.57
2025-05-11,SIP Investment,19179.54,,-3077713.11
2025-03-12,Insurance Premium,5574.14,,-3083287.25
2025-05-02,Fuel,8392.57,,-3091679.82
2025-01-05,UPI to Zomato,2307.16,,-3093986.98
2025-05-20,Salary Credited,,532.71,-3093454.27
2025-03-14,Medical Expense,2692.4,,-3096146.67
2025-03-03,Credit Card Payment,17229.83,,-3113376.5
2025-01-09,Amazon Purchase,13426.66,,-3126803.16
2025-06-24,Insurance Premium,6232.83,,-3133035.99
2025-03-12,Fuel,8255.94,,-3141291.93
2025-06-19,Insurance Premium,13737.01,,-3155028.94
2025-06-02,Credit Card Payment,12216.25,,-3167245.19
2025-04-04,Electricity Bill,11874.36,,-3179119.55
2025-03-12,UPI to Zomato,19865.7,,-3198985.25
2025-02-07,Credit Card Payment,10376.67,,-3209361.92
2025-04-21,Electricity Bill,19946.55,,-3229308.47
2025-05-02,Amazon Purchase,19219.78,,-3248528.25
2025-06-13,SIP Investment,15972.16,,-3264500.41
2025-05-03,Medical Expense,14850.5,,-3279350.91
2025-05-29,Credit Card Payment,19127.1,,-3298478.01
2025-04-27,Insurance Premium,17954.48,,-3316432.49
2025-04-03,Credit Card Payment,18069.77,,-3334502.26
2025-06-02,UPI to Zomato,7319.1,,-3341821.36
2025-06-24,UPI to Zomato,17341.18,,-3359162.54
2025-05-24,Insurance Premium,8143.97,,-3367306.51
2025-03-29,Salary Credited,,7722.04,-3359584.47
2025-05-21,Flight Booking,18933.04,,-3378517.51
2025-02-26,Medical Expense,17409.04,,-3395926.55
2025-03-30,Insurance Premium,17890.35,,-3413816.9
2025-02-22,Insurance Premium,8176.71,,-3421993.61
2025-06-13,Fuel,10212.58,,-3432206.19
2025-04-10,Salary Credited,,4554.64,-3427651.55
2025-05-02,Credit Card Payment,2011.5,,-3429663.05
2025-03-20,Electricity Bill,15187.48,,-3444850.53
2025-01-17,Amazon Purchase,6986.73,,-3451837.26
2025-06-18,UPI to Zomato,14430.87,,-3466268.13
2025-03-03,UPI to Zomato,2235.49,,-3468503.62
2025-05-30,Salary Credited,,17654.31,-3450849.31
2024-12-30,Insurance Premium,2194.56,,-3453043.87
2025-02-10,Insurance Premium,14373.57,,-3467417.44
2025-03-01,Salary Credited,,6779.9,-3460637.54
2025-05-28,Medical Expense,14649.63,,-3475287.17
2025-06-16,Fuel,11599.06,,-3486886.23
2025-03-14,Electricity Bill,19869.14,,-3506755.37
2025-01-08,Amazon Purchase,13913.41,,-3520668.78
2025-05-22,Insurance Premium,2742.75,,-3523411.53
2025-04-27,Amazon Purchase,15199.26,,-3538610.79
2025-04-03,Insurance Premium,6389.11,,-3544999.9
2025-03-11,Fuel,10910.7,,-3555910.6
2024-12-29,Medical Expense,19259.89,,-3575170.49
2025-04-20,Medical Expense,9791.37,,-3584961.86
2025-02-25,Electricity Bill,8635.7,,-3593597.56
2025-06-23,Medical Expense,1070.12,,-3594667.68
2025-03-25,Insurance Premium,3333.44,,-3598001.12
2025-03-17,Insurance Premium,1731.0,,-3599732.12
2025-04-06,Amazon Purchase,4081.29,,-3603813.41
2025-06-12,Amazon Purchase,4615.28,,-3608428.69
2025-03-02,Credit Card Payment,14893.91,,-3623322.6
2025-04-17,Electricity Bill,14368.38,,-3637690.98
2025-01-15,Credit Card Payment,15449.53,,-3653140.51
2025-02-03,Electricity Bill,8696.96,,-3661837.47
2025-06-25,Amazon Purchase,7103.32,,-3668940.79
2025-03-22,Salary Credited,,8976.5,-3659964.29
2025-03-01,Amazon Purchase,3349.95,,-3663314.24
2025-01-29,UPI to Zomato,2376.18,,-3665690.42
2025-03-15,Electricity Bill,5233.35,,-3670923.77
2025-03-15,Salary Credited,,1736.54,-3669187.23
2025-05-08,Fuel,2166.82,,-3671354.05
2025-06-14,Salary Credited,,17250.04,-3654104.01
2024-12-25,Amazon Purchase,4268.73,,-3658372.74
2025-05-19,Fuel,15615.79,,-3673988.53
2025-05-06,Insurance Premium,13511.12,,-3687499.65
2025-03-17,Salary Credited,,6639.16,-3680860.49
2025-01-04,Flight Booking,11959.3,,-3692819.79
2025-02-13,SIP Investment,12634.46,,-3705454.25
2025-03-09,Medical Expense,4880.61,,-3710334.86
2025-05-31,Amazon Purchase,15124.77,,-3725459.63
2025-02-09,Amazon Purchase,17667.27,,-3743126.9
2025-01-29,SIP Investment,14431.27,,-3757558.17
2025-01-04,Medical Expense,15356.17,,-3772914.34
2025-04-12,Amazon Purchase,17145.36,,-3790059.7
2025-05-01,SIP Investment,3328.72,,-3793388.42
2025-02-23,Credit Card Payment,14696.86,,-3808085.28
2025-06-07,UPI to Zomato,16084.29,,-3824169.57
2025-02-13,Salary Credited,,7310.34,-3816859.23
2025-04-05,Credit Card Payment,4450.68,,-3821309.91
2025-04-14,Salary Credited,,7113.1,-3814196.81
2025-06-05,Credit Card Payment,9840.11,,-3824036.92
2025-01-02,SIP Investment,6763.15,,-3830800.07
2025-02-26,Fuel,3664.32,,-3834464.39
2025-05-05,Insurance Premium,5121.27,,-3839585.66
2025-03-27,Insurance Premium,3702.46,,-3843288.12
2025-05-26,Medical Expense,13704.05,,-3856992.17
2025-05-04,Salary Credited,,15715.79,-3841276.38
2025-03-21,Electricity Bill,12115.84,,-3853392.22
2025-06-17,Credit Card Payment,7913.08,,-3861305.3
2025-02-14,Flight Booking,3555.25,,-3864860.55
2025-03-15,Insurance Premium,2462.1,,-3867322.65
2025-02-11,Electricity Bill,6681.87,,-3874004.52
2025-01-29,Insurance Premium,17603.2,,-3891607.72
2025-04-16,Amazon Purchase,6953.75,,-3898561.47
2025-05-14,Insurance Premium,10303.28,,-3908864.75
2025-04-06,Electricity Bill,9905.21,,-3918769.96
2025-01-09,Credit Card Payment,12902.36,,-3931672.32
2025-01-16,Fuel,11442.69,,-3943115.01
2025-03-15,Flight Booking,1197.87,,-3944312.88
2025-04-06,SIP Investment,1168.21,,-3945481.09
2025-05-17,Amazon Purchase,8509.77,,-3953990.86
2025-04-29,Amazon Purchase,8373.58,,-3962364.44
2025-06-13,Insurance Premium,12744.04,,-3975108.48
2025-06-06,Insurance Premium,11683.69,,-3986792.17
2025-03-02,Electricity Bill,8533.6,,-3995325.77
2025-04-10,Fuel,16455.92,,-4011781.69
2025-02-11,Electricity Bill,14701.92,,-4026483.61
2025-05-15,Salary Credited,,15653.76,-4010829.85
2025-06-24,SIP Investment,2231.12,,-4013060.97
2025-02-26,UPI to Zomato,19580.43,,-4032641.4
2025-06-15,Insurance Premium,9261.57,,-4041902.97
2025-02-22,UPI to Zomato,9972.92,,-4051875.89
2025-01-10,SIP Investment,11893.96,,-4063769.85
2025-06-12,SIP Investment,12585.38,,-4076355.23
2025-03-23,Amazon Purchase,1958.54,,-4078313.77
2025-05-10,UPI to Zomato,3848.16,,-4082161.93
2025-01-10,Salary Credited,,16510.05,-4065651.88
2025-04-03,Electricity Bill,7516.95,,-4073168.83
2025-03-02,Medical Expense,10003.53,,-4083172.36
2025-01-16,Amazon Purchase,14266.45,,-4097438.81
2025-01-18,SIP Investment,12309.4,,-4109748.21
2025-04-10,Electricity Bill,15512.71,,-4125260.92
2025-06-17,Medical Expense,10905.94,,-4136166.86
2025-04-28,Insurance Premium,12154.24,,-4148321.1
2025-04-22,UPI to Zomato,17754.38,,-4166075.48
2025-01-27,Insurance Premium,10853.92,,-4176929.4
2025-02-17,Medical Expense,5560.31,,-4182489.71
2025-03-18,Insurance Premium,7751.09,,-4190240.8
2025-04-27,Flight Booking,4766.51,,-4195007.31
2025-04-20,Medical Expense,16345.81,,-4211353.12
2025-01-09,Electricity Bill,11883.29,,-4223236.41
2025-03-18,SIP Investment,13505.24,,-4236741.65
2024-12-26,Electricity Bill,3256.29,,-4239997.94
2025-05-19,Credit Card Payment,8495.46,,-4248493.4
2025-03-13,Credit Card Payment,6032.1,,-4254525.5
