Month,Income (INR),Expense (INR),Savings (INR)
Jun 2025,67273.34,59386.7,7886.64
Jan 2025,34838.85,31096.95,3741.9
Feb 2025,32952.17,27410.33,5541.84
Sep 2024,36350.85,27313.5,9037.35
Jul 2024,48223.72,46195.86,2027.86
Oct 2024,55364.05,27853.72,27510.33
Jun 2025,32874.98,25912.64,6962.34
Jun 2025,34587.73,29025.21,5562.52
Aug 2024,42280.51,34603.51,7677.0
Mar 2025,36213.03,30314.24,5898.79
May 2025,73244.21,25952.46,47291.75
Mar 2025,43489.72,31553.61,11936.11
May 2025,37062.33,28544.11,8518.22
Mar 2025,65435.54,56353.05,9082.49
Aug 2024,68608.95,60969.95,7639.0
May 2025,68522.63,50044.89,18477.74
Jun 2025,55453.29,32475.13,22978.16
Sep 2024,57532.42,34811.29,22721.13
Aug 2024,31046.11,28786.13,2259.98
Nov 2024,60714.6,42731.89,17982.71
May 2025,54207.93,52598.26,1609.67
Mar 2025,38773.84,27358.95,11414.89
Oct 2024,73599.04,29746.23,43852.81
May 2025,52923.87,41158.94,11764.93
Dec 2024,64800.62,27667.34,37133.28
Aug 2024,56373.22,36325.87,20047.35
Oct 2024,73814.46,38388.64,35425.82
Mar 2025,75945.09,58845.35,17099.74
Oct 2024,42078.58,37450.55,4628.03
Feb 2025,46285.4,28126.29,18159.11
Oct 2024,70166.55,59558.2,10608.35
Apr 2025,62563.07,34236.14,28326.93
Jun 2025,54347.77,52388.8,1958.97
Jun 2025,40274.72,31037.04,9237.68
Mar 2025,77636.34,52563.0,25073.34
Apr 2025,31137.22,25483.24,5653.98
Sep 2024,64997.76,36506.34,28491.42
Nov 2024,58883.21,57856.66,1026.55
Sep 2024,49368.06,41941.74,7426.32
May 2025,46917.44,33745.89,13171.55
Dec 2024,74065.98,64665.38,9400.6
Jan 2025,58244.68,44376.23,13868.45
Jun 2025,75176.37,47330.25,27846.12
Apr 2025,71732.98,35056.59,36676.39
Sep 2024,71174.58,42460.59,28713.99
Dec 2024,73616.73,37062.35,36554.38
Mar 2025,60636.23,57805.29,2830.94
Jun 2025,43171.07,36776.39,6394.68
Jul 2024,74676.72,58501.2,16175.52
Mar 2025,57467.53,28286.45,29181.08
Nov 2024,50002.93,34390.39,15612.54
Oct 2024,52272.28,29089.32,23182.96
May 2025,67429.91,44807.01,22622.9
Aug 2024,48848.92,26216.35,22632.57
Sep 2024,30109.95,28053.88,2056.07
Oct 2024,68563.21,42314.59,26248.62
May 2025,39998.5,28511.07,11487.43
Dec 2024,75184.02,47359.07,27824.95
Aug 2024,57179.75,41390.4,15789.35
Jul 2024,68923.17,34703.9,34219.27
Nov 2024,61987.51,44512.54,17474.97
Jun 2025,52367.0,25032.35,27334.65
Aug 2024,44941.44,42363.76,2577.68
Jan 2025,35571.11,29418.49,6152.62
Jun 2025,36870.5,28009.32,8861.18
Oct 2024,30047.74,27898.69,2149.05
Feb 2025,45786.24,31552.52,14233.72
Jan 2025,50982.27,31799.8,19182.47
Jun 2025,44315.31,31110.99,13204.32
Jul 2024,40463.35,31684.68,8778.67
Apr 2025,30115.39,25490.2,4625.19
Jun 2025,31289.49,28911.78,2377.71
Oct 2024,44827.34,35864.01,8963.33
Jan 2025,74284.6,31457.67,42826.93
Dec 2024,56398.3,46429.43,9968.87
Feb 2025,77193.82,76078.26,1115.56
Nov 2024,55035.28,52172.75,2862.53
Aug 2024,68484.61,52075.75,16408.86
Dec 2024,39910.12,35385.12,4525.0
Oct 2024,47315.47,30657.98,16657.49
Aug 2024,34482.58,27981.97,6500.61
Jul 2024,49287.27,43619.5,5667.77
Apr 2025,46018.82,31161.08,14857.74
Jan 2025,58941.5,37290.64,21650.86
Dec 2024,34340.31,29135.2,5205.11
Jun 2025,33707.21,26049.15,7658.06
Apr 2025,59049.69,38920.47,20129.22
Aug 2024,36001.3,33855.23,2146.07
Jan 2025,58616.55,57065.15,1551.4
Oct 2024,38058.71,33391.19,4667.52
May 2025,34440.69,29696.74,4743.95
Jan 2025,63262.27,51223.12,12039.15
Oct 2024,57182.74,32450.95,24731.79
Sep 2024,55124.92,32965.28,22159.64
May 2025,44024.08,29899.14,14124.94
Feb 2025,69612.11,37186.41,32425.7
Apr 2025,57092.82,47050.86,10041.96
Feb 2025,50544.11,41963.73,8580.38
Mar 2025,68101.14,50300.47,17800.67
Jan 2025,79509.86,65094.24,14415.62
Mar 2025,71838.68,61078.45,10760.23
Nov 2024,66606.75,65354.65,1252.1
Oct 2024,59215.52,29304.18,29911.34
Aug 2024,34454.19,28877.86,5576.33
Feb 2025,42124.99,35827.79,6297.2
Jun 2024,32666.36,31361.52,1304.84
Dec 2024,47545.8,25562.88,21982.92
Mar 2025,66332.2,58424.78,7907.42
Jul 2024,34293.77,26173.46,8120.31
Nov 2024,65927.56,39468.33,26459.23
Aug 2024,38525.87,26508.78,12017.09
Jul 2024,36606.42,32817.81,3788.61
Feb 2025,54167.49,25275.04,28892.45
Mar 2025,43184.47,36348.41,6836.06
Nov 2024,55120.67,39161.53,15959.14
Jul 2024,32993.48,29371.95,3621.53
Sep 2024,64952.74,40517.65,24435.09
May 2025,72988.76,41670.39,31318.37
Aug 2024,43390.35,40863.7,2526.65
Aug 2024,68451.11,48816.38,19634.73
May 2025,57886.44,56620.66,1265.78
Jan 2025,35268.61,27532.86,7735.75
Mar 2025,58991.67,46707.16,12284.51
Dec 2024,69834.7,57654.09,12180.61
Jun 2025,54140.59,39070.24,15070.35
Oct 2024,78877.41,35584.56,43292.85
Jan 2025,55022.33,28943.9,26078.43
Apr 2025,58394.61,46246.81,12147.8
Aug 2024,49403.32,38286.11,11117.21
Feb 2025,51500.56,45565.19,5935.37
Oct 2024,45421.54,31543.59,13877.95
Jan 2025,39091.64,28858.98,10232.66
Mar 2025,37276.67,34786.41,2490.26
Jun 2025,45350.9,29840.26,15510.64
Sep 2024,67316.3,56674.04,10642.26
Jan 2025,71634.57,65077.93,6556.64
Aug 2024,48671.48,45872.71,2798.77
Apr 2025,72108.02,30278.07,41829.95
May 2025,78697.23,46601.08,32096.15
Jan 2025,77063.13,59044.8,18018.33
Aug 2024,56201.17,53200.71,3000.46
Jan 2025,41188.04,31441.57,9746.47
Feb 2025,55407.17,42681.22,12725.95
Nov 2024,39071.59,34140.84,4930.75
Jul 2024,54244.08,52431.06,1813.02
Jun 2025,61690.6,26397.79,35292.81
Jul 2024,59492.91,48508.44,10984.47
Sep 2024,60411.54,37896.42,22515.12
Jun 2025,35976.51,27959.63,8016.88
Dec 2024,47525.83,43110.14,4415.69
Jan 2025,73646.88,69682.73,3964.15
Feb 2025,41259.71,30601.05,10658.66
May 2025,49953.81,28290.32,21663.49
Jun 2025,62807.05,51616.01,11191.04
Jul 2024,66511.77,61886.1,4625.67
Feb 2025,67877.92,66601.14,1276.78
Jan 2025,71465.61,42360.62,29104.99
Aug 2024,72181.27,48879.14,23302.13
Feb 2025,71900.05,58365.96,13534.09
Nov 2024,54741.95,44185.9,10556.05
Dec 2024,37894.91,25665.67,12229.24
Sep 2024,64736.13,41226.91,23509.22
Jun 2025,34453.41,32676.94,1776.47
Nov 2024,54042.34,35714.25,18328.09
Mar 2025,56910.69,50997.1,5913.59
Feb 2025,57067.92,34678.08,22389.84
Dec 2024,66319.91,33243.18,33076.73
Apr 2025,55772.69,40263.15,15509.54
May 2025,47661.39,29810.17,17851.22
Feb 2025,68700.74,36547.98,32152.76
Jan 2025,35580.87,32735.99,2844.88
Aug 2024,76566.23,73713.75,2852.48
Jun 2025,46445.52,30444.64,16000.88
Dec 2024,73822.51,62920.57,10901.94
Apr 2025,53385.13,49357.93,4027.2
Nov 2024,58184.26,52709.52,5474.74
May 2025,69944.16,33367.34,36576.82
Jan 2025,35061.24,31456.48,3604.76
Aug 2024,47064.15,36838.37,10225.78
Mar 2025,35057.83,29201.1,5856.73
Oct 2024,57639.18,46010.17,11629.01
Aug 2024,60574.4,58439.31,2135.09
May 2025,75989.2,40124.86,35864.34
Feb 2025,72352.37,42558.18,29794.19
Jan 2025,55450.08,40033.96,15416.12
Mar 2025,37867.65,25790.49,12077.16
May 2025,54589.05,41081.01,13508.04
Aug 2024,64895.86,44522.35,20373.51
Jul 2024,65354.94,47181.35,18173.59
Oct 2024,37284.43,25049.08,12235.35
Apr 2025,53126.43,51459.69,1666.74
Oct 2024,33869.43,25476.0,8393.43
Jan 2025,32859.8,26267.28,6592.52
Mar 2025,72749.11,51575.41,21173.7
Dec 2024,57332.84,40813.07,16519.77
Nov 2024,34902.68,28322.22,6580.46
Jan 2025,43098.48,25180.7,17917.78
Aug 2024,59605.86,39376.73,20229.13
Dec 2024,64474.78,37888.06,26586.72
May 2025,33274.13,26888.88,6385.25
Jun 2024,37407.33,26480.98,10926.35
Jan 2025,66427.28,48486.4,17940.88
Dec 2024,56868.15,26299.0,30569.15
Mar 2025,40028.8,30666.33,9362.47
Oct 2024,63393.84,28880.22,34513.62
May 2025,73539.17,39776.03,33763.14
Nov 2024,35355.71,32521.88,2833.83
Oct 2024,45837.01,32597.41,13239.6
Jan 2025,75436.07,52005.24,23430.83
Jul 2024,39021.54,25895.13,13126.41
Sep 2024,77297.59,27161.44,50136.15
Mar 2025,38750.04,25224.65,13525.39
Apr 2025,57649.58,50460.32,7189.26
Oct 2024,42169.28,35720.49,6448.79
Apr 2025,68579.59,61751.38,6828.21
Mar 2025,64379.97,26300.2,38079.77
Aug 2024,61384.19,36408.53,24975.66
Sep 2024,62463.73,47363.75,15099.98
Jan 2025,48445.62,30491.48,17954.14
Jun 2025,58946.23,57924.79,1021.44
Feb 2025,48844.5,35014.23,13830.27
Sep 2024,66459.33,29777.93,36681.4
Jul 2024,65669.06,28171.97,37497.09
Nov 2024,73781.33,32042.71,41738.62
Nov 2024,36570.39,25294.84,11275.55
Jun 2025,49419.84,25670.44,23749.4
Dec 2024,65137.71,37060.46,28077.25
Aug 2024,47052.78,28107.31,18945.47
Oct 2024,59889.66,30757.79,29131.87
Apr 2025,64683.17,56069.93,8613.24
Nov 2024,57894.54,42945.34,14949.2
Dec 2024,43695.89,39993.44,3702.45
May 2025,53969.82,32319.91,21649.91
Oct 2024,61614.84,50945.66,10669.18
Feb 2025,33391.11,28584.4,4806.71
Jul 2024,39853.33,29265.04,10588.29
May 2025,76187.11,51056.51,25130.6
Jul 2024,36952.64,34508.84,2443.8
Jun 2024,73584.39,59990.87,13593.52
Nov 2024,52442.62,40360.25,12082.37
Jun 2025,71433.13,43045.0,28388.13
Oct 2024,59814.47,38969.44,20845.03
Jun 2025,42939.71,40872.82,2066.89
Dec 2024,63712.44,36401.43,27311.01
May 2025,37589.39,34243.49,3345.9
Dec 2024,74704.83,41072.27,33632.56
May 2025,43703.46,39564.87,4138.59
Apr 2025,68837.91,60793.4,8044.51
Mar 2025,63630.88,45659.27,17971.61
May 2025,76832.42,36291.83,40540.59
Jul 2024,33477.01,30774.19,2702.82
Jun 2025,56386.69,40429.56,15957.13
Dec 2024,52127.43,40168.0,11959.43
Feb 2025,73991.15,72810.23,1180.92
Jul 2024,48975.72,36744.38,12231.34
Sep 2024,56227.91,26991.62,29236.29
May 2025,53365.74,35342.63,18023.11
Apr 2025,72242.98,32496.28,39746.7
Mar 2025,46857.08,44205.57,2651.51
Jun 2025,33735.98,30873.71,2862.27
Jun 2025,77557.76,36156.76,41401.0
Nov 2024,47377.11,42936.69,4440.42
Dec 2024,74124.45,44439.33,29685.12
Sep 2024,32735.18,30607.93,2127.25
Jan 2025,39357.43,27940.89,11416.54
Oct 2024,41349.27,28463.61,12885.66
Dec 2024,36196.94,34102.92,2094.02
Jan 2025,65955.74,25965.49,39990.25
Mar 2025,65909.46,42634.71,23274.75
May 2025,38825.88,37027.37,1798.51
Nov 2024,56176.66,42722.17,13454.49
Sep 2024,43115.97,41599.85,1516.12
Oct 2024,38131.92,30038.94,8092.98
Dec 2024,67987.19,37371.35,30615.84
Jun 2025,61332.4,25096.49,36235.91
Jul 2024,47760.93,39715.57,8045.36
Jan 2025,48830.47,42456.62,6373.85
Jan 2025,50503.2,29372.59,21130.61
May 2025,30099.21,28567.99,1531.22
Jun 2025,36058.5,30762.43,5296.07
Jun 2025,42710.11,26480.81,16229.3
May 2025,75114.23,66074.61,9039.62
Jul 2024,72658.87,64276.32,8382.55
Sep 2024,55904.8,30830.14,25074.66
May 2025,36070.03,29517.15,6552.88
Oct 2024,38426.48,31165.65,7260.83
Mar 2025,73543.54,52591.66,20951.88
May 2025,68824.21,47887.16,20937.05
Oct 2024,30264.92,26433.08,3831.84
Apr 2025,69724.67,28431.6,41293.07
Mar 2025,40878.28,32378.48,8499.8
Mar 2025,79128.82,49460.73,29668.09
Jul 2024,31120.74,29884.09,1236.65
Dec 2024,66389.55,47243.2,19146.35
Jul 2024,32891.46,27069.23,5822.23
Jul 2024,57198.56,50904.8,6293.76
Apr 2025,60586.43,43579.97,17006.46
Jun 2025,76150.12,32001.14,44148.98
Apr 2025,76609.84,52853.13,23756.71
Dec 2024,55184.26,31362.95,23821.31
Mar 2025,50795.58,42506.42,8289.16
Aug 2024,72328.5,40490.49,31838.01
Sep 2024,52968.03,31593.84,21374.19
Mar 2025,69936.96,29889.01,40047.95
May 2025,77038.56,56670.43,20368.13
Nov 2024,45254.49,31362.07,13892.42
Jun 2025,52166.97,41975.44,10191.53
Dec 2024,49063.48,32049.94,17013.54
Sep 2024,48303.89,28326.05,19977.84
Oct 2024,48985.11,42283.26,6701.85
Apr 2025,56043.36,43242.93,12800.43
Oct 2024,33727.75,29226.34,4501.41
Apr 2025,71531.82,36741.37,34790.45
May 2025,71509.38,50782.77,20726.61
Aug 2024,79736.14,33216.59,46519.55
Jun 2025,51976.26,31082.59,20893.67
Oct 2024,53082.01,40466.73,12615.28
Jun 2025,52247.48,32102.66,20144.82
May 2025,35869.54,34546.38,1323.16
Dec 2024,56866.43,54434.75,2431.68
Mar 2025,74070.55,55676.83,18393.72
Sep 2024,66471.5,32600.45,33871.05
May 2025,39822.81,30321.23,9501.58
Jan 2025,61897.11,36882.93,25014.18
Jan 2025,34765.31,25740.54,9024.77
Sep 2024,47207.09,35800.45,11406.64
Oct 2024,62285.62,37760.74,24524.88
Jan 2025,71587.06,47972.88,23614.18
Aug 2024,72788.8,45494.86,27293.94
Jul 2024,54252.49,36316.06,17936.43
Sep 2024,37573.76,30159.57,7414.19
Nov 2024,36924.47,26217.98,10706.49
Jul 2024,75270.61,31406.38,43864.23
Jul 2024,34464.22,33103.19,1361.03
Mar 2025,53010.48,27402.49,25607.99
Mar 2025,79852.26,28883.2,50969.06
Apr 2025,74035.47,32015.98,42019.49
Oct 2024,39333.24,26143.1,13190.14
Aug 2024,52169.94,38876.33,13293.61
Apr 2025,68316.93,47142.37,21174.56
Jul 2024,49284.19,29250.78,20033.41
Oct 2024,39559.49,25137.6,14421.89
Jul 2024,55225.81,37482.43,17743.38
Dec 2024,60465.49,50998.68,9466.81
Feb 2025,34916.06,26197.39,8718.67
Apr 2025,61935.13,56757.66,5177.47
Oct 2024,65690.39,50809.3,14881.09
Nov 2024,43726.16,33835.37,9890.79
Feb 2025,40513.25,37679.6,2833.65
Oct 2024,31766.74,28366.94,3399.8
May 2025,72309.75,25855.53,46454.22
May 2025,72377.47,38917.51,33459.96
Dec 2024,60761.05,46720.98,14040.07
Feb 2025,42236.86,32584.14,9652.72
Jul 2024,58432.4,40886.64,17545.76
Dec 2024,66080.99,32179.45,33901.54
Jan 2025,68824.11,27171.38,41652.73
Jan 2025,49227.82,30885.44,18342.38
Mar 2025,79802.19,32155.56,47646.63
May 2025,72714.51,64369.53,8344.98
Dec 2024,36576.7,25834.24,10742.46
Dec 2024,30613.96,29046.19,1567.77
Nov 2024,66985.75,32544.06,34441.69
Nov 2024,42257.12,37130.59,5126.53
Aug 2024,77497.33,48367.96,29129.37
Jan 2025,71639.42,46239.75,25399.67
Dec 2024,58305.6,56164.68,2140.92
Sep 2024,50984.41,33257.31,17727.1
Nov 2024,42808.41,29678.1,13130.31
Jan 2025,67151.07,56834.38,10316.69
Feb 2025,52812.17,25975.04,26837.13
Nov 2024,53467.48,25476.34,27991.14
Oct 2024,62570.46,33126.96,29443.5
Sep 2024,56907.06,27700.09,29206.97
Aug 2024,74351.9,63945.95,10405.95
Nov 2024,52766.62,47851.56,4915.06
Dec 2024,64193.05,42604.42,21588.63
Jun 2025,75164.35,26294.03,48870.32
Apr 2025,68012.87,63835.2,4177.67
Jul 2024,35597.17,32552.6,3044.57
Apr 2025,72402.18,33479.42,38922.76
Nov 2024,67113.3,27870.24,39243.06
Apr 2025,62887.82,36640.63,26247.19
Jul 2024,38523.18,37373.96,1149.22
Dec 2024,47856.2,45399.26,2456.94
Aug 2024,49434.59,35163.16,14271.43
Jun 2025,34834.09,33438.63,1395.46
Dec 2024,31468.85,27987.57,3481.28
Jun 2025,46901.37,37924.1,8977.27
Apr 2025,60697.89,42833.84,17864.05
Jan 2025,53718.61,42799.63,10918.98
Feb 2025,59870.21,37530.33,22339.88
Jul 2024,45320.33,38980.33,6340.0
Apr 2025,38075.3,36115.85,1959.45
Mar 2025,67875.54,36930.85,30944.69
Sep 2024,33088.23,31724.65,1363.58
Feb 2025,33420.54,28813.3,4607.24
Apr 2025,34719.33,31719.64,2999.69
Jan 2025,41450.09,27877.27,13572.82
Nov 2024,49273.62,48090.73,1182.89
Apr 2025,73697.28,37826.97,35870.31
Jul 2024,65082.41,51133.24,13949.17
May 2025,77852.23,47654.89,30197.34
Jul 2024,52809.44,50721.64,2087.8
Sep 2024,55139.37,52982.2,2157.17
Nov 2024,30696.59,28098.83,2597.76
Sep 2024,52762.65,41756.52,11006.13
Feb 2025,48236.03,39888.09,8347.94
Nov 2024,39063.44,33242.94,5820.5
Sep 2024,77846.43,56433.95,21412.48
Mar 2025,51914.39,42329.8,9584.59
Mar 2025,38636.75,30333.48,8303.27
Jan 2025,71795.38,41628.74,30166.64
Jul 2024,50818.04,36330.77,14487.27
May 2025,68404.61,56234.46,12170.15
May 2025,78103.37,36349.83,41753.54
Jan 2025,45939.39,28865.79,17073.6
May 2025,65939.47,62631.14,3308.33
Dec 2024,45152.58,38955.86,6196.72
Oct 2024,33857.41,29638.24,4219.17
May 2025,52196.61,32091.2,20105.41
Dec 2024,43099.6,26047.48,17052.12
Mar 2025,42491.31,30045.37,12445.94
Oct 2024,72690.22,54158.54,18531.68
May 2025,51237.26,44070.31,7166.95
Nov 2024,71895.4,69397.35,2498.05
Apr 2025,42428.09,32524.79,9903.3
Jan 2025,49795.47,46451.45,3344.02
Jan 2025,72514.27,44932.41,27581.86
Dec 2024,70729.95,65990.45,4739.5
May 2025,77852.26,55801.71,22050.55
Jul 2024,40208.81,28765.18,11443.63
Aug 2024,59348.76,37311.7,22037.06
Aug 2024,46825.77,35136.81,11688.96
May 2025,79312.98,71893.69,7419.29
Sep 2024,58697.18,51235.16,7462.02
May 2025,35577.73,29252.03,6325.7
Nov 2024,37136.14,28303.31,8832.83
Jul 2024,65023.17,35158.87,29864.3
Oct 2024,77337.09,35218.32,42118.77
May 2025,78339.68,65115.82,13223.86
Feb 2025,42558.35,31763.66,10794.69
Jul 2024,31747.91,29916.16,1831.75
Jan 2025,54580.29,47541.75,7038.54
Jul 2024,72877.43,27797.11,45080.32
May 2025,69486.87,35795.18,33691.69
Jun 2024,74360.7,35406.24,38954.46
Mar 2025,65653.41,29726.67,35926.74
Apr 2025,72999.72,64252.37,8747.35
Oct 2024,58195.22,45206.73,12988.49
Nov 2024,50851.3,45519.54,5331.76
Sep 2024,36575.0,32540.19,4034.81
Dec 2024,48978.27,40384.44,8593.83
Dec 2024,77374.42,46078.06,31296.36
Jan 2025,35215.02,30319.2,4895.82
Apr 2025,55952.74,41045.96,14906.78
Apr 2025,58874.82,52464.34,6410.48
Sep 2024,38327.63,32465.6,5862.03
Aug 2024,61228.47,59437.07,1791.4
Mar 2025,49572.82,46277.42,3295.4
May 2025,72359.73,44082.1,28277.63
Feb 2025,78296.03,42465.31,35830.72
Sep 2024,38276.33,28927.11,9349.22
Feb 2025,44848.16,27217.09,17631.07
Sep 2024,33541.52,30415.48,3126.04
Feb 2025,61586.27,50174.48,11411.79
Sep 2024,46078.74,35515.38,10563.36
Aug 2024,32259.66,25106.54,7153.12
Apr 2025,79086.31,49864.77,29221.54
Jan 2025,51630.61,25863.03,25767.58
Apr 2025,55610.12,46931.45,8678.67
Jun 2024,49247.26,40816.47,8430.79
Jul 2024,37669.82,30550.71,7119.11
Feb 2025,75747.65,57962.01,17785.64
Nov 2024,60002.66,48724.13,11278.53
Aug 2024,30564.12,28660.97,1903.15
Aug 2024,74633.93,56320.12,18313.81
May 2025,36391.31,33856.2,2535.11
Jul 2024,56340.99,34521.97,21819.02
Aug 2024,38095.0,29505.28,8589.72
Apr 2025,47352.96,32250.67,15102.29
Dec 2024,74080.03,35179.7,38900.33
May 2025,74132.07,54473.08,19658.99
Jan 2025,47336.44,35229.96,12106.48
Mar 2025,31574.38,26412.74,5161.64
May 2025,56588.56,53066.2,3522.36
Jan 2025,69106.92,62949.37,6157.55
May 2025,56810.8,43433.78,13377.02
Feb 2025,47799.94,40454.56,7345.38
May 2025,38020.42,32932.57,5087.85
Nov 2024,76055.84,36203.98,39851.86
Nov 2024,60903.84,52677.61,8226.23
Sep 2024,69861.96,36779.18,33082.78
Jun 2025,62777.98,31200.64,31577.34
Jul 2024,49552.67,25041.72,24510.95
Jan 2025,44547.1,37455.68,7091.42
Nov 2024,47568.25,44255.29,3312.96
May 2025,76672.83,42615.89,34056.94
May 2025,62322.01,26440.14,35881.87
May 2025,50763.06,31255.43,19507.63
Jan 2025,63861.25,29406.6,34454.65
Aug 2024,46407.53,32556.36,13851.17
Jul 2024,50863.15,41415.73,9447.42
Mar 2025,52285.06,27514.26,24770.8
Jan 2025,31616.94,26270.84,5346.1
Apr 2025,45474.59,25617.21,19857.38
Nov 2024,44302.84,34617.49,9685.35
Sep 2024,79371.79,36211.73,43160.06
Jan 2025,43079.46,40419.12,2660.34
Jan 2025,54502.52,52093.41,2409.11
Aug 2024,38593.54,30258.46,8335.08
Mar 2025,51382.28,40222.5,11159.78
Jul 2024,51425.84,26479.88,24945.96
Nov 2024,40085.31,25146.84,14938.47
Apr 2025,51103.87,26394.49,24709.38
May 2025,60222.62,29693.08,30529.54
Sep 2024,66735.75,34242.34,32493.41
Sep 2024,79278.99,67796.13,11482.86
Jan 2025,62217.2,33335.15,28882.05
Apr 2025,36548.64,25553.23,10995.41
Mar 2025,43020.13,26048.66,16971.47
Mar 2025,60867.86,51955.46,8912.4
Nov 2024,66326.44,36095.29,30231.15
May 2025,59973.37,30495.37,29478.0
Jun 2025,62797.26,34246.01,28551.25
Jan 2025,57116.8,27870.14,29246.66
Nov 2024,78416.28,44335.68,34080.6
Sep 2024,50400.37,35912.32,14488.05
Feb 2025,45250.71,26047.22,19203.49
Jan 2025,78698.67,66564.0,12134.67
Sep 2024,34042.33,29301.02,4741.31
Nov 2024,38344.62,27828.24,10516.38
Sep 2024,73109.79,25442.53,47667.26
Apr 2025,38304.25,25334.9,12969.35
Jul 2024,47739.88,26132.83,21607.05
Jan 2025,64098.64,38137.49,25961.15
May 2025,57219.12,48941.84,8277.28
Jul 2024,70037.15,31904.11,38133.04
Jul 2024,56487.31,41821.33,14665.98
Jan 2025,32572.51,25303.08,7269.43
Jun 2025,50321.96,46737.2,3584.76
Aug 2024,42416.42,36127.82,6288.6
Feb 2025,70879.94,46751.86,24128.08
Jun 2024,75265.34,37008.12,38257.22
Dec 2024,47090.87,43751.17,3339.7
Sep 2024,73349.24,68274.36,5074.88
Dec 2024,39245.95,25414.68,13831.27
Mar 2025,70008.49,50761.22,19247.27
Apr 2025,33890.85,32623.62,1267.23
Jun 2025,62515.6,45351.3,17164.3
Jun 2025,69879.44,25569.2,44310.24
Sep 2024,38815.93,35649.1,3166.83
Nov 2024,49993.31,40041.1,9952.21
Dec 2024,34880.04,33247.71,1632.33
May 2025,75912.7,68070.57,7842.13
Jul 2024,64750.74,44506.54,20244.2
Sep 2024,77276.84,68516.77,8760.07
Oct 2024,61947.19,33021.97,28925.22
Feb 2025,45815.92,36531.6,9284.32
Dec 2024,39663.41,32992.1,6671.31
Jan 2025,32719.57,30990.61,1728.96
Dec 2024,66369.07,44421.91,21947.16
Sep 2024,73652.0,45174.68,28477.32
Jun 2025,42447.75,30360.66,12087.09
Oct 2024,79382.63,68169.99,11212.64
May 2025,69751.64,41633.86,28117.78
Dec 2024,31095.08,26276.74,4818.34
Feb 2025,60427.96,29102.6,31325.36
Aug 2024,65249.75,55835.53,9414.22
Apr 2025,79504.88,75207.15,4297.73
Mar 2025,67752.38,29164.25,38588.13
Jun 2025,64936.33,55040.5,9895.83
